TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
108,108,100.0000,108,100.0000,0,40974,22564,55.0690

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CCER-19PAZ,VALOR UNIONISTA,VIVA,CAMBIO,UNE,BIEN,SEMILLA,CABAL,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21919,"Zacapa",19,"Zacapa",1,3395,400,12,137,21,3,3,8,2,13,42,0,241,13,0,254,0,254,0,400,146,241,254,254,,1,12024c5ef6b9963aeadd6f1d9705634167419dbaf64b81728dd48d2234428001,26/06/2023 01:05:59,ESCANER
21920,"Zacapa",19,"Zacapa",1,3395,400,15,139,12,7,2,6,2,17,64,1,265,19,0,284,1,285,0,400,116,265,284,285,,1,5aad2a30e3e967dfbe42e2aa7d2fa9ed9685451de8b52c63f116293663912347,26/06/2023 02:01:13,ESCANER
21921,"Zacapa",19,"Zacapa",1,3395,400,19,133,10,9,3,7,1,14,71,0,267,22,0,288,1,289,0,398,108,267,289,290,Sumas Asentadas sin cuadrar,1,951f6f466de7256b1576b410ce5d778bb8cad687db4ec46ff3fe3c1ed1c48a3a,26/06/2023 02:12:25,ESCANER
21922,"Zacapa",19,"Zacapa",1,3395,400,14,116,25,5,3,9,0,17,54,0,243,18,1,262,0,262,0,400,138,243,262,262,,1,a3073c1744e63de6f3a82342af56fa81020f3d56afa5065500aec557e106d56d,26/06/2023 00:46:36,ESCANER
21923,"Zacapa",19,"Zacapa",1,3395,400,17,124,15,7,3,2,1,10,59,1,185,16,1,202,0,202,0,402,146,239,256,256,Sumas Asentadas sin cuadrar,1,63d6ac1a82e98f1d26ae7e06bdfbea1e038274113dfc21039ebf88168823c410,26/06/2023 00:20:01,ESCANER
21924,"Zacapa",19,"Zacapa",1,3395,400,19,130,12,3,1,3,0,10,57,1,236,8,0,244,1,245,1,400,155,236,244,245,,1,9328e32040129ef0799b204e76ce0cfb7dcf98c83d1fa3de2380e8d1e37f98d4,26/06/2023 00:22:42,ESCANER
21925,"Zacapa",19,"Zacapa",1,3395,400,20,129,9,9,2,8,2,6,57,0,242,22,2,266,0,266,0,400,131,242,266,266,,1,a619b6c850ab5ff6c0ab7fe117b8ac3976ff9d3e87c56b033d286f51b2fd37ac,26/06/2023 00:04:20,ESCANER
21926,"Zacapa",19,"Zacapa",1,3395,400,10,116,11,1,3,12,2,4,53,0,212,12,1,225,0,225,0,400,175,212,225,225,,1,286be18d8212b96354ed86e889d1841b96e35517a53a97a68bb5a0af8610c6b7,25/06/2023 22:55:44,ESCANER
21927,"Zacapa",19,"Zacapa",1,3396,400,7,148,16,4,0,11,0,15,54,2,257,13,2,272,0,272,0,400,125,257,272,272,,1,f49844d474fae87f1e07d4ed28b763a255c789efa96a7ce4c0363d8069e942f3,26/06/2023 00:27:39,ESCANER
21928,"Zacapa",19,"Zacapa",1,3396,400,14,120,9,3,3,3,1,11,68,1,233,11,3,247,0,247,0,400,153,233,247,247,,1,e98b043f52179bb94c6871c45a0f4bb5fa2f152bf9b2bb3ece9fa1cbcb277e7c,26/06/2023 01:31:30,ESCANER
