TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,21637,13700,63.3174

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,VAMOS,TODOS,CAMBIO,VALOR,VIVA,UNE,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24205,"Jutiapa",22,"Jalpatagua",12,3800,380,10,38,59,17,83,23,13,5,0,248,28,10,286,0,286,0,380,94,248,286,286,,1,ab8710fe1e01b6046013886c0da32ed9a8e8900504670589c2b522abd0298d92,26/06/2023 03:03:34,ESCANER
24206,"Jutiapa",22,"Jalpatagua",12,3800,380,10,49,78,11,72,22,12,7,1,262,19,4,285,0,285,0,376,92,262,285,285,,1,76d753f879c086c5b9997506a3ddf07767aec6809961db0ad998bf1b62fefd1c,26/06/2023 01:13:06,ESCANER
24207,"Jutiapa",22,"Jalpatagua",12,3800,380,3,44,50,10,71,25,14,3,0,220,21,3,244,0,244,2,377,131,220,244,244,,1,996f1750499f5076fb747e39e63b29e8a3251a6eecfca3cc2b8ad0a17f4407c9,26/06/2023 01:37:14,ESCANER
24208,"Jutiapa",22,"Jalpatagua",12,3800,380,11,39,38,16,76,24,7,12,2,225,19,4,248,0,248,0,380,132,225,248,248,,1,88f06f43230237d67e3a509c798b887e6a58c7d10e634c92bcbdd3dc53816cc6,26/06/2023 00:18:01,ESCANER
24209,"Jutiapa",22,"Jalpatagua",12,3801,255,7,29,21,12,60,17,8,2,0,156,2,1,159,0,159,0,252,93,156,159,159,,1,fca0d6934af644c95f1d1bb54b6422391c69cbf7d009a08b611ae4b833a26eaa,25/06/2023 22:58:41,ESCANER
24210,"Jutiapa",22,"Jalpatagua",12,3801,255,4,30,22,6,48,19,4,3,0,136,8,1,145,0,145,0,255,110,136,145,145,,1,b5f2352fa27289881d4d5375accad421bb56855a4917122b9b77c3bcf365d5aa,25/06/2023 22:42:57,ESCANER
24211,"Jutiapa",22,"Jalpatagua",12,3802,380,7,69,98,5,57,4,6,8,0,254,23,7,284,0,284,0,380,96,254,284,284,,1,dc56fb2c92840b9a7bd164450bd59fe06dfe2f1b782a95f8a31092df2fc897c5,26/06/2023 00:42:46,ESCANER
24212,"Jutiapa",22,"Jalpatagua",12,3802,380,5,72,89,9,79,6,2,5,1,268,24,5,297,0,297,1,380,82,268,297,297,,1,462b145d69e140ff562c8b1f921bdbfa5e07c10e1b209db602f3c14ad6e97c5e,26/06/2023 00:04:55,ESCANER
24213,"Jutiapa",22,"Jalpatagua",12,3802,380,6,70,72,3,85,5,2,4,1,248,12,3,263,0,263,0,380,117,248,263,263,,1,8be53c6790e751cae5bbbdd62812c0b72100af839ee1b64cb9c8e13a999b067c,25/06/2023 23:49:17,ESCANER
24214,"Jutiapa",22,"Jalpatagua",12,3802,380,7,62,61,6,89,9,8,5,0,247,24,3,274,0,271,0,380,105,247,274,274,Sumas Asentadas sin cuadrar,1,2fd7e564845db01178412a4f7d531c137f45841af98331c3c967c917e9de7be2,26/06/2023 00:23:57,ESCANER
24215,"Jutiapa",22,"Jalpatagua",12,3802,206,3,31,57,5,42,1,2,0,0,141,2,0,143,0,143,0,206,63,141,143,143,,1,76ca02acfcb3353de8ba4161f6282a27d63427e2253c63084b94f456b9c2c7d1,25/06/2023 22:45:03,ESCANER
24216,"Jutiapa",22,"Jalpatagua",12,3802,205,5,43,20,2,45,2,1,3,0,121,3,0,124,0,124,0,205,81,121,124,124,,1,4f612a72d04990637ab0249b0d88581075234ae92c73ecc963c8b25e49e9612f,26/06/2023 00:08:28,ESCANER
24217,"Jutiapa",22,"Jalpatagua",12,3803,600,4,42,40,11,20,12,11,6,1,147,17,2,166,0,166,0,600,434,147,166,166,,1,d7058bca956cc478b685c597faae38df0e75290c08202356c28e7439d402087c,25/06/2023 23:49:48,ESCANER
24218,"Jutiapa",22,"Jalpatagua",12,3803,390,4,28,43,4,4,4,2,9,0,98,4,3,105,0,105,0,390,285,98,105,105,,1,a2f8915bfda2c0eb4e495f5cf83edfce1b5a8c061c10458a9225d8c61b002152,25/06/2023 21:20:27,ESCANER
24219,"Jutiapa",22,"Jalpatagua",12,3803,389,2,5,10,1,2,4,2,2,0,28,1,2,31,0,31,0,389,358,28,31,31,,1,be130fb2dd15e6144afb05aa84920452a1629d64006ec791302598af5eb1070d,25/06/2023 21:09:20,ESCANER
