TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,21117,12288,58.1900

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,TODOS,PPN,VICTORIA,PHG,UNE,U R N G - MAIZ,VALOR,BIEN,PODEMOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15884,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2325,369,92,13,3,88,1,1,5,1,0,0,0,0,205,3,0,208,0,208,369,161,--,204,207,207,Sumas Asentadas sin cuadrar,1,3de806a8e1010d0aea829b95ab98f736355861c658043c290a97c430c363d438,26/06/2023 00:18:39,ESCANER
15885,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2325,368,87,14,2,72,1,4,0,0,2,2,0,0,184,2,4,190,0,190,--,365,175,184,190,190,Algún campo sin dato,1,57775323b231e5fe355e8604f6f40cd1516228991a1d6da73c3140f75430a919,26/06/2023 00:22:57,ESCANER
15886,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2326,380,63,38,2,98,4,1,4,1,5,2,0,0,218,20,5,243,0,243,--,380,137,218,243,243,Algún campo sin dato,1,15fc8e2f8e54188f237916b73f42fbdedd6a23bf5c23624b16e08cb86727d75b,26/06/2023 01:06:27,ESCANER
15887,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2327,380,62,26,2,114,5,1,7,4,4,0,0,0,225,13,7,245,0,245,--,380,135,225,245,245,Algún campo sin dato,1,fac34c94f6d093c70e6eb8270b37adced4a1b3f9a7a311070ecd00c0e49e947c,25/06/2023 23:16:20,ESCANER
15888,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2327,380,82,23,2,115,3,1,5,3,5,0,0,0,239,12,5,256,0,256,--,380,124,239,256,256,Algún campo sin dato,1,29653597a01396f8877b340daa9715b88c80d3ee9037401950878506405710dd,26/06/2023 00:44:18,ESCANER
15889,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2327,380,56,20,0,80,7,2,4,0,1,0,0,0,170,9,4,183,0,183,--,380,197,170,183,183,Algún campo sin dato,1,24487dc822291f19a555dcd512cc945d1fb31c1788edf3e8dae196acc46ecaf7,25/06/2023 23:24:09,ESCANER
15890,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2328,380,48,23,1,89,3,0,1,2,3,1,0,0,171,5,2,178,0,178,--,390,212,171,178,178,Algún campo sin dato,1,7ac5fd2ff6c7f9eef6508e05a02a2ad32f5e0f5a0bc43d0ee2cd4a80b3dacdde,26/06/2023 01:21:49,ESCANER
15891,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2328,340,62,30,0,109,4,0,1,0,5,0,0,0,211,2,1,214,0,214,--,340,126,211,214,214,Algún campo sin dato,1,80db0f9ba198fea9a975fb61add2ff86835589adc5079b133fbd38a7e0a90e73,26/06/2023 03:05:43,ESCANER
15892,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2328,340,31,18,0,96,4,0,0,0,5,0,0,0,154,0,4,158,0,158,--,340,182,154,158,158,Algún campo sin dato,1,dec8040352ce85ea9d74ef5e4a036cacf2a633ff5c49b85423ffa5041803eb6d,26/06/2023 01:11:50,ESCANER
15893,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2329,380,110,19,4,105,0,0,1,1,0,1,0,0,241,6,9,256,0,256,--,377,121,241,256,256,Algún campo sin dato,1,118365fcab066cc8eb211632618581f45424e2e748a593d72e6db898f0d3fa0c,26/06/2023 00:39:49,ESCANER
15894,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2329,380,102,36,14,115,4,0,1,0,0,1,0,0,273,11,93,377,0,377,--,377,93,273,377,377,Algún campo sin dato,1,236e6543a52fcebe94d2a776895baab292a786e48ff9a41932713a0bd4303580,26/06/2023 00:30:32,MOVIL
15895,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2329,380,106,25,5,92,4,0,2,0,0,2,0,1,237,6,10,253,0,253,--,380,127,237,253,253,Algún campo sin dato,1,314f9d882277020fd180d2c47157d2a8e0b508c61898599fe4c2d76b2b40bdcf,26/06/2023 00:46:47,MOVIL
15896,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2330,380,88,23,3,104,0,0,1,0,0,0,0,0,219,4,2,225,0,225,--,380,155,219,225,225,Algún campo sin dato,1,7ac69c013c2523c746262312a49c5b9dd234f1524fff24fc95e2dd3fd8bbd4d8,25/06/2023 23:18:35,ESCANER
15897,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2330,380,91,17,4,89,1,0,1,0,0,0,0,0,203,0,0,203,0,203,--,380,177,203,203,203,Algún campo sin dato,1,5607ecc51e071bf12201e7dbcd5fe430b00a1c13eabe52f008f20a199f5a9bbc,25/06/2023 22:46:28,ESCANER
15898,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2330,266,76,12,5,88,2,0,0,0,0,0,0,0,183,6,3,192,0,192,--,266,74,183,192,192,Algún campo sin dato,1,4eb5ddce2d85719610278f83b0925d7c01799f1e8ca89da4db2bfb42c7459a58,25/06/2023 22:40:59,ESCANER
15899,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2330,266,63,17,2,63,0,0,0,1,1,0,0,0,147,6,0,153,0,153,--,263,110,147,153,153,Algún campo sin dato,1,5641395da48dda0c848b8cd0f845862b58f051d52bed4cf5910cc50e05862780,26/06/2023 00:26:28,ESCANER
15900,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2331,380,118,6,6,71,2,0,4,5,1,0,1,0,214,20,8,242,0,242,--,380,138,214,242,242,Algún campo sin dato,1,14522c3caf2643a3d414192a077f70842dca1bf6f932379ae4bd57b4b82cf621,26/06/2023 00:50:13,ESCANER
15901,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2331,380,113,5,11,73,0,1,5,4,1,1,0,0,214,18,9,241,0,241,--,376,135,214,241,241,Algún campo sin dato,1,41fb274333b882019b7d55a5a99ed20905721d4f9bd7771d88f2562119da292d,26/06/2023 00:24:21,ESCANER
15902,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2331,380,110,3,4,94,4,2,5,2,2,5,0,0,231,11,14,256,0,256,--,371,115,231,256,256,Algún campo sin dato,1,fd8e615de996641be2533ba9c136b75293cb69c2f2b1e68c6ee9ae014c8d40da,26/06/2023 00:19:34,ESCANER
15903,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2332,380,98,3,15,74,11,1,1,0,3,2,0,0,208,13,11,232,0,232,--,380,148,208,232,232,Algún campo sin dato,1,a69eb3dbceee11cabaed8aa39458216d9252a65f7473a551e9291bd3c2929b11,25/06/2023 22:21:25,ESCANER
15904,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2332,380,84,6,6,86,2,0,0,2,0,0,0,0,186,6,1,193,0,193,--,380,187,186,193,193,Algún campo sin dato,1,bb7f94cbe874bd5efd12e6df96bfd11208f0f04a711f687629a57639a13cbd9f,25/06/2023 23:41:28,ESCANER
15905,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2332,380,94,4,5,54,2,0,1,1,1,1,0,0,163,6,8,177,0,177,--,381,203,163,177,177,Algún campo sin dato,1,eb72241c5b5f8a108b342595b791dc480350357b90fc0adb121b212afaa5d6b0,26/06/2023 02:49:38,MOVIL
15906,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2333,341,95,3,4,67,1,1,0,2,3,1,0,0,177,4,0,181,0,181,--,341,160,177,181,181,Algún campo sin dato,1,c8445c602e38972b73348aab7bd53a1c686e01c219bddff16c9f587cc6580af0,26/06/2023 00:17:41,ESCANER
15907,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2333,340,69,4,3,60,4,0,0,1,0,1,1,0,143,2,1,146,0,146,--,340,194,143,146,146,Algún campo sin dato,1,9032c057f8f1e1572e410be94070acaf144e9cfdc47c322c34c85191e9b7f075,26/06/2023 00:21:02,ESCANER
15908,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2334,332,3,3,1,14,2,0,0,0,1,0,0,0,24,4,1,29,0,29,--,332,303,24,29,29,Algún campo sin dato,1,f2623602c36d79e28e6096d831450929a9f258669db7fb8ea5b33eb7283dd663,25/06/2023 21:05:44,ESCANER
15909,"Huehuetenango",13,"Todos Santos Cuchumatán",15,2334,331,3,1,1,7,1,0,0,0,0,0,0,0,13,0,0,13,0,13,0,331,318,13,13,13,,1,61226d4eb7e4c15509105e45d2e4449b3e8717a7fca00cd78cf39f307a3bdf2d,25/06/2023 20:47:31,ESCANER
