TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,25921,14405,55.5727

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UR,TODOS,CABAL,UNE,VALOR,PHG,URNG-MAIZ   SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15389,"Huehuetenango",13,"Jacaltenango",7,2238,343,11,1,12,13,129,0,2,0,168,1,2,171,3,174,--,343,169,168,171,174,Algún campo sin dato,1,942260e21f422511b0c8851cc7423e940b2f3fe8eafa8c1d8b1b0835be3fcc8c,26/06/2023 00:27:51,ESCANER
15390,"Huehuetenango",13,"Jacaltenango",7,2239,380,32,0,1,11,128,0,1,2,175,5,3,183,0,183,--,377,194,175,183,183,Algún campo sin dato,1,b1741c8f275df348dae7c1ec10db004d04cc9e54c0c85589721e1ba7984f5431,26/06/2023 01:09:39,ESCANER
15391,"Huehuetenango",13,"Jacaltenango",7,2239,380,33,0,5,7,147,0,1,2,195,13,3,211,0,211,--,377,166,195,211,211,Algún campo sin dato,1,3fc232db360c54dcc34cf75a789d725600b951d5242e8446988643cc3f1aed30,26/06/2023 00:23:29,ESCANER
15392,"Huehuetenango",13,"Jacaltenango",7,2239,380,28,1,3,14,137,0,2,2,187,7,5,199,0,199,--,377,178,187,199,199,Algún campo sin dato,1,b5c846a0c49c559a323dbe062c49fab1d93486bc49656999fd2b34a6872c2d01,26/06/2023 01:43:40,ESCANER
15393,"Huehuetenango",13,"Jacaltenango",7,2239,380,35,0,0,8,104,0,1,0,148,8,3,159,1,160,--,389,229,148,159,160,Algún campo sin dato,1,2308e3fa7201e3588c9b134930e9f6ef407f086f7eb42990be1f2b2a4166f7a6,26/06/2023 03:50:32,ESCANER
15394,"Huehuetenango",13,"Jacaltenango",7,2239,380,39,2,2,7,91,1,0,0,142,9,7,158,0,158,--,377,219,142,158,158,Algún campo sin dato,1,14a62bd50c802239ed8412791f270a8b6fa2653a72b17ab51285105a9edc2835,26/06/2023 01:47:17,ESCANER
15395,"Huehuetenango",13,"Jacaltenango",7,2239,380,30,0,2,13,99,1,1,3,149,8,6,163,0,163,--,380,217,149,163,163,Algún campo sin dato,1,22fd8bc47ce7a24fcacc2015e55441a66a93ad75300d83dfaf7021541982fcfa,26/06/2023 02:05:07,ESCANER
15396,"Huehuetenango",13,"Jacaltenango",7,2239,380,19,0,0,6,105,0,0,0,130,2,2,134,0,134,--,380,246,130,134,134,Algún campo sin dato,1,394f80abea1be3031471744d9cb1085269bd8cc2e1da1fadcc5e5a5b2386d88a,25/06/2023 23:41:43,ESCANER
15397,"Huehuetenango",13,"Jacaltenango",7,2239,229,10,1,2,7,47,0,0,1,68,1,4,73,0,73,--,226,153,68,73,73,Algún campo sin dato,1,fa1960a79293f4a82509c622d0a6f1d3f5226817df96967d232bd656039f7bbf,26/06/2023 01:28:41,ESCANER
15398,"Huehuetenango",13,"Jacaltenango",7,2239,229,14,0,2,5,57,1,1,0,80,3,1,84,0,84,--,229,145,80,84,84,Algún campo sin dato,1,a940b829e397695afe09f29a809169d2322f9783c734ac37470340121be1f094,25/06/2023 23:16:42,ESCANER
