TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,76,90.4761,76,90.4761,0,29016,15549,53.5876

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,TODOS,MLP,CAMBIO,UR,VALOR,CABAL,PPN,VICTORIA,UNE,VAMOS,VIVA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23300,"Jalapa",21,"San Pedro Pinula",2,3658,400,5,12,2,2,6,53,46,15,2,19,65,0,0,227,4,4,235,0,235,--,380,145,227,235,235,Algún campo sin dato,1,25565dc8c54002f161f7ac93712801c29116afe0da9443e0f210a53d45c7fec0,26/06/2023 12:35:34,ESCANER
23301,"Jalapa",21,"San Pedro Pinula",2,3658,400,4,13,2,3,2,49,35,13,0,21,59,0,0,201,0,2,203,0,203,--,380,177,201,203,203,Algún campo sin dato,1,11dbc2cb2e8ff1ef15e7887fb6f3eac1f3c1c2a0e6581a6b9f444bd8aa076304,26/06/2023 02:30:41,ESCANER
23302,"Jalapa",21,"San Pedro Pinula",2,3658,253,2,13,2,1,3,28,20,6,0,9,19,0,0,103,2,1,106,0,106,--,253,147,103,106,106,Algún campo sin dato,1,ef85ecc7e556244f092bd2ebdf0da87372a45bf2acfe1d7483e4dfd7614ae0cc,25/06/2023 23:32:53,ESCANER
23303,"Jalapa",21,"San Pedro Pinula",2,3658,252,8,12,1,5,0,26,15,3,1,11,34,1,0,117,5,1,123,0,123,--,252,129,117,123,123,Algún campo sin dato,1,32720906eb172d1c81b09e277474587ce1a6417945df62d44965a1e312e2d214,26/06/2023 04:55:19,ESCANER
23304,"Jalapa",21,"San Pedro Pinula",2,3659,380,17,14,14,14,2,22,7,2,2,52,19,1,3,169,30,7,206,0,206,--,380,174,169,206,206,Algún campo sin dato,1,644a433c49c8767de8a0b4835f5d697fa07b15ecfc415e04cafd91dfa9f38bf4,26/06/2023 18:01:25,ESCANER
23305,"Jalapa",21,"San Pedro Pinula",2,3659,380,31,21,9,9,3,13,8,8,0,46,29,1,2,180,31,12,223,0,223,--,380,157,180,223,223,Algún campo sin dato,1,18288c74d04129fa74dd88e2f708a472c6d8ae8644abc650b6783300eaf7b792,26/06/2023 01:01:30,ESCANER
23306,"Jalapa",21,"San Pedro Pinula",2,3659,380,19,18,9,10,1,13,7,9,0,47,39,1,1,174,17,15,206,0,206,--,380,174,174,206,206,Algún campo sin dato,1,4a8c36ec4b2ceaf41ea0a3159e31d2e86c0095c0dcda1159402cba0deba4eb9e,26/06/2023 00:06:01,ESCANER
23307,"Jalapa",21,"San Pedro Pinula",2,3659,380,6,9,16,21,4,15,7,6,0,56,20,0,5,165,19,16,200,0,200,--,380,180,165,200,200,Algún campo sin dato,1,6b994d0650e76bbe89b6668da0d1dbbed5455dbc8cb3fb2f9d7818d500c7b1a4,26/06/2023 01:59:09,ESCANER
23308,"Jalapa",21,"San Pedro Pinula",2,3659,380,21,22,5,10,2,28,12,5,0,20,20,4,1,150,19,1,170,0,170,--,381,211,150,170,170,Algún campo sin dato,1,bc94d2f6ae2925fc18826a39bf6e8684db9b4e75d3a9a7c7cbb774cbcc4678e5,26/06/2023 02:30:41,ESCANER
23309,"Jalapa",21,"San Pedro Pinula",2,3659,357,14,27,8,5,2,12,4,2,0,33,13,0,0,120,10,3,133,0,133,--,357,224,120,133,133,Algún campo sin dato,1,8d7ebed968b50c259023b69358b30a8639239cf844373c960940c028b9693972,25/06/2023 23:38:50,ESCANER
23310,"Jalapa",21,"San Pedro Pinula",2,3659,356,7,13,13,13,1,14,5,1,0,29,23,1,0,120,21,3,144,0,144,--,356,212,120,144,144,Algún campo sin dato,1,907c5f50cc0605c86787ed14dc9f3b905ec0513d7f2ae7b304702f56defcc251,25/06/2023 23:26:37,ESCANER
23311,"Jalapa",21,"San Pedro Pinula",2,3660,380,4,6,24,2,3,14,17,5,1,52,33,2,1,164,29,5,198,0,198,--,380,182,164,198,198,Algún campo sin dato,1,0dee2b61687efb3933cd1c25ab13b13086509d5e96b3e69e3960503482d2f59e,26/06/2023 01:48:41,ESCANER
23312,"Jalapa",21,"San Pedro Pinula",2,3660,380,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23313,"Jalapa",21,"San Pedro Pinula",2,3660,380,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23314,"Jalapa",21,"San Pedro Pinula",2,3660,380,4,6,28,3,2,25,9,3,2,62,19,2,1,166,31,5,202,0,202,--,380,178,166,202,202,Algún campo sin dato,1,5b511a395d0164b044d72be1da7852773f3c18b10671543a7a6311dce901d6c3,26/06/2023 01:20:23,ESCANER
23315,"Jalapa",21,"San Pedro Pinula",2,3660,380,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23316,"Jalapa",21,"San Pedro Pinula",2,3660,380,22,2,10,4,8,32,13,8,1,63,20,2,2,187,31,2,220,0,220,--,380,159,187,220,220,Algún campo sin dato,1,ec21cc3723ad6a8fc2ca433f07bab15a3cbcd071c5672d55e4938721ff50bd0d,26/06/2023 19:38:21,ESCANER
23317,"Jalapa",21,"San Pedro Pinula",2,3660,380,12,5,19,8,1,28,11,12,1,58,23,0,2,180,47,16,243,0,243,--,380,135,180,243,243,Algún campo sin dato,1,073459189b5e91d757d2b645edd0d1707fd8d4823e0c3e95cec642299fdb6804,26/06/2023 19:34:45,ESCANER
23318,"Jalapa",21,"San Pedro Pinula",2,3660,380,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23319,"Jalapa",21,"San Pedro Pinula",2,3660,380,10,12,11,5,4,14,11,4,0,28,19,1,0,119,22,4,145,0,145,--,376,230,119,145,145,Algún campo sin dato,1,1412a257118404e186750faeef0f9b39940f928988f6ceb963d2ccfc4fcf41a0,26/06/2023 01:26:23,ESCANER
23320,"Jalapa",21,"San Pedro Pinula",2,3660,380,7,8,30,6,1,21,7,4,1,35,33,0,2,155,24,7,186,0,186,--,380,194,155,186,186,Algún campo sin dato,1,a3d41afc1c4371718bc58b9a81bb2b437b382fc27ea906521d3edad8909c9a61,26/06/2023 01:17:09,ESCANER
23321,"Jalapa",21,"San Pedro Pinula",2,3660,380,7,5,26,11,1,24,7,6,0,31,20,2,1,141,21,2,164,0,164,--,381,217,141,164,164,Algún campo sin dato,1,65ac5cdecff1b3fb9dbd6a3b9e62a50159a67eaa7aef3d54b764dcf12b79cd40,26/06/2023 01:12:08,ESCANER
