TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,47,97.9166,1,17338,9284,53.5471

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20540,"Petén",17,"San Andrés",4,3198,380,37,91,0,58,5,191,18,2,211,0,211,0,380,169,191,211,211,,1,cfc15b072d44faa71240b2192f47898b4be286774bf0e8c6d0f1bf6c5225bddc,26/06/2023 00:44:15,ESCANER
20541,"Petén",17,"San Andrés",4,3198,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,31942358b616c501bcb260cdb1ea06aa80ca7ec337d62baa88bd1296a53a1f3c,26/06/2023 04:03:33,ESCANER
20542,"Petén",17,"San Andrés",4,3198,380,26,88,1,79,2,196,10,2,208,0,208,0,380,172,196,208,208,,1,2116d5e21a42050c3a547f80523ce90466861a5f490a50c2ea3b75106d599c40,25/06/2023 23:38:20,ESCANER
20543,"Petén",17,"San Andrés",4,3198,271,20,75,1,55,2,153,5,1,159,0,159,0,271,112,153,159,159,,1,e8235b1e82d23afa8f01c118f1db308539021f43064791da5a721ae1b8474c87,26/06/2023 01:20:45,ESCANER
20544,"Petén",17,"San Andrés",4,3198,271,21,63,1,43,2,130,7,5,142,0,142,--,271,129,130,142,142,Algún campo sin dato,1,5e660a3fb95448013b0bf270246b9eb91db97d139b65b8097cbcedecbe9ed95c,25/06/2023 23:13:45,ESCANER
20545,"Petén",17,"San Andrés",4,3199,380,30,23,1,39,28,121,6,8,135,0,135,--,380,245,121,135,135,Algún campo sin dato,1,d5a4d29a496dd43ec4cefecc4821c3db80d0996e647082a7366d03adc38d9ddd,26/06/2023 02:42:39,ESCANER
20546,"Petén",17,"San Andrés",4,3199,380,33,23,1,37,15,--,10,6,109,0,125,--,380,255,109,125,125,Sumas Asentadas sin cuadrar,1,948785c7b249e805d099dc3d57ad13f783cccc4ce9f3c260208e05fa7f033d0b,26/06/2023 02:53:16,ESCANER
20547,"Petén",17,"San Andrés",4,3199,370,41,30,0,34,14,119,15,6,140,0,140,1,370,229,119,140,140,,1,edee9d069b8f92b577eb2f070f88466764622e9ba1761f8c1fe103cf9752bc21,26/06/2023 02:45:05,ESCANER
20548,"Petén",17,"San Andrés",4,3199,369,61,29,3,29,13,135,15,3,153,0,153,--,369,216,135,153,153,Algún campo sin dato,1,62995a35c9f99cb829cb07e074764f28b4e156b3c81533437688a6f43fd99339,26/06/2023 02:49:10,ESCANER
20549,"Petén",17,"San Andrés",4,3200,380,115,23,5,43,10,196,27,3,226,0,226,--,380,154,196,226,226,Algún campo sin dato,1,0f40e4db7be5b44f98d3480de588d3a8445dbcdc98e41ad1eb0c18a42ac3adb6,26/06/2023 00:41:18,ESCANER
20550,"Petén",17,"San Andrés",4,3200,380,110,25,6,38,11,110,8,5,203,--,203,--,375,174,190,203,203,Sumas Asentadas sin cuadrar,1,06f8c0a0f9f18c6f2083edfc620322037161311c0e6beec751134c980e5bcf66,25/06/2023 22:28:06,ESCANER
20551,"Petén",17,"San Andrés",4,3200,380,103,12,6,54,8,183,22,6,211,1,212,--,378,166,183,211,212,Algún campo sin dato,1,7f60413e398040534d9d73910d1d76658eb8f5e4d5596bf016d0687242a09192,26/06/2023 02:08:20,ESCANER
20552,"Petén",17,"San Andrés",4,3200,380,92,21,12,46,9,180,1,14,195,9,204,--,380,176,180,195,204,Algún campo sin dato,1,ffd46eca81956dc37720ba1465aa9dfe4ba762646a146c120119d0db24e523b3,26/06/2023 02:44:21,ESCANER
20553,"Petén",17,"San Andrés",4,3200,275,67,20,4,30,5,126,2,0,128,0,128,--,275,147,126,128,128,Algún campo sin dato,1,2c7f42fc98a6e3780ac4cfd20070f641aeb1c414f3e0ed3b9ded29a2848339cd,25/06/2023 23:44:33,ESCANER
20554,"Petén",17,"San Andrés",4,3200,275,75,11,2,23,3,114,1,4,119,8,127,--,275,148,114,119,127,Algún campo sin dato,1,24ddd8ae810b0158218bc77a77ad8adcb50004cc0d3367953fac2a2a24b52693,25/06/2023 23:32:24,ESCANER
20555,"Petén",17,"San Andrés",4,3201,454,16,19,2,25,6,68,6,1,75,0,75,--,451,376,68,75,75,Algún campo sin dato,1,d3c53aa938ac8ae57645313c78afb635210b2918e7b26e21d062fc0eaec0749a,25/06/2023 20:53:22,ESCANER
