TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
119,119,100.0000,119,100.0000,0,45560,25215,55.3446

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,ELEFANTE,VICTORIA,COCIG,PR,VAMOS,SEMILLA,PHG,DESHE,CABAL,U R N G - MAIZ,MLP,BIEN,PODEMOS,VALOR,PPN,CREO,TODOS,VOS,PIN,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13234,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,44,29,8,5,9,16,18,3,1,10,1,15,18,2,8,20,1,28,1,0,3,2,242,7,151,400,0,400,--,400,150,242,400,400,Algún campo sin dato,1,f803b464aa49f208ba049f882e66fd43aacfeb316db3e48a7216e29480145da4,26/06/2023 01:12:17,ESCANER
13235,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,42,20,4,7,6,31,13,3,0,10,3,11,12,2,5,27,4,31,2,3,3,2,241,11,1,253,0,253,1,403,146,241,253,253,,1,8c1dcf412141b7b0181913a0e53383fb617b6e5f404ad5090b36702699da6cfb,26/06/2023 02:10:16,ESCANER
13236,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,38,9,8,16,10,20,12,2,1,11,2,12,11,1,7,34,0,20,3,2,3,2,224,10,2,236,0,236,--,400,164,224,236,236,Algún campo sin dato,1,e32cd566f4a47a90a507df6a94f7e050c30fb87089fdab954f8dac7cb9705cfd,26/06/2023 02:00:21,ESCANER
13237,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,54,28,8,6,3,15,15,4,0,11,1,9,12,2,4,17,0,27,2,0,3,8,229,9,4,242,0,242,0,400,158,229,242,242,,1,e00d7f7b479e83bccd5c0d7e9d981a153617c77875366fdcb3640432e410cdeb,26/06/2023 01:30:16,ESCANER
13238,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,36,24,6,8,1,22,8,8,0,8,2,16,9,2,4,26,2,30,4,2,3,3,224,12,0,236,0,236,--,400,164,224,236,236,Algún campo sin dato,1,cb5552ab04f75d4d5ea1bc93b257593a65bd75c095bf6a09bf35418e9cd8d617,26/06/2023 00:21:34,ESCANER
13239,"San Marcos",12,"San Pedro Sacatepéquez",2,1804,400,40,16,2,10,4,18,12,5,0,13,1,8,11,1,8,10,0,35,2,0,3,2,201,6,4,211,0,211,--,400,189,201,211,211,Algún campo sin dato,1,401764418851be4f0bbab6b034a9384dcb24bad8bf1baf44a0d03b16ee5239b5,26/06/2023 01:59:00,ESCANER
13240,"San Marcos",12,"San Pedro Sacatepéquez",2,1804,400,40,17,4,8,4,18,15,3,1,13,4,20,12,0,6,24,1,19,2,2,1,3,217,9,1,227,0,227,--,400,173,217,227,227,Algún campo sin dato,1,7f406281fb9829931e63e768a09b073511e1903eeec0ea482e418bf7f1ed6458,25/06/2023 22:04:41,ESCANER
13241,"San Marcos",12,"San Pedro Sacatepéquez",2,1804,400,31,17,4,14,8,20,11,11,2,9,5,26,17,5,10,20,1,22,0,1,4,4,242,6,2,242,8,250,0,400,150,242,250,258,Sumas Asentadas sin cuadrar,1,903d0ea3a120ce5f04d49fdf7ae5ce1d9fd07d6996c1099a4e1c45d7591a909e,26/06/2023 00:26:25,ESCANER
13242,"San Marcos",12,"San Pedro Sacatepéquez",2,1804,400,22,15,5,20,4,13,25,2,1,12,1,30,11,5,2,14,2,24,3,2,2,3,218,3,0,221,0,221,--,400,179,218,221,221,Algún campo sin dato,1,9ec32573949169c8987f9c504803275d3fef844df7f0d7f94a34e872fa9f2af9,26/06/2023 01:41:48,ESCANER
13243,"San Marcos",12,"San Pedro Sacatepéquez",2,1805,400,20,19,4,11,9,15,28,1,0,8,0,21,4,4,7,19,1,27,3,0,0,2,203,8,1,212,0,212,0,400,188,203,212,212,,1,1560ac48e6404c411e0779a2589e774f0729b4661eec59551ace4e9311687220,26/06/2023 00:02:24,ESCANER
13244,"San Marcos",12,"San Pedro Sacatepéquez",2,1805,400,44,35,5,12,5,14,23,6,0,5,1,16,8,5,9,19,0,27,4,0,1,2,241,3,0,244,0,244,0,400,156,241,244,244,,1,f04ea5313762ed8cdafd5729fe80f90cd05f5ded08b2ae12d91e285e98fa2515,26/06/2023 00:53:28,ESCANER
