TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,67,95.7142,67,95.7142,0,24807,16391,66.0740

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PODEMOS,PHG,UNE,BIEN,VICTORIA,TODOS,VALOR,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15251,"Huehuetenango",13,"Nentón",5,2210,223,59,46,0,25,1,2,0,1,1,135,2,3,140,0,140,--,223,83,135,140,140,Algún campo sin dato,1,d4825d967feb4b2928495b97a1c8c3a80e38bd0e7c4131648bd7ec5211d9be3f,26/06/2023 00:35:31,ESCANER
15252,"Huehuetenango",13,"Nentón",5,2210,222,54,59,0,22,2,1,0,7,0,145,2,1,148,0,148,--,222,74,145,148,148,Algún campo sin dato,1,3e075dab92035ad1b673b2c1d4b9fbfc0b2d76b335ff1a95e5c745a3e0a66cad,26/06/2023 00:45:28,ESCANER
15253,"Huehuetenango",13,"Nentón",5,2211,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
15254,"Huehuetenango",13,"Nentón",5,2211,380,110,126,0,41,0,0,0,2,0,279,4,2,285,0,285,--,380,95,279,285,285,Algún campo sin dato,1,199cffce038553bcbcbb5b86907f1d8e09037d6937b9025bfd288c424d277bf5,26/06/2023 00:42:14,ESCANER
15255,"Huehuetenango",13,"Nentón",5,2211,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
15256,"Huehuetenango",13,"Nentón",5,2211,380,116,56,2,24,3,1,0,1,1,204,5,7,216,12,216,--,380,164,204,216,228,Sumas Asentadas sin cuadrar,1,fad05d71581fec7010a17a796ad0b638d059f19fca46f0d520faed1a6b632662,26/06/2023 01:06:57,ESCANER
15257,"Huehuetenango",13,"Nentón",5,2211,380,107,113,0,43,0,0,0,0,1,270,2,0,272,2,274,--,375,100,264,266,268,Sumas Asentadas sin cuadrar,1,1e30c9d00f468e5c4cf869c76f129fb21acac81a6126ffa3915c6c6046bfe95a,27/06/2023 14:22:03,ESCANER
15258,"Huehuetenango",13,"Nentón",5,2211,380,107,71,0,19,1,0,0,3,1,209,4,3,209,0,209,--,380,171,202,209,209,Sumas Asentadas sin cuadrar,1,d5af8b2ff18dd352ed9605f519258dbfa9560ecee4d3601169670e7e5e32eb0f,26/06/2023 00:50:31,ESCANER
15259,"Huehuetenango",13,"Nentón",5,2211,380,112,82,0,36,0,0,0,4,1,237,1,0,237,--,237,--,377,140,235,236,236,Sumas Asentadas sin cuadrar,1,16ba417a9b440c7bc55d6f09f762dbbb041236f7139cd0c9402c85a36dc215d2,27/06/2023 14:22:11,ESCANER
15260,"Huehuetenango",13,"Nentón",5,2211,380,,,,,,,,,,,,,,,,,,,,,,,0,,,
15261,"Huehuetenango",13,"Nentón",5,2211,380,103,109,0,29,1,0,0,3,2,247,6,2,255,0,255,--,380,125,247,255,255,Algún campo sin dato,1,4df738a694313852a8420023ee2b02fb148e9fb5a4c38a1f8ae4b9a2aa4e9b17,26/06/2023 01:23:13,ESCANER
15262,"Huehuetenango",13,"Nentón",5,2211,380,86,93,0,52,0,0,0,4,3,238,7,0,245,0,245,--,400,155,238,245,245,Algún campo sin dato,1,7d42a322b2ac4e5a62350c92675dcb696e78dcdf3bb4a53f7e16a0e4a63501b0,26/06/2023 08:26:11,ESCANER
15263,"Huehuetenango",13,"Nentón",5,2211,380,105,116,0,52,0,0,1,3,0,277,3,2,282,0,282,--,380,98,277,282,282,Algún campo sin dato,1,7b634f93dc3ff8f7ef96ca311dd2bb787d62474096de72db515b7b7bf7c65e47,26/06/2023 08:28:02,ESCANER
15264,"Huehuetenango",13,"Nentón",5,2212,380,108,114,0,43,1,0,0,5,0,271,5,2,278,0,278,--,380,102,271,278,278,Algún campo sin dato,1,d1ec274b0f0aff4247fdecaf02f6659676f106efa655b89b078c3d9f059c1195,26/06/2023 00:41:54,MOVIL
15265,"Huehuetenango",13,"Nentón",5,2212,243,66,71,0,16,2,0,1,3,1,160,6,1,167,0,167,--,240,73,160,167,167,Algún campo sin dato,1,2e9a87f232cb118a3013df3bc27e540e003d2b5340e1a03ad982bef3af7ad7c1,25/06/2023 23:02:00,MOVIL
15266,"Huehuetenango",13,"Nentón",5,2212,243,76,94,0,18,0,1,0,1,0,190,3,0,193,0,193,--,243,50,190,193,193,Algún campo sin dato,1,4bb69418dfe151f12e99787e1d142c1778defb1c111094087a3dda28c5b8f59f,25/06/2023 23:25:11,MOVIL
15267,"Huehuetenango",13,"Nentón",5,2213,380,77,130,0,51,1,1,0,10,0,270,8,8,286,0,286,--,380,94,270,286,286,Algún campo sin dato,1,f8bac26af1c906c2c0baf3b214d0bd2c9804a63b50678c3367a756cf4bc35c44,26/06/2023 00:46:38,ESCANER
15268,"Huehuetenango",13,"Nentón",5,2213,380,79,136,1,42,4,0,0,8,0,270,9,3,282,0,282,--,380,98,270,282,282,Algún campo sin dato,1,331928fc177e18f5f28f7c670e48c3c9a23e1f27e24bfd992650604cfbaf9a20,26/06/2023 00:32:22,ESCANER
15269,"Huehuetenango",13,"Nentón",5,2213,380,50,127,0,86,2,2,1,4,2,274,11,3,288,0,288,--,--,--,274,288,288,Algún campo sin dato,1,023a75e0ea4820b4f53571324cc68092488536459f9e8feb3de6ab8b11bbd032,25/06/2023 23:57:42,ESCANER
15270,"Huehuetenango",13,"Nentón",5,2213,380,43,94,0,116,0,0,0,13,0,266,3,1,270,0,270,--,380,110,266,270,270,Algún campo sin dato,1,c7c359706f400f981ef4a8f21f9a93393cb390cfe51c09be20d51f3fcfae3ab7,25/06/2023 22:56:44,ESCANER
15271,"Huehuetenango",13,"Nentón",5,2213,380,68,125,0,79,0,0,1,3,0,281,5,7,288,0,288,--,380,89,276,288,288,Sumas Asentadas sin cuadrar,1,cf5f262eba71cdc064c2b4ba0557eb4abc6ef9eb125d2ec6f7f05caa131cf800,26/06/2023 01:03:50,ESCANER
15272,"Huehuetenango",13,"Nentón",5,2213,380,100,92,0,45,1,0,0,5,0,243,3,4,250,0,250,--,380,130,243,250,250,Algún campo sin dato,1,51bcda3a7e7ef403515fd4262038a1600e77e4dabafd2d0f3e9f83704c12dc10,26/06/2023 01:02:01,ESCANER
