TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
206,206,100.0000,204,99.0291,2,76935,49192,63.9396

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,TODOS,VICTORIA,VAMOS,PPN,PODEMOS,UR,AZUL,VIVA,U R N G - MAIZ,CREO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17183,"Quiché",14,"Chichicastenango",6,2591,380,37,78,2,5,0,36,2,0,1,5,2,0,0,8,176,16,14,206,0,206,0,380,174,176,206,206,,1,6cc00f5d4fd4b2e32e85dd4b8157d7e9ddf15e2a68e227c495ed52905e4d69c9,26/06/2023 00:35:17,ESCANER
17184,"Quiché",14,"Chichicastenango",6,2591,380,21,44,6,26,1,37,2,0,12,0,3,1,1,25,179,16,13,208,0,208,0,378,170,179,208,208,,1,893ab93217e644df8d9de4486a6f3505001ef05935ca3291431612055562f224,26/06/2023 01:23:25,ESCANER
17185,"Quiché",14,"Chichicastenango",6,2591,380,21,50,3,16,1,41,2,1,14,1,8,4,1,26,189,3,12,204,10,214,0,380,166,189,204,214,,1,c26e5ebede69b06781909baaed75f35713531780353b75b34889eecfe2e268e6,26/06/2023 00:27:20,ESCANER
17186,"Quiché",14,"Chichicastenango",6,2591,380,10,42,3,9,2,47,1,0,6,0,5,1,1,26,153,9,11,173,0,173,0,380,207,153,173,173,,1,2d82d7ddb57d5885745182daf8e037b7b42ac0d6cc78ac35237294e7f726297d,25/06/2023 22:55:11,ESCANER
17187,"Quiché",14,"Chichicastenango",6,2591,314,16,39,2,4,0,31,1,0,15,2,1,0,0,17,128,10,1,139,0,139,0,314,175,128,139,139,,1,de930959a370fe8ed08aac0f6f60f3d52c429efb4c9409e6aba446ecb2ba41cc,25/06/2023 23:15:18,ESCANER
17188,"Quiché",14,"Chichicastenango",6,2592,314,40,27,3,2,1,31,2,1,3,0,7,2,0,11,130,5,2,137,0,137,0,314,174,130,137,137,,1,3e82a7b5fdea00adfc7f08bba862e7a95df8124a42e0c76152c8533d3f09f95e,25/06/2023 22:48:46,ESCANER
17189,"Quiché",14,"Chichicastenango",6,2593,380,68,53,5,13,1,43,2,2,1,2,5,3,5,37,236,25,14,275,0,275,0,380,105,240,279,279,Sumas Asentadas sin cuadrar,1,ca340d83462c237e9ab2b41ed6b6b6092c0593516c727db5196db507890c7a3b,25/06/2023 22:52:21,ESCANER
17190,"Quiché",14,"Chichicastenango",6,2593,380,70,47,1,26,1,27,1,1,0,3,9,0,1,49,236,19,13,268,0,268,0,380,112,236,268,268,,1,dcd467455e0bbaceda5a1d814d707901401f0607be39580b404130c8a70b4fe0,26/06/2023 01:44:11,ESCANER
17191,"Quiché",14,"Chichicastenango",6,2593,380,49,35,5,11,2,27,3,0,1,2,37,4,2,68,246,16,6,268,2,270,2,381,111,246,268,270,,1,49c3e3dd4bf99527c4d99b4d07d1c67433dd5f0c7ff8b3fc241f8d3b5e761583,25/06/2023 23:19:50,ESCANER
17192,"Quiché",14,"Chichicastenango",6,2593,380,52,50,3,3,8,29,1,0,1,0,18,6,0,91,262,8,7,277,0,277,0,380,103,262,277,277,,1,89436888ccbbdd81cf88bd14d9ca3dd1365631bb7e2d34b3f9e4743d1362e03d,25/06/2023 23:41:47,ESCANER
17193,"Quiché",14,"Chichicastenango",6,2593,380,35,74,0,15,2,32,0,1,0,0,6,1,2,91,259,12,2,273,0,273,0,380,107,259,273,273,,1,98f2b2d310cafe3298e7529d0ee72437a05116b3dcdaa8b8a85486c21ac2c3b1,25/06/2023 23:04:33,ESCANER
17194,"Quiché",14,"Chichicastenango",6,2593,380,84,54,2,13,3,39,2,0,0,2,8,2,2,37,248,14,9,271,0,271,0,389,118,248,271,271,,1,f715bc1bbf7099c980232b2a33341e4fbc8ac5d23e3c8149e51888e08e34e089,25/06/2023 23:51:00,ESCANER
17195,"Quiché",14,"Chichicastenango",6,2593,380,49,38,0,11,2,60,1,0,0,0,1,2,1,93,258,15,7,280,0,280,0,380,100,258,280,280,,1,b0763b4a8f563311e38487fa220aec60717537e557a8786cfc40c6fe17cc1f34,26/06/2023 01:53:57,ESCANER
17196,"Quiché",14,"Chichicastenango",6,2593,380,36,61,6,19,1,50,0,0,1,1,6,0,0,62,243,13,6,262,0,262,0,380,118,243,262,262,,1,215ec92f6d9f771f503bade690bb7864ea3db9e886e8cb68ae4f869cefbbe701,26/06/2023 00:01:31,ESCANER
17197,"Quiché",14,"Chichicastenango",6,2593,380,42,28,4,18,3,43,0,0,1,0,2,3,1,50,195,5,5,205,0,205,0,376,171,195,205,205,,1,33f2441d80ecba413402d062ed8ee545c0488742b48a39e47d34ebbf20216b91,26/06/2023 00:36:44,ESCANER
