TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18592,12628,67.9216

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,CABAL,AZUL,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22277,"Zacapa",19,"La Unión",9,3467,400,44,117,28,4,1,40,234,14,5,253,0,253,0,393,140,234,253,253,,1,6f826c72db95d732b19912aa7486169750a47e4cd5b2f885e6829bf5f9d886bd,26/06/2023 02:42:11,ESCANER
22278,"Zacapa",19,"La Unión",9,3467,400,39,115,23,3,1,34,215,12,2,229,0,229,0,400,171,215,229,229,,1,d3f3138aac9891497d99078469f0dc3741f776fe469d31f3398a31ab0b72da7f,26/06/2023 01:34:31,ESCANER
22279,"Zacapa",19,"La Unión",9,3467,400,53,98,32,3,2,52,240,10,1,251,0,251,0,400,149,240,251,251,,1,97363e71ca9c7e5341dea2e08b3a3a0dd5444f64b3255dbfb4b1ae84a10bdbcc,26/06/2023 01:44:32,ESCANER
22280,"Zacapa",19,"La Unión",9,3467,400,59,110,26,2,2,32,231,7,2,240,0,240,0,418,178,231,240,240,,1,9efecba870f42108c2da0ba548113cfbc69cfe98aa24b688531dabe3331f85b0,26/06/2023 01:20:40,ESCANER
22281,"Zacapa",19,"La Unión",9,3467,362,54,98,29,2,0,34,217,7,1,225,0,225,0,362,137,217,225,225,,1,8d8e040394b80f87b2714fd7f57dc38db012adf07547dd62d4d930c57c39290c,26/06/2023 01:58:19,ESCANER
22282,"Zacapa",19,"La Unión",9,3468,361,35,93,28,1,2,21,180,6,4,190,0,190,0,361,171,180,190,190,,1,e58d9eff1a03b3413c4baff64bbfbe4432ef2cb5ecf5a7de128b8993f27826e4,26/06/2023 03:18:18,ESCANER
22283,"Zacapa",19,"La Unión",9,3469,380,71,79,23,7,0,49,229,30,5,264,0,264,0,377,113,229,264,264,,1,8d1632f30de95817f07a9025799d4ba6b9a00454b84a42c9c5b0fd679526177b,26/06/2023 06:06:05,ESCANER
22284,"Zacapa",19,"La Unión",9,3469,380,59,88,34,6,1,37,225,31,8,264,0,264,0,380,116,225,264,264,,1,55fd89590507894055cd0f0bc804218723ec156e3ddf1b970b6b2b82fa7d7821,26/06/2023 06:22:26,ESCANER
22285,"Zacapa",19,"La Unión",9,3469,380,66,91,23,9,1,43,233,29,6,268,0,268,0,380,112,233,268,268,,1,4d056961d16399fa9136e55aad8179b8f242ab14699dcbe392da4051bd02e0fa,26/06/2023 05:58:33,ESCANER
22286,"Zacapa",19,"La Unión",9,3469,380,126,105,24,13,2,43,313,16,3,332,0,332,0,377,45,313,332,332,,1,7e44989358259c68b28c9d121d6a0f7d4a0d3fdc5532bba00792309306711a7f,26/06/2023 07:26:22,ESCANER
22287,"Zacapa",19,"La Unión",9,3469,380,74,98,17,13,1,46,249,17,4,270,0,270,--,381,111,249,270,270,Algún campo sin dato,1,c655a188cac5efe321f0a7bc2cef44ac44ec911c981851364b2b46efbc5e2035,26/06/2023 07:14:46,ESCANER
22288,"Zacapa",19,"La Unión",9,3469,380,67,79,21,5,1,53,226,24,7,257,0,257,0,379,122,226,257,257,,1,e5559897d9bb2ff9560a9f5001cceff4e24c7378972c6acd33b19c021621aecb,26/06/2023 06:13:55,ESCANER
22289,"Zacapa",19,"La Unión",9,3469,380,72,83,16,5,2,63,241,13,3,257,0,257,1,377,120,241,257,257,,1,2f17ff73e927bc98459dca76db6dd59afc61581eb9dcb3ca82265a7316854610,26/06/2023 05:51:27,ESCANER
22290,"Zacapa",19,"La Unión",9,3469,380,75,79,19,11,0,42,226,5,2,233,0,233,0,380,147,226,233,233,,1,a4081ca24146c33d722f32f607780828262de36766e0e0b3275cacd1a5638329,26/06/2023 06:03:10,ESCANER
22291,"Zacapa",19,"La Unión",9,3469,268,58,62,19,6,0,26,171,2,1,174,0,174,0,168,94,171,174,174,,1,b9828d0d3124c722af78a252461f28b12364714bdb9163e23d0eb6b7caf72caf,26/06/2023 06:16:30,ESCANER
22292,"Zacapa",19,"La Unión",9,3469,267,45,50,13,3,0,24,135,3,4,142,0,142,0,267,125,135,142,142,,1,b41e8b65c0e5eb7b3bd4ccbe25c637f99d43eaccacc5c63edbd8561624c1b8da,26/06/2023 06:13:29,ESCANER
22293,"Zacapa",19,"La Unión",9,3470,380,57,108,14,23,1,47,250,22,7,279,0,279,0,380,101,250,279,279,,1,0b412b1ca7a47d6cca9066bd7b99bc9d2c5fc09326fec68b9ec41d219a51a7ba,26/06/2023 06:30:53,ESCANER
22294,"Zacapa",19,"La Unión",9,3470,380,65,154,21,20,0,32,292,14,4,310,0,310,0,377,67,292,310,310,,1,c5b495879a1497b9b0edbcbe3df9126d0c950db3c785256ccc6b122a15f11c4f,26/06/2023 06:36:34,ESCANER
22295,"Zacapa",19,"La Unión",9,3470,380,54,138,17,9,0,60,278,17,6,301,0,301,0,377,76,278,301,301,,1,8ae3e3f2f76aa4ce239dcb602e35156cf9e1f97293d9a07cc02af104e7a1cd38,26/06/2023 06:38:37,ESCANER
22296,"Zacapa",19,"La Unión",9,3470,380,89,96,16,20,1,56,278,4,3,285,0,285,0,380,95,278,285,285,,1,6c944ed11cddea4f915e813cf45c8cd08d21a92fe7638f882e2272507856db31,26/06/2023 06:31:03,ESCANER
22297,"Zacapa",19,"La Unión",9,3470,380,79,77,19,15,2,50,242,19,2,263,0,263,0,380,117,242,263,263,,1,e678fc59e30f1b316b9ab1ae45b8857b9a807ee13755d96132b25f9fda00ca3a,26/06/2023 06:40:57,ESCANER
22298,"Zacapa",19,"La Unión",9,3470,336,53,120,14,16,0,32,235,0,0,235,0,235,0,336,101,235,235,235,,1,9ffef5a8c93f022aa369e0fc28dabc6ae43772845dd1711d8278cb35632b1cad,26/06/2023 06:30:15,ESCANER
22299,"Zacapa",19,"La Unión",9,3470,336,59,94,14,16,0,39,222,3,3,228,0,228,0,336,108,222,228,228,,1,26c5028173fe65fc362076f5d4ecd0d2484fed219bd830dca069bd4f2ac58c46,26/06/2023 06:34:32,ESCANER
22300,"Zacapa",19,"La Unión",9,3471,380,33,142,29,5,1,56,266,20,4,290,0,290,0,380,90,266,290,290,,1,aa3cccdd573ab44d822725914b2e999abaf931187b955f72195d2642d7791b7a,26/06/2023 00:48:07,MOVIL
22301,"Zacapa",19,"La Unión",9,3471,380,45,141,32,11,0,45,274,37,6,317,0,317,0,380,63,274,317,317,,1,43038769b0fa2247bf7f76a6d6ec6ddcc417f61189a4cb2aad9f3aba82d93e17,26/06/2023 05:07:15,ESCANER
22302,"Zacapa",19,"La Unión",9,3471,380,58,108,41,1,0,38,246,30,3,279,0,279,0,380,101,246,279,279,,1,3019d103a344e34f5117e55b2a00ec9c7cb635d84933193c076b3f887a250795,26/06/2023 05:50:52,ESCANER
22303,"Zacapa",19,"La Unión",9,3471,328,26,117,24,3,0,29,199,8,2,209,0,209,0,328,119,199,209,209,,1,78bd3cab71e374dba4aabfd8ba4377dab906b0c092eb18f8aa60436fab36b707,26/06/2023 05:45:54,ESCANER
22304,"Zacapa",19,"La Unión",9,3471,327,35,86,26,3,0,41,191,8,0,199,0,199,0,327,128,191,199,199,,1,1fbdb9e6300289685666ec6990c30270a58262a134e0e8dc873db707cf3e3002,26/06/2023 05:21:45,ESCANER
22305,"Zacapa",19,"La Unión",9,3472,531,17,39,12,4,1,16,89,5,1,95,0,95,0,531,436,89,95,95,,1,fd2bd8b2f5f90e5cd9799e99bf85d7011f8273401fbd0c2dd4c6cc50654d8ebd,26/06/2023 03:23:23,ESCANER
