TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,22682,14702,64.8179

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,MLP,TODOS,MI FAMILIA,WINAQ,VIVA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17355,"Quiché",14,"Cunén",10,2626,380,77,48,70,1,3,0,1,3,0,24,227,2,3,232,0,232,--,380,148,227,232,232,Algún campo sin dato,1,d926a20381a329b7c8b2a8532faca50b69c67689977f6cb1cc261003810c51d6,26/06/2023 00:12:31,ESCANER
17356,"Quiché",14,"Cunén",10,2626,332,82,35,48,0,2,0,0,5,0,28,200,0,1,201,0,201,--,332,131,200,201,201,Algún campo sin dato,1,c31d788fcc6ff477fd82c41488fd866fb93bd35e59f3c03d8ae3d16f756fd409,25/06/2023 22:19:25,ESCANER
17357,"Quiché",14,"Cunén",10,2626,331,61,42,52,0,3,0,1,1,0,22,182,5,7,194,0,194,--,331,137,182,194,194,Algún campo sin dato,1,3270330aedffff0388872e0fc0bcc40597aab12ddf5467fe067d371674f21bb4,25/06/2023 22:32:21,ESCANER
17358,"Quiché",14,"Cunén",10,2627,380,85,22,80,2,3,2,2,1,0,13,210,19,8,237,0,237,--,380,143,210,237,237,Algún campo sin dato,1,b140f638fa8b4f2a9a937a6303d6a877f6b541278d175f94dbe655522325f105,25/06/2023 22:21:23,ESCANER
17359,"Quiché",14,"Cunén",10,2627,380,109,19,65,1,1,4,1,5,0,6,211,22,8,241,--,241,--,380,139,211,241,241,Algún campo sin dato,1,d4d3952768f64d369250a84bc4283eaaadd7a9b9e9c084d143d60fb84fdaf1ea,25/06/2023 22:49:17,ESCANER
17360,"Quiché",14,"Cunén",10,2627,380,133,7,79,1,2,1,2,1,0,9,235,11,8,254,0,254,--,380,126,235,254,254,Algún campo sin dato,1,86c8a0f1c6afe698a451f52228b2d8d02a3e95a28236d075582d17a1dc6e9349,25/06/2023 23:47:16,ESCANER
17361,"Quiché",14,"Cunén",10,2627,380,132,17,72,8,0,1,0,0,1,10,241,12,9,262,0,262,--,380,118,241,262,262,Algún campo sin dato,1,d7066bae1df3154861e6dd46b6fc4671c729306f9cdbd1eb68c39040410bf8e8,25/06/2023 23:00:04,ESCANER
17362,"Quiché",14,"Cunén",10,2627,380,100,14,53,2,1,1,0,1,0,18,190,14,4,208,0,208,--,380,172,190,208,208,Algún campo sin dato,1,0afdbf3ed0754a7bd0b8263483882afdd9d5417c7d26fe29993d3492a804d19f,25/06/2023 22:53:57,ESCANER
17363,"Quiché",14,"Cunén",10,2628,380,110,9,76,4,2,3,1,2,1,6,214,9,6,229,0,229,--,380,151,214,229,229,Algún campo sin dato,1,50b6105bec614c8794fd7ed8e265230973fc9b5f71b707922fe860b6e5019793,25/06/2023 23:15:32,ESCANER
17364,"Quiché",14,"Cunén",10,2628,380,112,10,65,3,0,0,1,2,1,9,203,3,1,207,0,207,--,280,173,203,207,207,Algún campo sin dato,1,3e79402f47dc45a022a5cb2986236baa381911f04eda6aa110c54c33c7ed3fae,25/06/2023 22:22:44,ESCANER
