TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,25674,15855,61.7550

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VICTORIA,VIVA,PODEMOS,WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16045,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,107,30,4,58,0,2,201,6,7,13,0,214,--,380,166,201,214,214,Sumas Asentadas sin cuadrar,1,e5ec0f76cdb43658a51ab6e82705d2ec46d27278cf759d76ee68d030118a3356,26/06/2023 00:53:50,ESCANER
16046,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,112,34,5,37,--,4,192,4,11,207,--,207,--,380,173,192,207,207,Algún campo sin dato,1,074adc0cb5cb6c315438e4a3f39c4c86235088ce84f25ad86529e1f5b382ba6a,26/06/2023 02:52:42,ESCANER
16047,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,146,48,2,36,0,7,239,1,2,242,0,242,--,374,134,239,242,242,Algún campo sin dato,1,b6d1ccbe4ac308624d9b7d450a45c488d25ffb9ea1ff26b25a8db1a354b48fe6,26/06/2023 02:42:02,ESCANER
16048,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,310,96,29,1,46,1,1,174,0,3,177,0,177,--,307,130,174,177,177,Algún campo sin dato,1,1c30d4fcd3013cb7eb028e724808e809f666e3f61701fa36f22a1a90da90ecce,25/06/2023 22:35:11,ESCANER
16049,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,310,98,31,4,40,0,3,176,0,6,182,6,188,--,307,119,176,182,188,Algún campo sin dato,1,d9a51916e7dcbfed3e5245f5bebdc8f04cdf6270a731f75c72fab03c69beae24,26/06/2023 01:39:20,ESCANER
16050,"Huehuetenango",13,"San Mateo Ixtatán",18,2360,380,142,82,0,24,0,1,263,9,5,277,0,277,--,377,114,249,263,263,Sumas Asentadas sin cuadrar,1,91c23cd5056fb19e7472313155e1509d0a88d272e25944613dfa6efd44ffafb6,25/06/2023 23:03:49,ESCANER
16051,"Huehuetenango",13,"San Mateo Ixtatán",18,2360,380,127,107,0,19,1,2,256,16,2,274,0,274,--,380,106,256,274,274,Algún campo sin dato,1,59e3c246118adda1d8afb23e241dfb7ab14b972eb45184f25b02d70d9defeded,25/06/2023 21:53:15,ESCANER
16052,"Huehuetenango",13,"San Mateo Ixtatán",18,2360,380,120,73,--,26,--,3,222,6,1,229,2,231,--,377,146,222,229,231,Algún campo sin dato,1,5a8a14f32dbde02542db97b8dd26f5d713ac6a8395a0346f839ec5b803353592,25/06/2023 22:23:28,ESCANER
16053,"Huehuetenango",13,"San Mateo Ixtatán",18,2360,380,119,97,0,24,0,2,242,2,3,247,0,247,0,377,130,242,247,247,,1,5073deb916cadf3da79636f043be8a98fa1e9d3b352d4f296910930fb50f6709,25/06/2023 22:01:43,ESCANER
16054,"Huehuetenango",13,"San Mateo Ixtatán",18,2361,380,125,14,2,14,0,4,224,5,2,231,0,231,--,381,147,159,166,166,Sumas Asentadas sin cuadrar,1,b60994d94d6d0217a4e972c31cf7d904f7b0b270f28a8469388ed426f21a81c3,25/06/2023 22:54:43,ESCANER
