TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
103,98,95.1456,95,92.2330,3,35835,24300,67.8107

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,VALOR,UNE,MLP,VAMOS,VIVA,SEMILLA,AZUL,TODOS,WINAQ,ELEFANTE,UR,MAR,CABAL,MI FAMILIA,PODER,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7958,"Escuintla",5,"San José",9,910,400,16,75,46,0,58,7,1,1,9,1,12,0,2,0,0,2,0,230,11,3,244,0,244,0,400,156,230,244,244,,1,e4f830f45ff5e025d78e1678bc9011fbd57d450d4e8088a07cc38cbe4294187a,25/06/2023 23:05:23,ESCANER
7959,"Escuintla",5,"San José",9,910,400,0,94,54,0,69,2,4,0,6,0,20,0,0,6,0,1,1,282,8,2,282,0,282,1,400,118,257,267,267,Sumas Asentadas sin cuadrar,1,15f75a38cc6b6453e3f2ba88d48bd0a7f85268ddf64ec0f0ee7208f7855b884a,26/06/2023 01:10:20,ESCANER
7960,"Escuintla",5,"San José",9,910,400,14,90,45,1,51,9,6,0,8,0,18,0,0,4,1,0,1,248,15,2,265,0,265,0,390,125,248,265,265,,1,8c2ffc06f01e1bc00798f4fbdb085680b6bfcdf0070a7d85a0b5737f95294482,26/06/2023 20:09:03,MOVIL
7961,"Escuintla",5,"San José",9,910,400,19,80,47,0,66,6,3,0,8,0,15,1,2,3,0,0,0,250,13,5,268,0,268,--,400,132,250,268,268,Algún campo sin dato,1,ec482a93c45d2df3c00e68b802085e72c15be98f3817fb55e286a27b13f3df37,26/06/2023 02:45:35,ESCANER
7962,"Escuintla",5,"San José",9,910,400,15,91,45,1,62,4,2,1,7,0,15,0,1,3,0,2,4,253,12,3,268,0,268,0,400,132,253,268,268,,1,34dd546222e893331bbca9e385d61fcbac0b700def0f35fb3cf015d0b9cca730,26/06/2023 02:16:58,ESCANER
7963,"Escuintla",5,"San José",9,911,400,10,71,34,1,71,9,3,0,8,0,11,0,3,2,0,0,1,224,23,3,250,0,250,--,--,--,224,250,250,Algún campo sin dato,1,0ba916227ee228ea6d905915bbaa5450a6c9e531f1b124bacf473f6087166225,27/06/2023 14:10:53,ESCANER
7964,"Escuintla",5,"San José",9,911,400,19,80,54,3,56,3,0,1,8,0,8,0,1,2,0,2,1,238,23,4,265,0,265,--,--,135,238,265,265,Algún campo sin dato,1,cbd3e805be96cfd64158df259b8d9a9ab7e0e9f58a3cef2b64b4c2ae7a814967,27/06/2023 15:59:42,ESCANER
7965,"Escuintla",5,"San José",9,911,400,17,82,49,0,62,7,2,1,7,0,12,0,1,3,0,1,1,245,13,0,258,0,258,--,400,142,245,258,258,Algún campo sin dato,1,6b887ecf862c69b8e249d7b5652103f09dedf4aea609bd25283981bc850c430d,27/06/2023 14:00:16,ESCANER
7966,"Escuintla",5,"San José",9,911,400,13,79,58,1,58,6,0,0,5,0,13,0,0,6,0,1,1,241,13,1,255,0,--,--,--,--,241,255,255,Algún campo sin dato,1,1e139d86c0382f61ff2a9b341d7138924fc84a6af621bf74a41136ff18aa6a41,27/06/2023 18:06:50,ESCANER
7967,"Escuintla",5,"San José",9,911,400,13,89,47,0,42,4,2,2,7,0,8,1,3,2,0,1,1,222,4,1,227,0,227,--,400,173,222,227,227,Algún campo sin dato,1,e99ee677cfa4ab0278854c5fe2a4d43b04e27a680a6ec43f5de536ea0fc8a612,27/06/2023 16:02:58,ESCANER
