TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,31273,23207,74.2077

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9369,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,184,105,1,1,1,292,6,1,299,0,299,--,380,81,292,299,299,Algún campo sin dato,1,47221284b1b4af894fb3e9200e3666c98ab489237f5b59fcdc1977659c16578b,25/06/2023 23:16:53,ESCANER
9370,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,198,93,1,0,0,292,1,5,298,0,298,0,380,82,292,298,298,,1,92b7e358c010d26ec6674572b6f6b092102025187446c2a7e0be0105e00abe9a,25/06/2023 23:00:57,ESCANER
9371,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,162,102,1,0,1,266,3,0,269,0,269,0,191,575,266,269,269,,1,7657220108249eec8614fa98b32e75d977d8f0a41b609c2b1a2839a9ad3d9bfc,26/06/2023 00:26:49,ESCANER
9372,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,165,81,3,0,0,249,2,2,253,0,--,0,380,127,249,253,253,Algún campo sin dato,1,bb3c18a6a9affc84c7a96d990c5eaf37ffadc94af8cc140b23f1fdefd96680d8,26/06/2023 00:11:24,ESCANER
9373,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,185,86,3,3,0,277,7,7,291,0,291,0,377,86,277,291,291,,1,66ec48e44254ff6f3b073d8a8d496de920f63e0316da2100df60c1cc49aa585d,26/06/2023 00:41:55,ESCANER
9374,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,161,117,3,2,0,283,15,7,305,--,305,0,380,75,283,305,305,Algún campo sin dato,1,5b5430331789b84813a5a4bb47acbe6e2266be911c6c3efb1bffccac55753dcf,26/06/2023 01:19:34,ESCANER
9375,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,141,121,0,0,1,263,8,6,277,0,277,0,380,103,263,277,277,,1,41cc270d8d2bbdb5b0445a0ba91f5c2dc939b866f7bebe2d6cb34c9d3f35f506,25/06/2023 23:48:14,ESCANER
9376,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,166,104,1,2,1,274,8,4,286,0,--,4,368,79,274,286,286,Algún campo sin dato,1,735cc8508fbb6a5037baad744cf6460770722040d35b6eb3f487c433d03a97fd,26/06/2023 01:53:00,ESCANER
9377,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,172,90,0,1,1,264,4,3,271,0,271,2,377,106,264,271,271,,1,99e7b67ff5f9bbddfc8436bf4a8340d15ede10d18f33f96c86b8d0aa97c10532,25/06/2023 23:57:05,ESCANER
9378,"Sololá",7,"Santa Catarina Ixtahuacán",6,1153,380,172,106,3,0,0,281,13,0,294,0,294,0,380,86,281,294,294,,1,8cf1a5a71a2a4c46afc0fc2d2f9d546732ee6eccadc0de44fa5364995a6cece2,25/06/2023 23:30:01,ESCANER
