TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,16049,11057,68.8952

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PODEMOS,VIVA,MLP,CAMBIO,TODOS,CABAL,VALOR,UNE,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12540,"Suchitepéquez",10,"Río Bravo",20,1713,400,93,3,12,0,2,96,6,15,9,1,237,21,2,260,0,260,--,--,--,237,260,260,Algún campo sin dato,1,bb135c2f071916b62738d4ba17d26473d35d40994115da11ac7d0a280e338176,26/06/2023 00:52:50,ESCANER
12541,"Suchitepéquez",10,"Río Bravo",20,1713,400,92,5,7,1,2,102,9,18,3,2,241,19,136,396,4,400,--,400,136,241,396,400,Algún campo sin dato,1,79512420135f7e8fd88aba432ed747d151581b1aea05ef543d17decf2c6e0ce2,26/06/2023 00:06:07,ESCANER
12542,"Suchitepéquez",10,"Río Bravo",20,1713,400,119,3,7,0,0,85,2,26,2,0,244,4,1,249,0,249,--,397,148,244,249,249,Algún campo sin dato,1,aebfa8e9d61790b3c50b44c5dc65bce4a974e0d2dd6be25df0c34547d3257862,26/06/2023 01:03:22,ESCANER
12543,"Suchitepéquez",10,"Río Bravo",20,1713,264,63,2,7,1,0,78,4,12,2,0,169,4,0,173,0,169,--,264,91,169,173,173,Sumas Asentadas sin cuadrar,1,2b99488494768ed58049a7b1e6ee23b86462f3883713d04660dc08c12d6f1e45,25/06/2023 23:40:09,ESCANER
12544,"Suchitepéquez",10,"Río Bravo",20,1713,263,74,1,3,0,0,51,4,13,5,1,152,5,2,159,0,159,--,260,101,152,159,159,Algún campo sin dato,1,d6f6c17d4f15e04f6a9f9836c35ac8927f945bc2574c94f6ba07b51d4fe76754,25/06/2023 23:27:22,ESCANER
12545,"Suchitepéquez",10,"Río Bravo",20,1714,380,89,0,13,0,1,113,2,45,5,1,269,28,5,302,0,302,--,380,78,269,302,302,Algún campo sin dato,1,38e6a48d6157adb83fc71aecd8fa9b9934ad9c6ae4694e5e69b0e60f27eaf93d,26/06/2023 01:06:50,ESCANER
12546,"Suchitepéquez",10,"Río Bravo",20,1714,380,110,1,8,0,0,124,2,41,5,1,292,23,3,318,0,318,--,377,59,292,318,318,Algún campo sin dato,1,51c6bee3325d07808038b69d3fc6e01bf85120f7c2dc6b962c8261e0a2bc0d77,26/06/2023 03:14:28,MOVIL
12547,"Suchitepéquez",10,"Río Bravo",20,1714,380,82,0,6,0,1,124,0,35,1,2,251,17,4,272,0,272,--,380,108,251,272,272,Algún campo sin dato,1,798c657eb54d7aed7512681f14c79dde379df9b09f95ebaf60f81d9a5fdd4871,26/06/2023 00:23:15,ESCANER
12548,"Suchitepéquez",10,"Río Bravo",20,1714,380,87,1,7,0,0,106,1,45,2,1,250,31,2,283,0,283,--,380,97,250,283,283,Algún campo sin dato,1,acf28e8d7ea3f09f1713bf303d3824a6045ed88d42abeea72229cae7a3a3234e,26/06/2023 00:50:53,ESCANER
12549,"Suchitepéquez",10,"Río Bravo",20,1714,298,72,0,6,1,0,91,0,45,1,0,216,4,3,223,0,223,--,298,75,216,223,223,Algún campo sin dato,1,b04208033418f897f3ed54202d83e3cd6a57da329459c786bb05e4b3d1ebd01a,26/06/2023 01:01:56,ESCANER
12550,"Suchitepéquez",10,"Río Bravo",20,1714,298,73,0,4,0,0,78,1,37,0,0,193,3,1,197,0,197,1,198,101,193,197,197,,1,ac0781c20ac17b06b6d9e8b31691f0a3189db4025ec136544d86e0103027e954,26/06/2023 00:49:45,ESCANER
12551,"Suchitepéquez",10,"Río Bravo",20,1715,380,62,1,11,0,4,114,9,6,15,0,222,30,12,264,0,264,--,380,116,222,264,264,Algún campo sin dato,1,496d8ac26c3beffaecdc78c16a2188b7452f0d22f2aa77e09929e8bace333b12,26/06/2023 02:08:14,ESCANER
12552,"Suchitepéquez",10,"Río Bravo",20,1715,380,62,0,18,0,0,97,4,13,14,1,209,27,2,238,0,238,--,380,142,209,238,238,Algún campo sin dato,1,ba198dcb8bffc1c2d899e846365c1d782f14a795e85eb39acf22147068d1633a,26/06/2023 00:42:37,ESCANER
12553,"Suchitepéquez",10,"Río Bravo",20,1715,206,34,2,5,0,0,63,3,9,3,0,119,16,1,136,0,136,--,203,67,119,136,136,Algún campo sin dato,1,3333ac286e05e559810b0684046e430d517618d8b078cde3b28a3b936f412ebe,25/06/2023 23:40:49,ESCANER
12554,"Suchitepéquez",10,"Río Bravo",20,1715,206,29,0,2,0,0,55,2,5,4,0,97,5,1,103,--,103,--,206,103,97,103,103,Algún campo sin dato,1,5f12551447b3bdc7361f36b3fd6b7a94025f501eb76df62c4f4eb007f2393cad,25/06/2023 22:57:47,ESCANER
12555,"Suchitepéquez",10,"Río Bravo",20,1716,597,49,0,6,0,3,43,3,7,2,0,113,11,1,125,0,125,--,593,468,113,125,125,Algún campo sin dato,1,ebd0aa7a45adc12d630796d218ae2ce3ee36eae867d05206623759f67f6cd8ad,26/06/2023 00:21:25,ESCANER
