TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,21863,15243,69.7205

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,ELEFANTE,VICTORIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22955,"Chiquimula",20,"Quezaltepeque",9,3602,376,89,134,4,0,4,0,231,10,5,246,0,246,--,373,127,231,246,246,Algún campo sin dato,1,1f81e0f7c866e80c86ebf8a81fb197e39b4f14f5c320e400eea1bc6894f353fd,26/06/2023 03:08:33,ESCANER
22956,"Chiquimula",20,"Quezaltepeque",9,3602,375,105,156,4,0,2,0,267,2,1,270,0,270,0,372,102,267,270,270,,1,f4a10957c73f782ddac4895bb96671cb70813dfd09902916a8690ac4b324774a,26/06/2023 03:13:48,ESCANER
22957,"Chiquimula",20,"Quezaltepeque",9,3603,380,174,107,2,2,0,0,285,8,2,295,0,295,--,380,85,285,295,295,Algún campo sin dato,1,61d123c694cb99d5e17a16db6585e7dbfcca1884a3b1f023b61ae80ac4d06314,26/06/2023 02:30:10,ESCANER
22958,"Chiquimula",20,"Quezaltepeque",9,3603,380,163,116,2,0,0,1,282,8,1,291,0,291,--,377,86,282,291,291,Algún campo sin dato,1,46953548d2ab302d3f25817b3a366f7fb334d73fbc3d42cd9396dcb4721aebb0,26/06/2023 02:52:05,ESCANER
22959,"Chiquimula",20,"Quezaltepeque",9,3603,308,140,70,2,1,0,0,213,3,0,216,0,216,--,305,89,213,216,216,Algún campo sin dato,1,f1aca062ce2d73b29b6745b5ec1adb5f5e567d88e3a47afad4162096665bf00b,26/06/2023 03:09:58,ESCANER
22960,"Chiquimula",20,"Quezaltepeque",9,3603,308,128,81,1,0,0,0,210,5,0,215,0,215,--,308,93,210,215,215,Algún campo sin dato,1,a6797d03d398ada935783058532e097b8fe0f60ea7ba3f82ba58077cd329dc34,26/06/2023 02:54:59,ESCANER
22961,"Chiquimula",20,"Quezaltepeque",9,3604,380,98,146,18,3,3,--,268,11,2,281,0,281,0,400,119,268,281,281,Algún campo sin dato,1,c3a479efadb3495c8b026593b5393fc7d350a5b0294306a3161227fcc6993b9e,26/06/2023 03:25:26,ESCANER
22962,"Chiquimula",20,"Quezaltepeque",9,3604,380,141,122,4,2,2,2,273,8,4,285,0,285,0,381,96,273,285,285,,1,9c10389df7fe1c64c2e8b6ec6bfd787ef66d7dd5d7923861bca7e70154b65f35,26/06/2023 03:39:41,ESCANER
22963,"Chiquimula",20,"Quezaltepeque",9,3604,380,129,142,13,3,0,0,287,10,5,302,0,302,1,400,98,287,302,302,,1,475b0dc77db777a6a4f43665736472e8a31ca48deefb4799fcb898503ebb4eac,26/06/2023 03:52:17,ESCANER
22964,"Chiquimula",20,"Quezaltepeque",9,3604,380,102,104,5,2,1,2,216,5,1,222,0,222,1,378,156,216,222,222,,1,66bfbf203b133d7b6cca280a0b4eb48301a763254b0478f7c7f385d5b777527d,26/06/2023 04:39:21,ESCANER
22965,"Chiquimula",20,"Quezaltepeque",9,3604,380,118,104,11,2,0,1,236,1,2,239,0,239,--,400,161,236,239,239,Algún campo sin dato,1,4cb818338aa47766b0521a02bd0c107cd155c73e01fc7ac52329214d1063f4bc,26/06/2023 04:26:37,ESCANER
22966,"Chiquimula",20,"Quezaltepeque",9,3604,194,63,72,3,1,1,0,140,3,0,143,0,143,0,194,51,140,143,143,,1,a7a952fe4d08a2f6a6ae57a2b293dcf6416bd9ac98a3dfdb4a02afb1da48e1c7,26/06/2023 04:32:42,ESCANER
