TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,26438,13961,52.8065

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,CREO,VICTORIA,UNE,MLP,CABAL,VOS,ELEFANTE,PODEMOS,AZUL,BIEN,PHG,SEMILLA,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13990,"San Marcos",12,"El Tumbador",13,1965,380,102,69,14,3,3,2,4,2,1,1,0,1,2,0,3,232,22,2,256,0,256,--,380,124,207,231,231,Sumas Asentadas sin cuadrar,1,a5520add48082d92e9a76cc04aa71e463d4bfbed8574729c70425952568b8414,26/06/2023 05:54:02,ESCANER
13991,"San Marcos",12,"El Tumbador",13,1965,380,109,100,8,1,3,0,2,3,1,1,2,2,3,0,1,236,33,2,271,0,271,1,380,109,236,271,271,,1,0ee997de4e1daa4050b636da2ae99ed7bbdffb502a62a13d69b8edd1af0ac2f0,26/06/2023 04:59:20,ESCANER
13992,"San Marcos",12,"El Tumbador",13,1965,380,97,62,21,1,9,4,4,1,4,3,1,3,3,0,4,217,16,6,239,0,239,0,380,141,217,239,239,,1,cbf5aa196c41fa4043291c18dfe9c6f59d6ded7a708a5dfbdba765ad28b453de,26/06/2023 05:10:33,ESCANER
13993,"San Marcos",12,"El Tumbador",13,1966,380,93,81,19,3,4,2,2,2,1,2,0,0,1,1,1,212,25,8,245,--,0,--,380,135,212,245,245,Algún campo sin dato,1,15a86ffe9b61730dae5d72dad800c6ccc82cfc0153330dc81c3d22dd442996d3,26/06/2023 05:50:25,ESCANER
13994,"San Marcos",12,"El Tumbador",13,1966,380,80,86,8,1,2,1,1,1,0,1,0,1,2,0,0,184,12,0,196,0,196,--,380,184,184,196,196,Algún campo sin dato,1,d3695f4d6edef974e1505cda27bf984ddfee2159450442ea4ee104f7e7d31d1e,26/06/2023 04:34:57,ESCANER
13995,"San Marcos",12,"El Tumbador",13,1966,380,75,77,7,2,1,0,0,2,1,0,0,2,2,0,1,170,20,2,192,0,192,--,380,187,170,192,192,Algún campo sin dato,1,f43dbd9ddc5b498d1f1fa5f91f3c5c68b3a77e9628ba0b2699c89f0b05c5bb86,26/06/2023 04:47:52,ESCANER
13996,"San Marcos",12,"El Tumbador",13,1966,380,67,72,10,2,3,2,4,4,1,0,1,0,1,0,5,172,14,3,189,0,189,--,380,191,172,189,189,Algún campo sin dato,1,d3647ee74ebbbe94b749e6626b012ff1f672ebc261e234d27fcad4290859e02e,26/06/2023 04:53:08,ESCANER
13997,"San Marcos",12,"El Tumbador",13,1966,380,74,61,5,3,3,1,0,1,1,1,0,0,2,0,0,152,15,7,174,0,174,0,380,206,152,174,174,,1,a82f1475b5f18d70d3854a0cb7d27f3b5817f2ded5af2f1fc354d64c4a3e5b8d,26/06/2023 04:52:31,ESCANER
13998,"San Marcos",12,"El Tumbador",13,1966,380,76,83,9,0,5,2,0,1,1,1,0,2,1,1,2,184,5,0,189,0,189,0,380,191,184,189,189,,1,78b6554918591adc06f3aa053ec891afe6cae35001a5510a940feb5cbe79947d,26/06/2023 04:56:01,ESCANER
13999,"San Marcos",12,"El Tumbador",13,1966,380,54,74,8,2,1,0,1,2,1,0,0,0,2,0,0,145,2,0,147,0,147,--,380,233,145,147,147,Algún campo sin dato,1,87c1c8133e071b2c0e12337706f08dbed7905cef79cbc4c1dde7c6ef55286fd8,26/06/2023 04:33:23,ESCANER
14000,"San Marcos",12,"El Tumbador",13,1966,379,73,84,6,2,3,1,1,4,0,2,0,0,0,0,2,178,2,1,181,0,--,0,379,198,178,181,181,Algún campo sin dato,1,4728f8a5925fac5ef42a041279ea215889b228447dbeb8f755dcdcaeb41b7c51,26/06/2023 04:23:43,ESCANER
14001,"San Marcos",12,"El Tumbador",13,1966,379,64,56,10,2,2,0,1,2,0,2,0,0,1,1,1,142,7,0,149,0,149,--,379,230,142,149,149,Algún campo sin dato,1,0a3135d57d126ea3fff9e2868cbdbb1bd5bcd1d8e775cabfab02058bbbc22c56,26/06/2023 04:58:08,ESCANER
14002,"San Marcos",12,"El Tumbador",13,1967,380,67,71,15,6,14,19,1,1,0,3,1,1,7,0,2,208,26,1,235,0,235,--,380,145,208,235,235,Algún campo sin dato,1,e72d1873cedb46a114af0aa32bd7a0d53e91a3329f120658508024e11e2987a8,26/06/2023 00:31:31,ESCANER
14003,"San Marcos",12,"El Tumbador",13,1967,380,51,75,14,5,10,19,6,0,1,3,2,2,6,0,6,200,23,4,227,0,227,--,380,153,200,227,227,Algún campo sin dato,1,f1b9e4f82edda20324755a9391028eaf25f98fd051a391e897cec00153f4b3b2,26/06/2023 02:12:39,ESCANER
14004,"San Marcos",12,"El Tumbador",13,1967,380,60,80,15,4,7,12,13,2,3,1,0,3,8,0,3,211,19,7,237,143,380,--,380,143,211,237,380,Algún campo sin dato,1,a4feb24431dd3f28a62e49f9fbac05da5fac68e5027e46a3e3831ea39a0e5044,26/06/2023 00:46:46,ESCANER
14005,"San Marcos",12,"El Tumbador",13,1967,380,71,72,7,4,20,18,4,1,2,2,2,1,6,0,11,221,25,1,247,0,247,--,380,133,221,247,247,Algún campo sin dato,1,4745260f3cfc5db5bc62e4764025ae82530f491c6f223ce32402051ab7bafb39,26/06/2023 00:58:44,ESCANER
14006,"San Marcos",12,"El Tumbador",13,1967,380,48,80,17,1,5,7,6,1,2,0,0,2,7,0,1,177,19,0,196,0,196,--,380,184,177,196,196,Algún campo sin dato,1,52efc58fa0ccf264382054897637a655bd9850bca471fd1eef0fb5e95f959628,26/06/2023 00:10:36,ESCANER
