TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
98,97,98.9795,96,97.9591,1,34446,18528,53.7885

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,ELEFANTE,BIEN,AZUL,UNE,WINAQ,PODEMOS,VICTORIA,VIVA,VAMOS,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13545,"San Marcos",12,"Concepción Tutuapa",6,1874,380,84,5,12,79,1,4,2,0,0,0,0,0,0,187,39,11,237,0,237,--,380,143,187,237,237,Algún campo sin dato,1,bdcd4e3fca790d7f378831c5f5804fe8917f732bf507914d6288f6499b8b91e5,26/06/2023 01:40:48,ESCANER
13546,"San Marcos",12,"Concepción Tutuapa",6,1874,380,82,6,20,84,4,9,3,0,1,3,3,0,0,215,20,4,239,0,239,--,380,141,215,239,239,Algún campo sin dato,1,ecb058fb41c3c914941f21b8390253ad298ba38276b2fa70e6d6fbb525e58fe6,26/06/2023 02:00:11,ESCANER
13547,"San Marcos",12,"Concepción Tutuapa",6,1874,380,81,2,19,92,2,7,2,1,1,1,0,0,1,209,21,10,240,0,240,--,380,140,209,240,240,Algún campo sin dato,1,c7625b8952745ff7dc037b0406f966f4a7656f0dc955a437ca3488205aeb7447,26/06/2023 01:56:29,ESCANER
13548,"San Marcos",12,"Concepción Tutuapa",6,1874,380,73,2,8,95,2,9,1,1,1,2,0,0,0,194,29,8,231,0,231,--,380,146,194,231,231,Algún campo sin dato,1,34144ad62d7a238a43a04049376ab15334174415768f222190e75d266dfc199e,26/06/2023 01:50:07,ESCANER
13549,"San Marcos",12,"Concepción Tutuapa",6,1874,380,69,2,17,61,2,2,0,0,1,1,1,0,0,156,16,6,179,0,179,1,380,201,156,178,178,Sumas Asentadas sin cuadrar,1,08d6db38838ad83322e3687d335e37573586464bdb3a1a7dae7e15ddad1d5a2d,26/06/2023 04:24:04,ESCANER
13550,"San Marcos",12,"Concepción Tutuapa",6,1874,380,62,2,19,71,1,2,1,0,1,0,4,1,1,165,18,10,193,0,193,--,380,187,165,193,193,Algún campo sin dato,1,1c50cc486054017312235651fee40f93705590d818555af0c33c5b21e3bde1b1,26/06/2023 01:45:17,ESCANER
13551,"San Marcos",12,"Concepción Tutuapa",6,1874,380,62,3,13,64,1,8,0,1,1,0,2,0,0,155,11,8,174,0,174,--,377,203,155,174,174,Algún campo sin dato,1,008cbd9157a429970e60b5d5c44ab59f9c05ececcbf5ef8bd322fc22f98255d5,26/06/2023 01:30:43,ESCANER
13552,"San Marcos",12,"Concepción Tutuapa",6,1874,380,47,2,10,67,0,1,0,0,1,0,0,0,0,128,5,2,135,0,135,--,380,245,128,135,135,Algún campo sin dato,1,6d41ff76be2ed7789e06f614230e41b9d2b439803ca41e2433b1b6d24b015916,26/06/2023 01:33:25,ESCANER
13553,"San Marcos",12,"Concepción Tutuapa",6,1874,208,29,0,6,39,0,1,0,0,0,0,0,0,0,75,0,5,80,0,80,--,208,128,75,80,80,Algún campo sin dato,1,11f6ec1a4b33979731d6d3b7466b7e35f9978cd1071c4af4e811105857c851bc,25/06/2023 21:59:18,MOVIL
13554,"San Marcos",12,"Concepción Tutuapa",6,1874,208,25,0,7,28,1,1,0,0,0,0,0,0,0,62,4,6,72,0,72,--,208,136,62,72,72,Algún campo sin dato,1,ec37917f351bc14c7a8432a067bf5fff8425ec3f6bb1bd9145b8b42ae065bc04,25/06/2023 22:50:05,MOVIL
