TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
123,123,100.0000,123,100.0000,0,45663,25133,55.0401

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,MLP,PPN,AZUL,VAMOS,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17491,"Quiché",14,"Joyabaj",12,2655,380,2,5,2,21,0,33,0,158,221,9,5,235,0,235,--,380,145,221,235,235,Algún campo sin dato,1,064387537a5f50daf2c335d56138c37191603ede484381ca6506ff749b471d01,25/06/2023 23:16:12,ESCANER
17492,"Quiché",14,"Joyabaj",12,2655,380,13,12,2,25,1,67,2,106,228,7,4,239,0,239,--,380,141,228,239,239,Algún campo sin dato,1,b7683b5d19de23bdedeb2824b7eb45fbe569d09d9ceb08782e3e29fffe22f3a5,26/06/2023 00:52:50,ESCANER
17493,"Quiché",14,"Joyabaj",12,2655,380,7,8,0,18,0,53,3,113,202,12,2,216,0,216,--,379,163,202,216,216,Algún campo sin dato,1,84a42268dc8c411d93da5e0fc5534f56c536a6c4356ef06322f4620cc63aca22,26/06/2023 01:41:43,ESCANER
17494,"Quiché",14,"Joyabaj",12,2655,368,5,6,1,20,1,42,5,92,172,1,3,176,6,182,1,368,185,172,176,182,,1,fe038f5e82b49038ce2ee2934b48c9f67d497b9bd9093fa53ecfa03ee6e0ac4a,26/06/2023 01:08:49,ESCANER
17495,"Quiché",14,"Joyabaj",12,2655,367,5,8,1,13,1,34,2,134,198,3,0,201,0,201,0,367,166,198,201,201,,1,f08d88f66c02612cff311dba96241464d5b10cfa33f7d9e3d0bae81b1a3d7665,25/06/2023 22:34:02,ESCANER
17496,"Quiché",14,"Joyabaj",12,2656,380,6,9,1,96,0,73,1,49,235,17,8,260,0,260,--,380,120,235,260,260,Algún campo sin dato,1,7f2bc2e90b7205141e2646782343cd694b3419b7f7c59b0d76e1ae9d8c623a2f,25/06/2023 22:30:15,ESCANER
17497,"Quiché",14,"Joyabaj",12,2656,380,1,4,3,101,0,59,0,55,223,14,11,248,0,248,--,379,131,223,248,248,Algún campo sin dato,1,76bc233936bea30325ae6df22a52773d2df206bd5fa6205a7f07f212a7ffb341,26/06/2023 00:10:22,ESCANER
17498,"Quiché",14,"Joyabaj",12,2656,380,5,9,2,147,0,33,4,55,255,19,8,282,0,282,0,380,98,255,282,282,,1,8ae0de54947000162a3cfd97fb1245205bec7f932daae53e264e05dd980bb8cc,25/06/2023 23:06:04,ESCANER
17499,"Quiché",14,"Joyabaj",12,2656,380,1,8,0,98,0,53,0,36,196,5,4,205,1,206,--,380,174,196,205,206,Algún campo sin dato,1,e567f3ed73ba559216f4c9e38f4bc7b4c4e968b71932e37c32d4258087be9821,26/06/2023 00:19:16,ESCANER
17500,"Quiché",14,"Joyabaj",12,2656,292,1,4,1,98,0,46,1,30,181,3,4,188,0,188,--,292,104,181,188,188,Algún campo sin dato,1,9172db08c5c72c8943594eb0cc01ceed7cda850cff22ba401378611c767217b8,25/06/2023 21:09:19,ESCANER
17501,"Quiché",14,"Joyabaj",12,2656,292,1,2,1,96,0,41,0,37,178,7,3,188,0,188,--,292,104,178,188,188,Algún campo sin dato,1,5cbdeec50a6d13355bc1f3d12ae4972fd5da97eb8d09827a43a2e9469f181390,25/06/2023 22:13:43,ESCANER
17502,"Quiché",14,"Joyabaj",12,2657,380,0,7,3,24,0,87,4,44,169,9,3,181,0,181,--,380,199,169,181,181,Algún campo sin dato,1,8dd21ba1340f3a4559c82f62bfc1694eaa148ee84c820648a5366a5f9cd1b085,26/06/2023 00:56:01,ESCANER
17503,"Quiché",14,"Joyabaj",12,2657,380,0,4,6,25,0,85,4,53,177,14,8,199,0,199,0,380,181,177,199,199,,1,776c1f91519a5e3b34ac95f9c4953747c65ab35fcef517effdb0c87a57243a07,26/06/2023 00:20:12,ESCANER
17504,"Quiché",14,"Joyabaj",12,2657,380,0,8,3,20,0,63,1,63,158,16,8,182,0,182,--,376,194,158,182,182,Algún campo sin dato,1,ad1e72c107ffc883c28badd567d4c8320ee2c8bf80c23446773aaac1672fbf8f,25/06/2023 23:24:05,ESCANER
17505,"Quiché",14,"Joyabaj",12,2657,380,1,8,10,29,0,93,2,44,187,12,11,210,0,210,0,378,168,187,210,210,,1,21b1fc28beaa56383d60d711220aed7c30029e8b82e006e87727f67181b46c90,25/06/2023 23:04:08,ESCANER
17506,"Quiché",14,"Joyabaj",12,2657,380,0,5,8,34,0,68,2,40,157,7,2,166,0,166,--,376,210,157,166,166,Algún campo sin dato,1,2bf68eadb446771cee8f7f301f601ac9da510dfa2769c07bfdbaeae3a84f7ad8,25/06/2023 23:45:04,ESCANER
17507,"Quiché",14,"Joyabaj",12,2658,380,1,2,2,29,0,73,1,29,137,6,3,146,0,146,--,380,234,137,146,146,Algún campo sin dato,1,e093b85d0e970e6071fcd3103a4f062a099d4e7a0231658aacaf2339122b385c,25/06/2023 23:37:34,ESCANER
17508,"Quiché",14,"Joyabaj",12,2658,380,0,5,6,29,0,75,3,33,151,4,3,158,0,158,0,380,222,151,158,158,,1,5c4631139847ba7b39c8a8157f6c42a68dc867fc2b2c4c7642d31c382955f3b1,25/06/2023 22:21:58,ESCANER
17509,"Quiché",14,"Joyabaj",12,2658,380,1,5,2,30,2,63,1,18,122,5,3,130,0,130,--,380,250,122,130,130,Algún campo sin dato,1,0c0588f57129060125f3e83e2cefff10c2f8b3543782820d824f947e17b42309,25/06/2023 22:49:17,ESCANER
17510,"Quiché",14,"Joyabaj",12,2658,380,1,3,2,33,1,84,2,37,163,1,2,166,0,166,--,380,214,163,166,166,Algún campo sin dato,1,2c7cbadc8db15fcff4db46502d5f81da1e2ab19c68a5e0de98a6614cef01a2f4,25/06/2023 21:06:41,ESCANER
17511,"Quiché",14,"Joyabaj",12,2658,230,0,0,1,29,0,51,0,10,91,2,0,93,0,93,--,230,137,91,93,93,Algún campo sin dato,1,31d76e37f480ba4f18b04da903767914a732c75cc5a52fbe0dc2d10528ccdada,25/06/2023 22:04:01,ESCANER
17512,"Quiché",14,"Joyabaj",12,2658,230,0,2,2,24,0,45,0,21,94,8,3,105,0,105,0,230,125,94,105,105,,1,ff1c81d18b0f474705de415a9f2bb81ff9e4a6461b50fe02bfa6b10bf272f941,25/06/2023 22:35:46,ESCANER
17513,"Quiché",14,"Joyabaj",12,2659,380,0,9,1,47,0,68,3,88,216,20,7,243,0,243,--,380,137,216,243,243,Algún campo sin dato,1,580eb3cd5d464e80d393a5f661b7745091a1976c4193ab77179197fb0c67fc15,25/06/2023 23:08:22,ESCANER
17514,"Quiché",14,"Joyabaj",12,2659,380,1,5,0,62,2,75,3,63,211,17,9,237,0,237,--,380,143,211,237,237,Algún campo sin dato,1,de62c476a210144899c0c02c2208c1d18c7c94e48db51a85a740e7a1b4042cc8,25/06/2023 22:03:03,ESCANER
17515,"Quiché",14,"Joyabaj",12,2659,380,3,11,0,21,1,72,0,92,200,14,7,221,0,221,--,380,159,200,221,221,Algún campo sin dato,1,e18a3a4b0d3cb4bb7c1243eb66e8f8cd350593866d1c02ddbef404c36b5ce60a,25/06/2023 21:15:43,ESCANER
17516,"Quiché",14,"Joyabaj",12,2659,380,9,18,4,26,1,57,4,103,222,13,8,243,0,243,--,380,137,222,243,243,Algún campo sin dato,1,ee9a7c3b2fa79d23c5e4f7b776e1916530c9324cf8bd8f6623b3c4951479e3d1,25/06/2023 22:36:01,ESCANER
17517,"Quiché",14,"Joyabaj",12,2660,380,1,16,0,38,0,53,5,70,183,16,10,209,0,209,0,380,171,183,209,209,,1,d4d5ab47d1467b93118269f0a3a4ff7d13977c16791ce86de7a8240a6983429d,26/06/2023 00:33:01,ESCANER
17518,"Quiché",14,"Joyabaj",12,2660,380,2,9,1,35,0,39,3,82,171,9,7,187,0,187,--,380,193,171,187,187,Algún campo sin dato,1,c16776bc9ac90fe3ced53bb142204ee58b9c424ace24493ad69c696c07c99920,25/06/2023 22:57:52,ESCANER
17519,"Quiché",14,"Joyabaj",12,2660,245,2,7,0,19,0,34,1,54,117,1,0,118,0,118,--,245,127,117,118,118,Algún campo sin dato,1,f6b44d3d9b5b9cd64a060a6894e3975af56da72b6dac4d638b4a8ce16b772f30,25/06/2023 21:31:48,ESCANER
17520,"Quiché",14,"Joyabaj",12,2660,244,0,3,1,24,2,47,0,51,128,0,5,133,0,133,--,244,111,128,133,133,Algún campo sin dato,1,4432a691d0ad990161fa213f48587fe5b5451ee5b38ebe4795dc60076334108a,25/06/2023 21:01:19,ESCANER
17521,"Quiché",14,"Joyabaj",12,2661,380,2,15,2,15,4,85,2,91,216,7,4,227,0,227,--,380,153,216,227,227,Algún campo sin dato,1,b68d97edc998c7f17be1406bb21912d08ccc14f3fa5a5e4d565d795f13d7fc4d,26/06/2023 02:20:46,MOVIL
17522,"Quiché",14,"Joyabaj",12,2661,380,3,6,0,12,1,78,6,81,187,7,4,198,0,198,--,379,181,187,198,198,Algún campo sin dato,1,dfb1a9fec01a1a867558d1e55b40bb70027b9c880e0cb2d558b3e37d361c1f78,25/06/2023 21:07:10,ESCANER
17523,"Quiché",14,"Joyabaj",12,2661,277,3,8,2,12,0,51,1,55,132,8,0,140,0,140,--,277,137,132,140,140,Algún campo sin dato,1,a2587fb6193ac33e2aa99e3d5a428b94970aa5c6ad818ab38b6ee69cce1c220e,25/06/2023 21:30:02,ESCANER
17524,"Quiché",14,"Joyabaj",12,2661,276,2,4,1,8,1,50,1,72,152,12,1,165,0,165,--,273,124,139,152,152,Sumas Asentadas sin cuadrar,1,f36f001d6d23647d70fd8c9dd3ab3ee316cfecfc69b42bfb7975c706491aa7f7,25/06/2023 21:54:44,ESCANER
17525,"Quiché",14,"Joyabaj",12,2662,380,2,6,3,89,0,91,3,42,236,16,10,262,1,263,0,380,117,236,262,263,,1,e0494dfc42a67629d403766957bd878ffd6d79598e1deea323a03db27f29cd07,26/06/2023 00:30:37,ESCANER
17526,"Quiché",14,"Joyabaj",12,2662,380,2,9,2,73,1,90,2,63,242,16,12,270,0,270,--,380,106,242,270,270,Algún campo sin dato,1,3aad0dd22908b71c37e4ad06d9aa3dcdc7d01859fc7688499b09badf3cc23542,26/06/2023 00:58:26,ESCANER
17527,"Quiché",14,"Joyabaj",12,2662,380,2,5,5,85,2,75,1,45,220,9,5,234,0,234,--,380,146,220,234,234,Algún campo sin dato,1,721b8d7bded07886cdfda62483ce9024514450b0ce21fe09bbd982fae6e414bc,26/06/2023 00:00:27,ESCANER
17528,"Quiché",14,"Joyabaj",12,2662,380,3,2,1,47,2,86,2,66,209,10,6,225,0,225,--,379,154,209,225,225,Algún campo sin dato,1,ca19bb677a9f4af4f7f31b6db130d381cd972a4f46bf6cdee0af26c1cc963aee,26/06/2023 02:15:48,ESCANER
17529,"Quiché",14,"Joyabaj",12,2662,380,1,9,1,28,1,86,1,99,226,24,13,263,0,263,--,377,114,226,263,263,Algún campo sin dato,1,5c8412bed8bd3da6135d837bbd50f15c615ca9d73e5aa9ad39f0771f1a61dc1e,26/06/2023 01:40:37,ESCANER
17530,"Quiché",14,"Joyabaj",12,2662,380,2,8,2,42,0,103,2,70,229,15,7,251,0,251,--,380,126,229,251,251,Algún campo sin dato,1,bcebafe0150bcfe059a7009697c5da5cf901049e02de241587e6d2158638162e,26/06/2023 01:09:58,ESCANER
17531,"Quiché",14,"Joyabaj",12,2662,380,3,3,1,42,0,83,0,64,196,12,9,217,0,217,0,380,163,196,217,217,,1,04b49f3faacbeb64ba513deebf06c204757e8612b26fb8dc6a24a8afce671b6d,26/06/2023 00:19:35,ESCANER
17532,"Quiché",14,"Joyabaj",12,2662,380,0,5,0,63,2,80,3,62,215,7,2,224,2,226,0,380,154,215,224,226,,1,69349ed3c9a7a88ab29c3a4e7410f00f93adaf9fd7a6474da28e54da282a093c,26/06/2023 00:39:27,ESCANER
17533,"Quiché",14,"Joyabaj",12,2662,238,3,3,1,37,0,52,1,48,145,0,0,145,0,145,0,238,93,145,145,145,,1,6b5135c38697d45e43191fd037705bcb751b0e993ed8cd525083f9eee3cb0135,25/06/2023 22:44:13,ESCANER
17534,"Quiché",14,"Joyabaj",12,2662,238,2,1,1,35,0,48,0,46,133,2,5,140,0,140,0,238,98,133,140,140,,1,a1c561689c7b723b303fc09fd235ac93840bfc5d8b0103f819ccdb30fb8a3e98,25/06/2023 22:14:00,ESCANER
17535,"Quiché",14,"Joyabaj",12,2663,380,2,2,1,129,0,30,1,41,206,10,15,231,0,231,--,380,149,206,231,231,Algún campo sin dato,1,847c42c687ecd084afe9c5407e3c41c0345951e8fc2342d19d4976906fd550a8,25/06/2023 22:47:54,ESCANER
17536,"Quiché",14,"Joyabaj",12,2663,380,0,4,5,121,0,27,1,45,203,7,12,222,0,222,--,380,158,203,222,222,Algún campo sin dato,1,593f651b2c32c42b8307dfa4b5612721d3fdcee0f206050fa0d3d359c0c36be6,26/06/2023 00:06:23,ESCANER
17537,"Quiché",14,"Joyabaj",12,2663,380,1,3,2,124,1,17,2,60,210,5,8,223,0,223,0,380,157,210,223,223,,1,6aafaf0a36828373895c08a67af7ea5549742a6d034dcdb624033f7d02a15fdf,26/06/2023 00:26:53,ESCANER
17538,"Quiché",14,"Joyabaj",12,2663,380,2,9,3,93,2,9,0,80,198,16,9,223,0,223,--,380,157,198,223,223,Algún campo sin dato,1,9e576944824de1377c36aff62f726477882573d42c2bd23ef4b48c2a8f14bbe6,25/06/2023 23:32:25,ESCANER
17539,"Quiché",14,"Joyabaj",12,2663,380,1,1,0,95,0,16,0,63,176,9,5,190,0,190,--,380,190,176,190,190,Algún campo sin dato,1,5eeda9b34795e4a5eb8a2216c1d6f9d9a0434880424e5978a860820276725e3b,25/06/2023 23:03:06,ESCANER
