TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
65,65,100.0000,65,100.0000,0,24299,13892,57.1710

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,SEMILLA,BIEN,VIVA,UNE,VAMOS,VOS,VICTORIA,CAMBIO,VALOR,PODEMOS,PPN,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9946,"Totonicapán",8,"San Cristóbal Totonicapán",2,1273,400,45,9,16,20,4,21,28,62,3,2,15,14,17,3,259,5,4,268,0,0,0,400,132,259,268,268,,1,db645ac9643cfe6ff21542ef34165e004b28a60b5be788fa0c08c10ac670d391,25/06/2023 23:20:06,ESCANER
9947,"Totonicapán",8,"San Cristóbal Totonicapán",2,1273,400,39,13,12,27,6,17,22,54,0,0,10,15,15,2,232,5,0,237,0,237,0,400,163,232,237,237,,1,2636848d580026ce3217764f08b22ea4199a688f6771346c6065acaa7c62375d,26/06/2023 00:02:14,ESCANER
9948,"Totonicapán",8,"San Cristóbal Totonicapán",2,1273,334,20,6,11,16,8,10,27,49,4,0,18,18,13,4,204,4,0,208,0,208,--,334,126,204,208,208,Algún campo sin dato,1,fdb52dc9e878baa45b87e7db8469150d55075b398bbd5309690aa7c69850ac3a,25/06/2023 23:52:12,ESCANER
9949,"Totonicapán",8,"San Cristóbal Totonicapán",2,1273,334,28,12,14,20,4,7,24,30,1,1,14,9,18,1,183,9,4,196,0,196,--,334,139,183,196,196,Algún campo sin dato,1,868a82d8f8bdbb89e454e69af9192523bfde9dae961c7abac98972454ee2691e,26/06/2023 00:34:31,ESCANER
9950,"Totonicapán",8,"San Cristóbal Totonicapán",2,1274,400,40,3,10,26,7,19,51,29,1,2,30,19,11,1,250,18,6,273,0,250,0,400,127,249,273,273,Sumas Asentadas sin cuadrar,1,949ba90294bccf9b928116dfdbbf3bad99e9091e8be72de050e95b12537bcec1,26/06/2023 01:54:49,ESCANER
9951,"Totonicapán",8,"San Cristóbal Totonicapán",2,1274,400,43,3,6,9,6,15,61,32,0,6,33,20,11,0,245,9,11,265,0,265,0,400,135,245,265,265,,1,e512478c6e7a5811bd233fc9d05fc870831993d483837bd2da420b4480f24ff1,25/06/2023 23:55:47,ESCANER
9952,"Totonicapán",8,"San Cristóbal Totonicapán",2,1274,400,34,4,9,24,8,19,41,36,1,4,33,19,18,3,253,16,10,279,0,279,--,400,121,253,279,279,Algún campo sin dato,1,d9bdf7b486bd04c36e78268ab7844f8c62ea03256a7555776ced66615a56a2d4,26/06/2023 04:51:41,ESCANER
9953,"Totonicapán",8,"San Cristóbal Totonicapán",2,1274,400,52,5,9,9,6,29,34,35,1,0,39,30,16,3,268,15,2,285,0,285,0,400,115,268,285,285,,1,781fee904b7d9a6557c3e4bbde09664916215d02ff099d86969efa19191b5e3e,25/06/2023 23:59:31,ESCANER
9954,"Totonicapán",8,"San Cristóbal Totonicapán",2,1274,400,30,5,14,15,14,28,49,31,0,0,35,19,16,4,260,17,6,283,0,283,0,397,114,260,283,283,,1,94e5535d8fa41cd6f811b46d057527704f2e2f427b372199a44bd15d30867ac0,26/06/2023 00:43:30,ESCANER
9955,"Totonicapán",8,"San Cristóbal Totonicapán",2,1275,400,42,9,19,10,8,15,40,25,0,2,32,20,7,1,230,15,0,245,0,245,0,400,155,230,245,245,,1,ea888e3c0ac8310344d1ce9433472f34ec09f0d16e8f84eac7e8819dafb30417,25/06/2023 23:57:28,ESCANER
9956,"Totonicapán",8,"San Cristóbal Totonicapán",2,1275,400,30,5,22,18,4,21,36,33,2,2,28,24,13,0,238,21,3,262,0,262,0,400,138,238,262,262,,1,1ac5dd4bd97df8ac91711b0ea982233e7b452ee185e90740fc049f7450d3ad95,25/06/2023 23:04:19,ESCANER
9957,"Totonicapán",8,"San Cristóbal Totonicapán",2,1276,400,31,8,9,15,6,20,34,36,0,0,28,20,14,1,222,21,8,250,0,250,0,400,150,222,251,251,Sumas Asentadas sin cuadrar,1,975e0264d3077719631b44ed521d63df45831913bef52367e55f85d44e6ed66f,26/06/2023 00:54:56,ESCANER
9958,"Totonicapán",8,"San Cristóbal Totonicapán",2,1276,400,26,6,20,16,2,27,29,25,0,1,31,19,16,3,221,3,0,224,0,224,0,400,176,221,224,224,,1,b5def512c72ba65b7eebe7fd1797c08ad26f9ae6f4397a885d69df6585943a37,25/06/2023 22:23:54,ESCANER
9959,"Totonicapán",8,"San Cristóbal Totonicapán",2,1277,362,37,1,18,9,8,17,26,21,0,0,29,14,8,2,190,6,0,196,0,196,--,362,166,190,196,196,Algún campo sin dato,1,8640225115a898631768e0ca5f102534bd4045fd4b1f33456fe2252bd6a672ea,25/06/2023 21:16:04,ESCANER
9960,"Totonicapán",8,"San Cristóbal Totonicapán",2,1277,362,25,2,22,9,8,14,33,16,1,1,20,18,10,3,182,7,2,191,0,191,0,362,171,182,191,191,,1,bc9b616c102190036508c2699fa7b1ffc7953fb06f49ac2ff9483138a4735831,25/06/2023 22:31:45,ESCANER
