TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
76,76,100.0000,76,100.0000,0,29355,12335,42.0200

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VAMOS,UNE,TODOS,PODEMOS,CABAL,AZUL,VIVA,VALOR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15450,"Huehuetenango",13,"Soloma",8,2247,400,1,17,19,16,53,36,1,10,10,1,164,3,1,168,0,168,--,400,232,164,168,168,Algún campo sin dato,1,786cab1c031ea9778f2afec23842ec5456bd0353331067a8bd4676f13465ad8e,26/06/2023 00:11:37,ESCANER
15451,"Huehuetenango",13,"Soloma",8,2247,400,1,8,15,17,50,52,0,8,10,0,161,4,1,166,0,166,--,400,234,161,166,166,Algún campo sin dato,1,54e4a412caff80411d688f4374d01814337d8a7f83e26c46f4fc6944edbc0009,26/06/2023 00:58:41,ESCANER
15452,"Huehuetenango",13,"Soloma",8,2248,400,0,19,14,11,45,43,1,8,13,4,158,0,0,158,0,158,--,400,242,158,158,158,Algún campo sin dato,1,338789b18d5306db0b99ef442aa003af873e8b0f75dbb9cf3b6e0f856499284b,26/06/2023 00:31:26,ESCANER
15453,"Huehuetenango",13,"Soloma",8,2248,400,4,15,9,8,40,60,0,4,12,2,154,1,3,158,242,400,--,400,242,154,158,400,Algún campo sin dato,1,3d96fff76a8d9459aea7abb26d254c296bf0e703ff2580829c3817b3408b0ee7,25/06/2023 23:11:00,ESCANER
15454,"Huehuetenango",13,"Soloma",8,2248,400,1,14,17,8,55,42,2,5,12,2,158,2,2,162,0,162,--,400,238,158,162,162,Algún campo sin dato,1,542c61e6916538087132fe4ceb077d5c2ba093c3af1993b469f397a5d16f0ad2,25/06/2023 23:46:25,ESCANER
15455,"Huehuetenango",13,"Soloma",8,2248,400,0,15,16,14,40,59,0,9,15,1,169,1,0,170,0,170,--,400,230,169,170,170,Algún campo sin dato,1,84ff8b797c86973ce3de0ac6af1e0c16a186148961f73da81bbabc68703e8fbf,25/06/2023 23:41:47,ESCANER
15456,"Huehuetenango",13,"Soloma",8,2248,400,1,14,17,7,47,41,0,7,13,1,150,0,0,150,2,150,--,400,250,148,148,150,Sumas Asentadas sin cuadrar,1,c8b2dd4c540fa444a2708aaa90749e865c8fb01b45353e258da2dadd29a4807d,26/06/2023 01:05:06,ESCANER
15457,"Huehuetenango",13,"Soloma",8,2248,400,2,12,7,13,41,38,1,6,16,1,137,0,0,137,0,137,--,400,260,137,137,137,Algún campo sin dato,1,1489f91e4af065d267b6dff236863cb2332cb3e6a288edec6255f96e708b395e,26/06/2023 01:08:28,ESCANER
15458,"Huehuetenango",13,"Soloma",8,2248,400,0,18,15,8,57,43,0,5,15,1,162,0,0,162,0,162,--,386,224,162,162,162,Algún campo sin dato,1,0cfba6bb82eb514a13b014e17fd0e64fcfe88e192948f0b5a38566fc9b4f9d63,26/06/2023 00:17:58,ESCANER
15459,"Huehuetenango",13,"Soloma",8,2248,400,1,10,17,17,43,37,0,5,15,0,145,4,0,149,0,149,1,400,251,145,149,149,,1,edbbad10b52b850035e8d0a0af2bd2dc89c66176b14a894cfe3601f8709a1a03,26/06/2023 00:50:22,ESCANER
15460,"Huehuetenango",13,"Soloma",8,2248,400,2,10,8,11,44,55,1,15,12,1,159,3,1,163,0,163,--,400,237,159,163,163,Algún campo sin dato,1,c3e861058cad65bd15c807d2ef659473636a2a05df50973b6cd9d608f68b73df,25/06/2023 23:34:56,ESCANER
