TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,32091,23292,72.5810

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,AZUL,VIVA,UR,TODOS,CABAL,ELEFANTE,MLP,VOS,UNIONISTA,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4016,"Guatemala",1,"Fraijanes",13,403,380,53,108,16,4,22,1,8,21,1,8,6,18,1,267,14,1,282,0,282,--,380,95,267,282,282,Algún campo sin dato,1,2ae8ddcdca9f89f74fb11e05ea0b60400036e25e07ad3e48b63fd8810f5bee44,26/06/2023 02:08:13,ESCANER
4017,"Guatemala",1,"Fraijanes",13,403,380,43,99,13,7,33,3,4,17,6,6,5,18,0,254,26,6,286,0,286,--,380,94,254,286,286,Algún campo sin dato,1,354b9e7c1dbaa17612de9dbd5024b3dba9db4db3916315e2be6fe641e3557f05,26/06/2023 00:19:55,ESCANER
4018,"Guatemala",1,"Fraijanes",13,403,380,40,94,11,5,28,7,4,11,6,5,15,18,1,245,27,2,274,1,275,--,370,104,245,274,275,Algún campo sin dato,1,f1f04be6df61b76ae052578b87bdef4edf3c6ce37381e3d1942252a977364bb6,26/06/2023 00:46:32,ESCANER
4019,"Guatemala",1,"Fraijanes",13,403,380,60,104,10,8,29,2,0,17,1,1,18,10,0,260,28,0,288,--,--,1,380,91,260,288,288,Algún campo sin dato,1,af106a4f34e6222bcf5d696271c89f97c9ab171201e2244b76cfaee1c52b6303,26/06/2023 01:32:04,ESCANER
4020,"Guatemala",1,"Fraijanes",13,403,380,56,92,12,3,27,4,4,19,5,8,17,7,1,265,11,2,278,0,278,--,278,99,255,268,268,Sumas Asentadas sin cuadrar,1,079e5ea0ab5406722bf64a245f110a8d17c5fe8b4fd0dcc0a5e755257d1a1716,26/06/2023 01:31:41,ESCANER
4021,"Guatemala",1,"Fraijanes",13,403,380,43,92,19,1,24,5,3,9,4,1,14,15,0,230,20,1,251,0,251,--,380,129,230,251,251,Algún campo sin dato,1,9b341c4828d4260eabba5f9c0a4972d613dea3579ccdff6ae49daa0d13ae12e8,26/06/2023 00:47:38,ESCANER
4022,"Guatemala",1,"Fraijanes",13,403,380,36,90,12,4,29,5,9,11,4,11,12,14,0,237,24,0,261,0,261,--,--,--,237,261,261,Algún campo sin dato,1,7dfb4c086f8aec1057d928948e6a1d85a9882f13a1e91ffcda015cfebdcc52eb,26/06/2023 00:00:22,ESCANER
4023,"Guatemala",1,"Fraijanes",13,403,380,52,85,15,4,27,6,4,11,4,5,10,26,0,249,15,2,266,0,266,--,380,114,249,266,266,Algún campo sin dato,1,58dc8df8683cc85aa78f8f1bb616997ae808f585f51ca09c0adeb1f06987008d,25/06/2023 23:31:16,ESCANER
4024,"Guatemala",1,"Fraijanes",13,403,380,55,95,11,7,32,3,3,17,6,5,18,17,1,270,18,2,290,0,290,--,380,90,270,290,290,Algún campo sin dato,1,8a65fa11fc773f32724ee61d5a217c917b9df67d7da111f3ea95cc002895d04a,26/06/2023 01:26:21,ESCANER
4025,"Guatemala",1,"Fraijanes",13,403,380,28,97,10,4,43,8,7,11,4,5,20,18,0,255,24,2,281,0,281,--,380,99,255,281,281,Algún campo sin dato,1,7ed2ae8ed0d1813c1d1dcfd772e958aacddefbd82a6585c38472895e6224bbc3,26/06/2023 01:09:18,ESCANER
