TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
37,37,100.0000,36,97.2972,1,14376,10525,73.2122

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MARCUS,VOS,CABAL,WINAQ,VALOR UNIONISTA,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5447,"Sacatepéquez",2,"Jocotenango",2,547,400,4,34,82,26,101,5,14,6,272,11,0,283,0,283,1,400,117,272,283,283,,1,35bbd0c0eda454603cd30966058272700d92b260ff76d333bee296dba296c918,26/06/2023 00:30:56,ESCANER
5448,"Sacatepéquez",2,"Jocotenango",2,547,400,2,26,67,43,112,6,16,12,284,8,0,292,0,292,--,403,111,284,292,292,Algún campo sin dato,1,c85d0dcf67eeaa913dc3d00aa7e0859bb5083e61abe2030a61b6d33606acd93f,25/06/2023 22:17:51,ESCANER
5449,"Sacatepéquez",2,"Jocotenango",2,548,400,7,45,79,30,77,8,24,8,278,7,0,285,0,285,1,400,115,278,285,285,,1,fa6f631ce62009b14f2085b5bf4c6c8316953135c234f527a27b8bb1056d0972,26/06/2023 04:17:10,ESCANER
5450,"Sacatepéquez",2,"Jocotenango",2,548,400,3,34,76,26,96,5,33,8,281,8,3,292,0,292,--,400,108,281,292,292,Algún campo sin dato,1,d7ff43188e5df70a79ea50b3657ffddd98fd1d201b50c192cdd643b0addfb680,25/06/2023 23:24:22,ESCANER
5451,"Sacatepéquez",2,"Jocotenango",2,548,400,4,31,60,36,97,11,18,21,278,3,1,282,--,--,0,400,118,278,282,282,Algún campo sin dato,1,4eeb96a9cf78423c62083475695145ac3c74be0a50b50abfc3d67e8b8051a442,25/06/2023 23:39:02,ESCANER
5452,"Sacatepéquez",2,"Jocotenango",2,548,400,5,57,78,35,85,6,28,15,309,11,0,320,0,320,--,403,83,309,320,320,Algún campo sin dato,1,6795b2a0085ef4630fa5abb6c1bf532081cc726ad842301edd4a95f826e4972d,26/06/2023 01:11:01,ESCANER
5453,"Sacatepéquez",2,"Jocotenango",2,548,400,1,39,78,35,94,8,21,7,290,0,0,290,0,290,--,400,110,283,283,283,Sumas Asentadas sin cuadrar,1,ea0005149895d35c550350ab1b0f3959dc3f148c61c49fd8c1f6ebcbb9fddab8,25/06/2023 23:09:11,ESCANER
5454,"Sacatepéquez",2,"Jocotenango",2,548,400,6,43,71,41,97,10,14,12,294,6,0,300,0,300,--,397,97,294,300,300,Algún campo sin dato,1,2d36aa8cb2ab1396ca848b87a097d24a3f502849b6ed28879eded98c00ebbe9e,25/06/2023 23:10:50,ESCANER
5455,"Sacatepéquez",2,"Jocotenango",2,548,400,6,55,63,45,108,4,19,14,314,8,0,322,0,322,--,400,78,314,322,322,Algún campo sin dato,1,818cc462da1a21194e50d4e5acfcb95834420f97ebb74a1cd96c642af3885473,25/06/2023 23:52:27,ESCANER
5456,"Sacatepéquez",2,"Jocotenango",2,549,400,2,45,83,46,87,7,27,6,303,8,3,314,0,314,--,400,86,303,314,314,Algún campo sin dato,1,7b14369d751df72c0eed8370062bb0f7e4a53d5f56a7a9dbcc590574a4dfdcac,26/06/2023 02:14:13,ESCANER
