TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,33533,17048,50.8394

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,TODOS,VAMOS,CABAL,VIVA,PHG,PPN,UNE,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11314,"Quetzaltenango",9,"Colomba",17,1517,380,1,59,94,5,0,0,5,12,0,1,177,21,4,202,0,202,--,380,178,177,202,202,Algún campo sin dato,1,42e742ea4476209bb67ccccc1179e61a57078be96fa599fb4d1a3d283e69a219,25/06/2023 22:09:08,ESCANER
11315,"Quetzaltenango",9,"Colomba",17,1517,380,0,44,79,7,2,0,4,13,0,0,149,16,4,169,0,169,--,380,211,149,169,169,Algún campo sin dato,1,19648f044824be89a040b002dfe3a0c8ca7457c8999d5ed2d4d929c302f7abfc,25/06/2023 23:27:16,ESCANER
11316,"Quetzaltenango",9,"Colomba",17,1517,208,1,32,53,5,0,0,2,7,1,0,101,2,0,103,0,103,--,208,105,101,103,103,Algún campo sin dato,1,7e61a30b802b7dee8a9026bb18f09b094c305be36aedb413b82c781bb4ee7ff7,25/06/2023 21:38:28,ESCANER
11317,"Quetzaltenango",9,"Colomba",17,1517,207,3,27,37,2,0,0,2,3,0,0,74,3,2,79,0,79,--,207,128,74,79,79,Algún campo sin dato,1,157b8897b98e699f6c43728f2de3bd958bba11978701c2734b1541a3d67231e8,25/06/2023 22:01:52,ESCANER
11318,"Quetzaltenango",9,"Colomba",17,1518,600,1,26,58,2,1,0,4,12,0,0,104,5,4,113,0,113,--,600,487,104,113,113,Algún campo sin dato,1,10c0733402713518519f62b87cf3bedb0a3a3d7db2568c783c22004dcc1ece88,25/06/2023 20:50:24,ESCANER
11319,"Quetzaltenango",9,"Colomba",17,1518,600,1,37,51,2,1,2,1,5,1,1,102,6,5,113,0,113,--,600,487,102,113,113,Algún campo sin dato,1,329be0b5e300879ce78c40c697f52427979b5d143d98d49fb646c376e4f2f077,25/06/2023 21:45:12,ESCANER
11320,"Quetzaltenango",9,"Colomba",17,1518,600,2,21,36,1,3,3,6,5,1,2,85,5,5,85,0,90,--,--,--,80,90,90,Sumas Asentadas sin cuadrar,1,1b4a7ed4cf6fea39e52841abd2887060e6d4cb6013ae78a3dc5fedef6c07214d,25/06/2023 21:35:39,ESCANER
11321,"Quetzaltenango",9,"Colomba",17,1518,600,1,30,38,0,1,0,1,5,0,1,77,6,2,85,0,85,--,600,515,77,85,85,Algún campo sin dato,1,dc4ab34e97793b6a220a5c7d7d684003a7f78899fdd6c52e8b00c3911f2ca770,25/06/2023 20:13:06,ESCANER
11322,"Quetzaltenango",9,"Colomba",17,1518,317,0,9,17,1,0,0,2,4,1,0,34,5,1,40,0,40,--,317,277,34,40,40,Algún campo sin dato,1,395ca517a758592a19dfd8bd02c3a3980e6696d252453bfc1b629de74b4c11aa,25/06/2023 20:18:54,ESCANER
11323,"Quetzaltenango",9,"Colomba",17,1518,316,0,8,11,1,0,0,1,1,0,0,22,2,0,24,0,24,--,316,292,22,24,24,Algún campo sin dato,1,5dfa0c42e3be53c41bd12206855804264a286b244cda8322db2b84d845f4050d,25/06/2023 20:33:20,ESCANER
