TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
40,40,100.0000,40,100.0000,0,14898,10880,73.0299

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,BIEN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15939,"Huehuetenango",13,"San Juan Atitán",16,2342,380,98,1,187,0,1,287,3,2,292,0,292,--,380,88,287,292,292,Algún campo sin dato,1,0cc8279e69a8d7a16347e9d58f326e09a825cb0ddb98781c9d09e009f8427fac,26/06/2023 00:46:03,ESCANER
15940,"Huehuetenango",13,"San Juan Atitán",16,2342,380,101,0,203,0,0,304,3,4,311,0,311,--,391,80,304,311,311,Algún campo sin dato,1,154440a8892d0c35aa675f8c23cb3aac15a7c71581a3e2bed5d5780c8ebb2b92,25/06/2023 23:39:47,ESCANER
15941,"Huehuetenango",13,"San Juan Atitán",16,2342,380,93,0,194,0,0,287,1,5,293,0,293,--,380,87,287,293,293,Algún campo sin dato,1,98abfef5fb1ce01b4742ba1b122de02fab6dc1b31faf196d3957d7c77433aa45,25/06/2023 23:47:44,ESCANER
15942,"Huehuetenango",13,"San Juan Atitán",16,2342,380,88,0,143,0,0,231,1,0,232,0,232,--,391,159,231,232,232,Algún campo sin dato,1,df6546cc8fe28a5a2507e245ae80f0c912e9ea1bd5d09c6133cbce477f196a44,25/06/2023 23:50:41,ESCANER
15943,"Huehuetenango",13,"San Juan Atitán",16,2342,380,74,0,168,0,0,242,1,1,244,0,244,--,381,137,242,244,244,Algún campo sin dato,1,a6648f8e3f16a552f5e10ee9d9258206b518e8db459e6664de8ed6f26c6e8acd,25/06/2023 23:54:44,ESCANER
15944,"Huehuetenango",13,"San Juan Atitán",16,2342,340,79,0,172,0,0,251,0,1,252,0,252,--,343,91,251,252,252,Algún campo sin dato,1,14418294b79f4642ce87555ba446d91857d94d0729c6f48f532210b5dd43df93,26/06/2023 00:01:21,ESCANER
15945,"Huehuetenango",13,"San Juan Atitán",16,2342,339,80,0,161,0,0,241,2,0,243,0,243,--,339,96,241,243,243,Algún campo sin dato,1,4e3a65d38f394b4ad9c7942fb165a1afa5ac484d61338faaede72ea076728b39,26/06/2023 00:09:03,ESCANER
15946,"Huehuetenango",13,"San Juan Atitán",16,2343,380,136,0,159,1,0,296,4,2,302,0,302,--,400,98,296,302,302,Algún campo sin dato,1,5d27d99413776806bdbed0abe7175705fe8a1103f2b135460f1bc9673be2d789,26/06/2023 01:08:15,ESCANER
15947,"Huehuetenango",13,"San Juan Atitán",16,2343,380,143,4,132,0,0,279,1,2,282,0,282,--,378,96,279,282,282,Algún campo sin dato,1,b57289ba31f869e05ef955c0ac6c40e85903963a6e82548ee21ef6448f56a19b,26/06/2023 01:16:09,ESCANER
15948,"Huehuetenango",13,"San Juan Atitán",16,2343,232,77,1,76,0,0,153,0,0,154,0,154,--,229,75,154,154,154,Sumas Asentadas sin cuadrar,1,5c026c83f87f2eab8d8b28f1de4d39e85f12112469f7ede6a6324ee99afd5a0f,26/06/2023 01:30:23,ESCANER
15949,"Huehuetenango",13,"San Juan Atitán",16,2343,231,67,0,82,0,0,149,0,1,0,0,150,--,228,78,149,150,150,Algún campo sin dato,1,6e27c13059519767f043b6d7a524fa7548443091f6e7637b04a93ac8d6861ca4,26/06/2023 04:07:10,ESCANER
