TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25563,16477,64.4564

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,U R N G - MAIZ,PODEMOS,PHG,TODOS,AZUL,ELEFANTE,BIEN,VALOR,CABAL,WINAQ,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15533,"Huehuetenango",13,"Ixtahuacán",9,2260,380,52,20,4,0,92,3,6,1,2,47,0,9,2,2,0,240,9,12,261,0,261,--,380,119,240,261,261,Algún campo sin dato,1,632642e4267d1e9b6fc642b44b7ff60cac7b6c19c0a0e505bd539b8ce04e0a68,26/06/2023 02:40:46,ESCANER
15534,"Huehuetenango",13,"Ixtahuacán",9,2260,380,66,20,5,0,78,5,2,1,0,50,1,15,1,2,0,246,24,6,276,1,277,--,380,103,246,276,277,Algún campo sin dato,1,5cc92661d99be04cfc6f8281ccdd24e604278ca32a755fbc4745179a1787a093,26/06/2023 02:00:28,ESCANER
15535,"Huehuetenango",13,"Ixtahuacán",9,2260,380,43,11,1,1,79,8,5,3,2,40,3,19,0,5,0,220,27,13,260,0,260,--,379,119,220,260,260,Algún campo sin dato,1,fbe2e744e2de0ae11fe3e0e94b1bafbe0ab527cd0c43e1b9aed8a1f814cd7f84,25/06/2023 23:55:55,ESCANER
15536,"Huehuetenango",13,"Ixtahuacán",9,2260,380,40,13,5,0,73,3,7,1,1,43,0,24,1,1,0,212,7,7,226,0,226,--,380,154,212,226,226,Algún campo sin dato,1,395318d2adc093c07c70f0401efaea609d93a37122571b490b8b85918a86db53,26/06/2023 00:25:38,ESCANER
15537,"Huehuetenango",13,"Ixtahuacán",9,2260,380,45,7,3,0,85,4,3,1,1,41,1,17,2,2,1,213,7,3,223,0,223,--,380,157,213,223,223,Algún campo sin dato,1,f57b8ca8e1b42cb6d58ed8d165d140c7288ad7d26bda281164a7ddf1ec11ecd4,26/06/2023 01:13:53,ESCANER
15538,"Huehuetenango",13,"Ixtahuacán",9,2260,380,39,7,0,0,67,7,3,0,2,52,1,12,1,1,2,194,11,5,210,0,210,--,380,170,194,210,210,Algún campo sin dato,1,75ee6696e978bc48b1c59d98d9c8adb0bb9da5e9f417f6962f449bf14106e5a4,26/06/2023 00:40:31,ESCANER
15539,"Huehuetenango",13,"Ixtahuacán",9,2261,380,16,23,2,1,31,2,21,5,1,66,2,9,3,6,3,191,29,15,235,0,235,--,380,145,191,235,235,Algún campo sin dato,1,a57d1b6f6324bb7100833c8cf1b4b917e623a6fca1ffece547ab62fed7b238ef,26/06/2023 01:32:18,ESCANER
15540,"Huehuetenango",13,"Ixtahuacán",9,2261,380,17,18,2,0,74,2,32,5,0,52,2,6,1,7,6,224,17,19,260,0,260,--,380,120,224,260,260,Algún campo sin dato,1,8b82c1b6853200120e0d48eaa12e91dd47ceeb29087bc62ea3b8d78a187f3952,26/06/2023 02:13:34,ESCANER
15541,"Huehuetenango",13,"Ixtahuacán",9,2261,380,17,10,1,1,38,7,23,7,2,42,3,4,4,12,4,175,35,19,229,0,229,--,380,151,175,229,229,Algún campo sin dato,1,6dd6ed2905ba669a5fb0f2cad070a0832b8362d905a1aa208ea2607cce821676,26/06/2023 04:49:24,ESCANER
15542,"Huehuetenango",13,"Ixtahuacán",9,2261,380,19,18,1,2,59,3,26,6,2,37,1,7,1,7,7,196,27,14,237,143,380,--,380,143,196,237,380,Algún campo sin dato,1,791458ccc939eba1cd1054c323f8245c186d1f83060527a733acc4a3e75e4833,26/06/2023 01:53:04,ESCANER
