TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
126,126,100.0000,126,100.0000,0,45765,21289,46.5180

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,U R N G - MAIZ,AZUL,VAMOS,TODOS,CABAL,VALOR,UNIONISTA,VIVA,CAMBIO,UR,PPN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15008,"Huehuetenango",13,"Chiantla",2,2151,400,45,5,1,52,10,10,32,3,19,0,1,1,0,179,29,2,210,0,210,--,400,190,179,210,210,Algún campo sin dato,1,73a59ffdc47fd223609a202f6e339d3630a575e673e9400f2bf276f7450e6a39,26/06/2023 01:01:44,ESCANER
15009,"Huehuetenango",13,"Chiantla",2,2151,400,40,1,1,54,7,18,34,10,17,0,1,0,0,183,18,13,214,0,214,--,400,186,183,214,214,Algún campo sin dato,1,37bdd14ffb12fb0a19bbd09794e63a0d08a98cf67263127c96ea49cecd508d17,25/06/2023 23:29:41,ESCANER
15010,"Huehuetenango",13,"Chiantla",2,2151,400,47,1,4,56,4,11,44,2,15,0,0,2,1,187,14,2,203,0,203,--,400,197,187,203,203,Algún campo sin dato,1,2e8d0819ab1d72aecb539c9a13c17cb731c0b50b8cea27c59a575e3c3bfdc9f6,25/06/2023 23:11:15,ESCANER
15011,"Huehuetenango",13,"Chiantla",2,2151,400,51,2,1,52,3,11,38,7,18,1,0,1,0,185,21,3,209,1,210,--,400,190,185,209,210,Algún campo sin dato,1,176ddb318a8e61dfa3ab88e4d2b4aac760a97b72093fac68aaaf7537ba5b01a8,26/06/2023 00:32:15,ESCANER
15012,"Huehuetenango",13,"Chiantla",2,2151,400,26,1,4,43,2,12,31,4,8,3,0,0,1,135,22,5,162,0,162,--,400,238,135,162,162,Algún campo sin dato,1,f22a2a61a8ddce3d98deb1b138eb6da95dfc6f1e7425d034e1b8efd701b62c11,26/06/2023 00:48:25,ESCANER
15013,"Huehuetenango",13,"Chiantla",2,2151,256,22,2,1,34,2,8,24,7,3,0,0,0,5,108,5,0,113,0,113,--,256,143,108,113,113,Algún campo sin dato,1,c961913bc6819874c527d33dfe583ee24e8097f16eebb3fdc9641127b5200905,25/06/2023 22:44:32,ESCANER
15014,"Huehuetenango",13,"Chiantla",2,2151,256,12,0,0,47,0,7,17,0,5,2,1,1,0,92,4,1,97,0,97,--,256,159,92,97,97,Algún campo sin dato,1,885c36e639978fd63dadb25b0f96c2101759c0c8a3fbab6d09aa991dd0653767,25/06/2023 21:31:16,ESCANER
15015,"Huehuetenango",13,"Chiantla",2,2152,380,26,7,5,103,11,9,5,0,4,0,1,4,0,175,24,9,208,0,208,--,380,172,175,208,208,Algún campo sin dato,1,48ba7098dccb8eeaa86dd0db76719556190d8a006bd20f83c0aa2baed7f77222,26/06/2023 01:36:12,ESCANER
15016,"Huehuetenango",13,"Chiantla",2,2152,380,39,2,5,97,9,13,12,0,6,0,0,0,0,183,25,6,214,0,214,--,380,166,183,214,214,Algún campo sin dato,1,6a6cbf214963a19f9132271a093a98c717131ed955742647b5957cd1246058b7,25/06/2023 23:58:19,ESCANER
15017,"Huehuetenango",13,"Chiantla",2,2152,380,33,4,4,107,16,11,8,0,6,0,0,1,2,192,27,8,227,0,227,--,380,153,192,227,227,Algún campo sin dato,1,1075daf8c35d64e23a999e42179264d0a855707a4747634fe6e9a5b9cb5b59ef,26/06/2023 00:06:11,ESCANER
15018,"Huehuetenango",13,"Chiantla",2,2153,380,19,2,3,88,4,17,8,0,6,0,0,3,0,150,22,6,178,0,178,0,380,202,150,178,178,,1,47adb085de2e504675a1f06d6939e9c55c2c01f1e968ce969d42835f1625cfdc,26/06/2023 00:33:03,ESCANER
