TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
128,128,100.0000,128,100.0000,0,45860,25165,54.8735

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,MLP,ELEFANTE,CABAL,CAMBIO,VALOR,PODEMOS,UR,AZUL,VIVA,PPN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21439,"Izabal",18,"Lívingston",2,3329,380,92,3,73,3,4,37,63,0,0,0,0,0,4,0,279,6,5,290,0,290,--,380,87,279,290,290,Algún campo sin dato,1,29ff0c5ea2d82363f4999e3ba7640792e5802c6768bb5fec4b6ae1a0a46fc51b,26/06/2023 01:03:32,ESCANER
21440,"Izabal",18,"Lívingston",2,3329,380,70,4,52,0,8,24,68,1,1,0,3,1,5,0,237,3,1,241,0,241,--,380,139,237,241,241,Algún campo sin dato,1,a5d9ded464568618a81df2acf11612a9331cc4d0a90fcf4354cafbd5aafe31a1,26/06/2023 00:32:12,ESCANER
21441,"Izabal",18,"Lívingston",2,3329,380,67,1,58,0,2,35,63,0,0,0,0,0,13,0,239,6,2,247,0,247,--,382,135,239,247,247,Algún campo sin dato,1,0235b1eb4fe638b42401bcb9ce7548c5349cd01cf2c4614f4c79ff2b04203c55,25/06/2023 23:35:46,ESCANER
21442,"Izabal",18,"Lívingston",2,3329,214,37,0,29,1,2,18,36,0,0,0,0,0,2,0,125,1,1,127,0,127,--,214,87,125,127,127,Algún campo sin dato,1,b0b1cbb96c989134ba699b39c7a8f33ebc414c35bab35c405641cebde6885064,25/06/2023 22:09:57,ESCANER
21443,"Izabal",18,"Lívingston",2,3329,214,36,1,38,1,1,21,32,0,0,0,0,0,3,0,133,2,0,136,0,136,--,214,78,133,135,135,Sumas Asentadas sin cuadrar,1,5f24faf5eb7ce40a9b253fadd4ecd5669fe6f3cf3b348618c72e52f8aa39cadc,25/06/2023 23:44:40,ESCANER
21444,"Izabal",18,"Lívingston",2,3330,380,30,4,47,1,2,14,80,3,0,4,1,1,0,1,187,12,5,204,0,204,--,380,176,188,205,205,Sumas Asentadas sin cuadrar,1,502a68677594f1c63050cc47e081899e6d5e038c41c54d2e2fc691b67a5f1878,26/06/2023 03:01:13,ESCANER
21445,"Izabal",18,"Lívingston",2,3330,380,45,4,41,0,7,16,65,2,0,0,1,4,0,0,185,11,6,202,--,--,--,380,178,185,202,202,Algún campo sin dato,1,adf9d78eef310ed59ce41fa46dc4dd5d7bdbe6b28e5a98f076d0cb192edf7ef2,26/06/2023 01:49:33,ESCANER
21446,"Izabal",18,"Lívingston",2,3330,380,28,5,36,1,6,11,58,1,0,1,1,0,0,0,148,14,14,176,0,176,--,379,203,148,176,176,Algún campo sin dato,1,3f99892bbe5b3cd7c09d4d8c02dd9728e59ea97b0022acfddc932988b1932881,26/06/2023 01:21:11,ESCANER
21447,"Izabal",18,"Lívingston",2,3330,380,34,6,35,0,3,16,60,4,1,1,0,1,1,0,162,18,10,190,0,190,--,380,190,162,190,190,Algún campo sin dato,1,e76555cb1966a4505784d1b826ce0de695d0187a87468d72ef9b1226801013f2,26/06/2023 00:35:07,ESCANER
21448,"Izabal",18,"Lívingston",2,3330,380,32,4,22,0,4,20,38,0,0,2,1,0,0,0,123,11,4,138,0,138,--,377,239,123,138,138,Algún campo sin dato,1,0fc578ca68be52aefd7919ee25250a5bada21f367ffae7d661a1b2a745fec66d,26/06/2023 00:29:45,ESCANER
21449,"Izabal",18,"Lívingston",2,3330,324,16,7,44,0,2,11,69,1,0,0,1,0,0,0,151,4,1,156,0,156,--,324,168,151,156,156,Algún campo sin dato,1,6dd3f36a7ca91054d4b27697edff393674e9f10caba748d1d32e218c7bfc33e3,25/06/2023 23:29:23,ESCANER
21450,"Izabal",18,"Lívingston",2,3330,323,17,2,30,1,2,16,39,0,0,1,1,0,0,1,110,5,1,116,0,116,--,323,207,110,116,116,Algún campo sin dato,1,8e7aa41c2c7a505358469f7ca27909a50255b13009308c0c047a6920649b8466,25/06/2023 22:59:00,ESCANER
21451,"Izabal",18,"Lívingston",2,3331,380,76,13,27,7,18,51,31,3,1,0,0,1,4,0,232,16,6,254,0,254,--,381,127,232,254,254,Algún campo sin dato,1,d16d02528bd1cfc98a3834eead37e7d026ff7180e8d89ecc688bb934923bb2f2,26/06/2023 00:22:02,ESCANER
