TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,55528,25689,46.2631

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,MLP,VALOR,UNE,PODEMOS,AZUL,WINAQ,VAMOS,BIEN,VICTORIA,CABAL,VOS,VIVA,PHG,ELEFANTE,TODOS,CAMBIO,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16473,"Huehuetenango",13,"Barillas",26,2447,357,1,0,4,26,9,1,1,13,47,8,0,0,0,8,0,0,0,0,118,14,6,138,0,138,--,357,219,118,138,138,Algún campo sin dato,1,02046d6908e7a53fbf7f6f52cbfa4fe7231fea7301278138a7446ed901dcc28f,26/06/2023 00:51:03,ESCANER
16474,"Huehuetenango",13,"Barillas",26,2447,356,0,2,8,26,10,1,0,8,58,8,2,3,0,18,0,0,0,0,144,11,5,160,0,160,--,356,196,144,160,160,Algún campo sin dato,1,9f002d82269e5941161cbf816ec698337438d54eb37e0a8c216a9b73a09f2b89,26/06/2023 00:25:01,ESCANER
16475,"Huehuetenango",13,"Barillas",26,2448,380,4,2,1,93,6,1,0,9,65,0,23,3,1,1,0,0,1,0,210,14,5,229,0,229,--,380,151,210,229,229,Algún campo sin dato,1,e6b16abbdd11d4140591ea2ef881640e5895ab725ccbdf425f0a39f6fe64f7f0,26/06/2023 01:28:18,ESCANER
16476,"Huehuetenango",13,"Barillas",26,2448,380,10,1,2,66,5,0,2,16,73,0,15,0,1,4,0,0,0,0,195,26,3,224,0,224,--,380,156,195,224,224,Algún campo sin dato,1,ca40f7df5d3a58022090e80134c64edde026f2211e4e36c984f946c45b75eb9d,26/06/2023 00:06:25,ESCANER
16477,"Huehuetenango",13,"Barillas",26,2448,380,4,1,1,36,3,0,3,5,56,0,8,0,1,4,0,0,0,0,122,20,5,147,0,147,--,380,233,122,147,147,Algún campo sin dato,1,6595978a3b11357ec43dfd8138c40c7fbfc8d9cb34ba9ca32742b0f83ca8eba9,25/06/2023 23:34:47,ESCANER
16478,"Huehuetenango",13,"Barillas",26,2448,380,9,0,2,64,3,0,1,6,66,0,31,0,0,0,0,0,0,0,182,4,2,188,0,188,--,380,192,182,188,188,Algún campo sin dato,1,9dcfe6e5f67bd8141e71bcfce97199fde273e2b7dae3b35cdf06560c5b814168,26/06/2023 00:43:46,ESCANER
16479,"Huehuetenango",13,"Barillas",26,2448,349,7,0,3,54,4,0,0,5,61,0,14,0,1,0,0,0,0,0,149,6,4,159,0,159,--,348,189,149,159,159,Algún campo sin dato,1,3759e3b500de404f3ab7e6afbd05e4e4c12ffb242cff9ffd830c1f2bbf4240ec,26/06/2023 01:28:50,ESCANER
16480,"Huehuetenango",13,"Barillas",26,2448,349,4,0,1,74,7,0,0,11,59,0,23,0,1,0,0,0,0,0,180,5,1,186,0,186,--,349,163,180,186,186,Algún campo sin dato,1,304096d3cf01d12fe9095c2be6c9851f453e8226cd13434ae0e29a575b5d2233,26/06/2023 00:30:36,ESCANER
16481,"Huehuetenango",13,"Barillas",26,2449,380,5,1,3,80,19,3,18,37,19,2,1,0,0,1,0,0,0,0,189,16,12,217,--,217,--,380,163,189,217,217,Algún campo sin dato,1,a2fad094fd4f2617e913803d1777b1d1da31bf7025a6dc6e9b1a6d639352a454,26/06/2023 00:06:56,ESCANER
16482,"Huehuetenango",13,"Barillas",26,2449,328,0,0,1,56,16,0,2,34,21,1,2,0,0,1,0,0,0,0,134,10,9,153,0,153,--,328,175,134,153,153,Algún campo sin dato,1,315bd692f2bb22eb6f7070dcd3ff3c67c14427828393912bdfbe4844a73c5e8f,25/06/2023 22:21:57,ESCANER
