TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,62,100.0000,0,23084,11898,51.5421

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,TODOS,BIEN,PPN,MI FAMILIA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9017,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,380,68,31,28,3,0,0,0,0,11,141,16,1,158,0,158,--,380,222,141,158,158,Algún campo sin dato,1,56698bffc1bf514a688f0e75ffe8dea0e02f01fee83787bafaaba185b7793a05,26/06/2023 00:40:21,ESCANER
9018,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,380,67,36,30,3,0,0,1,1,4,142,12,2,156,0,156,--,380,224,142,156,156,Algún campo sin dato,1,85ca118a7f8537c26f7966ee94327c6a0c9bb911f71494d9087fb89ee1366464,25/06/2023 23:00:04,ESCANER
9019,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,295,45,23,21,2,0,0,0,0,12,103,8,0,111,0,111,--,292,181,103,111,111,Algún campo sin dato,1,d55f9ef0c94e13bd314f229b2e3f250ac339637d2919968e43a35359eaecb28f,25/06/2023 23:39:25,ESCANER
9020,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,295,50,25,25,2,1,0,0,0,4,107,8,2,117,0,117,--,295,178,107,117,117,Algún campo sin dato,1,12df4fea52a1f73abc910d1c32f94843f81bdcbba87a7dfab38d4062e6b5ec93,25/06/2023 22:45:19,ESCANER
9021,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,75,48,90,0,0,1,1,1,12,228,18,0,246,0,246,--,380,134,228,246,246,Algún campo sin dato,1,8eac317614873bdfbb2c22812e00bc30e4a35b0fcf274a33f7932b5912c449f0,26/06/2023 02:03:04,ESCANER
9022,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,79,62,97,0,2,0,0,1,3,244,11,2,257,0,257,--,380,123,244,257,257,Algún campo sin dato,1,26e056ffef4ada64434065d05f6338fd613ed54a5fdc9675ff68e476157a9e04,26/06/2023 02:27:57,ESCANER
9023,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,91,56,100,3,4,0,0,1,6,261,11,3,275,0,275,--,380,105,261,275,275,Algún campo sin dato,1,4174de3e188b4473b8e9c537fe6ebab700ca8cdb61d7fffe436a911c556b4899,26/06/2023 02:10:38,ESCANER
9024,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,80,66,113,5,1,2,0,0,10,277,7,1,285,0,285,--,379,94,277,285,285,Algún campo sin dato,1,da37cf3080fad9385083bcf8d28d36fe2ff27947b688950ccdbc9c626e56c5cf,26/06/2023 02:18:48,ESCANER
9025,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,90,54,88,2,4,0,1,1,10,250,14,3,267,0,267,--,380,113,250,267,267,Algún campo sin dato,1,36b6e2e7f1162283601933c09c305c47dc8bfab96358d71acbb7ba2479dea482,26/06/2023 01:52:52,ESCANER
9026,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,94,55,96,1,4,1,0,1,7,259,8,2,269,0,269,--,380,111,259,269,269,Algún campo sin dato,1,340775958220bde2a409a32cb23cf3efbaf7369435542c8d64659d4d800cf20d,26/06/2023 02:36:27,ESCANER
