TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,61,98.3870,1,22948,16369,71.3308

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,FCN-NACION,VAMOS,VIVA,CABAL,ELEFANTE,SEMILLA,PPN,P A N,TODOS,VALOR,PHG,VICTORIA,BIEN,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20254,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3148,400,57,0,81,7,3,0,1,44,6,0,2,49,2,1,0,253,12,1,266,0,266,--,400,134,253,266,266,Algún campo sin dato,1,9f271f4a1b52aead991f399eb43352043a3dafe7af039b94c22397b93ba02dfd,26/06/2023 11:01:49,ESCANER
20255,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3148,216,28,0,41,5,0,0,1,45,2,1,0,14,0,0,1,138,2,2,142,--,--,--,213,71,138,142,142,Algún campo sin dato,1,3c95835e1b73a1e9aceacf520112656b20212331799dc31c8f61b41430f9a6e4,25/06/2023 22:55:43,ESCANER
20256,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3148,215,25,2,57,4,1,0,3,25,6,0,3,26,1,1,2,156,9,2,167,0,167,0,215,48,156,167,167,,1,8c03482538db3b5d8c35d1c512751379edfa941fe99f10cae3179ac27846f8b8,26/06/2023 03:12:54,ESCANER
20257,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3149,400,104,1,81,5,1,2,1,55,15,0,0,27,0,0,0,292,20,2,315,0,314,1,397,82,292,314,314,Sumas Asentadas sin cuadrar,1,3194bcd1f9f540bf5dfe47069453e9db6679c04c57647f99cd03dfdb8d89f196,26/06/2023 05:26:40,ESCANER
20258,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3149,400,71,2,123,3,1,2,5,50,6,2,2,26,2,1,1,297,9,3,309,91,400,--,400,91,297,309,400,Algún campo sin dato,1,716bab76bb2bb4ddf0db849827d4930c8f5e4b4c7061634dc5b0ab934f114dc4,26/06/2023 04:36:29,ESCANER
20259,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3149,400,80,1,87,4,2,1,3,55,7,1,2,44,3,0,1,291,10,0,301,0,301,--,397,96,291,301,301,Algún campo sin dato,1,08ebfe4092dcd827f073846000877e642406d482134603dd48ce3bd913cf95af,26/06/2023 02:14:53,ESCANER
20260,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3150,400,87,1,92,5,0,3,3,62,8,0,0,40,1,0,0,302,20,4,326,71,397,1,397,71,302,326,397,,1,48a44b803fede3e4dc0dbbdb35f3e289db956a081c01aee18703d2b5533742e5,26/06/2023 04:28:18,ESCANER
20261,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3150,400,72,0,100,2,1,0,2,62,1,0,1,37,2,0,0,280,10,2,292,0,292,--,399,107,280,292,292,Algún campo sin dato,1,01edd53f9618b701e843dc02ec46178475862312704df55be6361f29332e3a6c,26/06/2023 01:03:06,ESCANER
20262,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3150,309,64,0,61,3,0,2,4,51,4,0,1,28,0,0,0,218,2,1,221,0,221,--,304,83,218,221,221,Algún campo sin dato,1,99be81467a7844331b38d585e3c9fd4338407ab79d4ebc7896f791d032fe0297,26/06/2023 00:21:17,ESCANER
20263,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3150,309,71,1,65,0,0,2,3,38,4,0,0,17,0,0,0,201,7,1,209,0,209,--,309,100,201,209,209,Algún campo sin dato,1,5ab7e1eb1f674fe422ea4ea95ad33428cfc21dabf8f8014b6dead651fdf1f032,25/06/2023 23:19:15,ESCANER
