TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,18886,13106,69.3953

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,TODOS,AZUL,BIEN,PHG,SEMILLA,VALOR,UNIONISTA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15590,"Huehuetenango",13,"Santa Bárbara",10,2270,208,44,0,2,80,0,0,2,0,1,0,0,129,1,0,130,0,130,--,208,78,129,130,130,Algún campo sin dato,1,97ff010c7448def9197a88c8c46692dec93509771276612eaa5b986dedfec1e8,25/06/2023 23:18:33,ESCANER
15591,"Huehuetenango",13,"Santa Bárbara",10,2271,380,160,1,5,80,2,1,0,0,3,0,0,252,18,8,278,0,278,--,380,102,252,278,278,Algún campo sin dato,1,d3158fc5f59cebe667b86e3611a49cc56dd778e126636372d45b67a9e1f575d5,26/06/2023 02:07:02,ESCANER
15592,"Huehuetenango",13,"Santa Bárbara",10,2271,380,146,4,10,111,1,0,1,0,0,0,0,273,14,5,292,0,292,--,380,88,273,292,292,Algún campo sin dato,1,e64017ab256e12570396ecdd1d3f08d07a8940b2dcbe74da73f9565024e88a9c,25/06/2023 23:21:52,ESCANER
15593,"Huehuetenango",13,"Santa Bárbara",10,2271,380,163,2,5,102,3,0,3,0,1,1,0,280,15,2,297,--,--,--,380,83,280,297,297,Algún campo sin dato,1,5be2bc49425fb46e3eaee75aef846845b0121c2731af0094af25955fbcd87714,26/06/2023 04:29:14,ESCANER
15594,"Huehuetenango",13,"Santa Bárbara",10,2271,380,194,1,12,74,0,0,1,3,3,0,0,288,12,7,307,0,307,--,380,70,288,307,307,Algún campo sin dato,1,dfbc4ca38ee77b48d08fd3ab7a07db4f2bc967d0a7252aaa0ee0e7f348a07e0b,26/06/2023 02:15:56,ESCANER
15595,"Huehuetenango",13,"Santa Bárbara",10,2271,380,206,1,3,73,2,0,0,1,0,0,0,286,19,2,307,0,307,--,380,73,286,307,307,Algún campo sin dato,1,08702ea2478c7989972e6b341b7f6144c77920ca69487e815312644a2c093222,26/06/2023 01:23:39,ESCANER
15596,"Huehuetenango",13,"Santa Bárbara",10,2271,380,184,1,4,89,3,4,0,2,0,0,0,287,13,5,305,0,305,--,380,75,287,305,305,Algún campo sin dato,1,e54fb82e85eae9507d2148e3fc2466a643860ec082653e38292044f76c4b432f,25/06/2023 22:25:47,ESCANER
15597,"Huehuetenango",13,"Santa Bárbara",10,2271,380,160,2,3,107,0,0,1,0,0,1,0,274,14,2,290,0,290,--,380,90,274,290,290,Algún campo sin dato,1,036649d247c7ccb25e65b2e650f102a048537b4ad8e12ed699d5820b478db514,26/06/2023 01:34:48,ESCANER
15598,"Huehuetenango",13,"Santa Bárbara",10,2271,380,143,1,9,78,0,0,0,3,2,1,0,237,5,5,247,0,247,--,380,133,237,247,247,Algún campo sin dato,1,1f6eb25a0ac7dd911a1b47d0a1f0c5cff26161adf82e0b5b7eabc57eb5d6bc47,25/06/2023 23:53:36,ESCANER
15599,"Huehuetenango",13,"Santa Bárbara",10,2271,380,133,1,2,90,3,0,0,1,0,2,1,233,10,4,247,0,247,--,380,129,233,247,247,Algún campo sin dato,1,8905162a9ea76e307e4203820ba67ddf901a4ab48635a1aba57f271d7e2be5b8,26/06/2023 00:59:42,ESCANER
15600,"Huehuetenango",13,"Santa Bárbara",10,2272,380,149,3,1,83,1,0,1,0,1,0,0,239,11,4,254,0,254,--,380,126,239,254,254,Algún campo sin dato,1,cbbbaa883d935e87b140f36c80d1a9f0dd2ece6be954c0b9b6caea43601cc850,26/06/2023 01:08:14,ESCANER
15601,"Huehuetenango",13,"Santa Bárbara",10,2273,380,146,1,0,82,0,1,0,0,0,1,0,231,1,5,237,2,239,--,380,143,231,237,239,Algún campo sin dato,1,fd86b1f05bfaf3b8221a337aaf0e058caeb8d2bc8d8da1c4e1ad9cc17d7551e6,26/06/2023 00:56:02,ESCANER
15602,"Huehuetenango",13,"Santa Bárbara",10,2273,380,137,0,3,80,0,0,0,0,1,0,0,221,4,2,227,0,227,--,380,152,221,227,227,Algún campo sin dato,1,0746484303ff7178652ed3101ca7fbd36dd0cfe15f94c55f59c09ad1fda51a97,26/06/2023 01:08:41,ESCANER
15603,"Huehuetenango",13,"Santa Bárbara",10,2273,380,145,0,1,96,0,0,1,0,0,0,0,243,2,1,246,2,248,--,--,--,243,246,248,Algún campo sin dato,1,3dfbdda25e5641cdcdb4803dc0f75c024311770a62990563074167cbf6407f93,26/06/2023 00:42:39,ESCANER
15604,"Huehuetenango",13,"Santa Bárbara",10,2273,380,138,0,5,107,0,0,1,2,1,0,0,254,2,1,0,0,257,--,380,123,254,257,257,Algún campo sin dato,1,8af33c1942175187cf3493fc2ab174451eb5eb64857b9104651b922ccdc03713,26/06/2023 00:38:05,ESCANER
15605,"Huehuetenango",13,"Santa Bárbara",10,2273,262,88,0,3,56,0,0,0,0,0,0,0,147,2,0,149,0,149,--,262,113,147,149,149,Algún campo sin dato,1,5b1eddb88d52bbe0fb66aee809ea7627b62f89e2381c8b2ff55d207d80385b6f,26/06/2023 01:14:35,ESCANER
15606,"Huehuetenango",13,"Santa Bárbara",10,2273,261,92,0,3,46,0,0,0,0,2,2,0,145,3,2,150,0,150,--,261,111,145,150,150,Algún campo sin dato,1,f7de7b4b0aba11033af41b173d41b7c0791cb12e1b03edb3e93cc06d9444858c,25/06/2023 23:30:28,ESCANER
15607,"Huehuetenango",13,"Santa Bárbara",10,2274,380,149,0,4,101,3,1,4,0,0,0,0,262,17,3,282,0,282,--,377,95,262,282,282,Algún campo sin dato,1,698bf09bfb8b25d954e1ffc114ef2a050c3e2e356ce69e2f815e00c8c89143e2,26/06/2023 02:33:07,ESCANER
15608,"Huehuetenango",13,"Santa Bárbara",10,2274,380,145,1,1,95,3,0,0,0,0,0,0,245,11,4,260,0,260,--,380,120,245,260,260,Algún campo sin dato,1,b100c2fd2ad4a579e36da7faea42cfa6bc012e120a6daaf8ebce2230836c878e,26/06/2023 01:31:52,ESCANER
15609,"Huehuetenango",13,"Santa Bárbara",10,2274,243,85,2,1,42,2,0,0,0,1,1,0,134,3,2,139,0,139,--,242,104,134,139,139,Algún campo sin dato,1,65941d46eab8033d4e4ed58715fad384ed54cfa33d7fbb4a3dcc1bf5cfecee75,26/06/2023 01:32:24,ESCANER
15610,"Huehuetenango",13,"Santa Bárbara",10,2274,242,80,0,1,55,0,0,0,1,0,0,0,137,5,0,142,0,142,--,239,97,137,142,142,Algún campo sin dato,1,49975cc9dd4797a7e6ed183040d5806a84516967777fd2daca13a7d2d6debbcb,25/06/2023 23:54:46,ESCANER
15611,"Huehuetenango",13,"Santa Bárbara",10,2275,380,181,2,5,53,2,2,2,1,0,0,1,249,10,13,278,0,278,--,380,278,249,272,272,Sumas Asentadas sin cuadrar,1,549b8425f378d48b0f01aa2ab58dae772783bd6707bd8d3e8d67b56b01f58eb2,26/06/2023 04:51:23,ESCANER
15612,"Huehuetenango",13,"Santa Bárbara",10,2275,300,146,0,2,46,0,0,0,0,0,0,0,194,7,1,202,0,202,--,302,100,194,202,202,Algún campo sin dato,1,b28a41c0f66d191a160940ef3472b022f9a0a9bcf980417e0c1466ff0f9cf136,26/06/2023 01:40:09,ESCANER
15613,"Huehuetenango",13,"Santa Bárbara",10,2275,299,142,0,1,36,0,0,0,0,0,0,0,179,6,0,185,0,185,--,299,114,179,185,185,Algún campo sin dato,1,54e0305aaa0e9d933eafd5e69184fa6108ddbf862c68b8aa0bd15379f21073c2,26/06/2023 01:30:00,ESCANER
15614,"Huehuetenango",13,"Santa Bárbara",10,2276,217,11,0,1,11,0,0,0,0,0,0,0,23,1,0,24,0,24,--,217,193,23,24,24,Algún campo sin dato,1,dba1b6d235d5ec9324e3c9ba19554dd7344299cbc2fc1ed17fe17ad26d850783,25/06/2023 22:18:22,ESCANER
