TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,19982,12469,62.4011

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,VAMOS,UNE,VIVA,VICTORIA,VOS,TODOS,CAMBIO,ELEFANTE,CABAL,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7572,"Escuintla",5,"La Democracia",3,855,380,2,11,73,99,12,15,2,9,0,0,7,0,230,9,10,249,0,249,0,380,131,230,249,249,,1,ba919eb26a8b1c4dc1089293f288069d8be8c454d743608ec2d70b0541573488,26/06/2023 00:12:55,ESCANER
7573,"Escuintla",5,"La Democracia",3,855,380,2,24,52,118,15,14,2,6,0,0,8,2,243,21,5,269,0,269,0,380,108,243,269,269,,1,09da2c129be5904e7753c84b26707ffe84b758e7c910263fb9fd8869d6a1b8cf,26/06/2023 00:44:29,ESCANER
7574,"Escuintla",5,"La Democracia",3,855,380,5,27,49,85,19,17,4,10,0,0,13,0,229,20,9,258,0,258,4,380,122,229,258,258,,1,9f7caa41b1bd7106e596b515c57c5317b02abf9dc368e9d2ab942243dd6ee5e3,25/06/2023 23:49:17,ESCANER
7575,"Escuintla",5,"La Democracia",3,855,380,3,7,44,86,22,16,2,5,0,1,8,1,195,10,5,210,0,210,0,380,170,195,210,210,,1,c19f5432d3a4a3a2a2aecda7d661ad5db7632db9d55ac9520fd40e3e58a740df,25/06/2023 23:58:46,ESCANER
7576,"Escuintla",5,"La Democracia",3,855,380,5,14,45,58,8,15,4,8,1,0,6,0,164,10,2,176,0,176,0,380,204,164,176,176,,1,454506fb5dbc1b010e6723529f119bf181a6e8cb04b8fe9443fa03801d385d47,25/06/2023 22:04:18,ESCANER
7577,"Escuintla",5,"La Democracia",3,855,380,0,15,56,77,11,7,2,8,2,2,2,0,182,22,6,210,0,210,--,381,171,182,210,210,Algún campo sin dato,1,c162f481c251d6f7061fb70b64eea35969582b25a1f4b68f9d95512256c74291,26/06/2023 00:20:47,ESCANER
7578,"Escuintla",5,"La Democracia",3,855,380,4,10,47,87,8,6,1,8,0,0,6,0,177,9,3,189,0,189,0,377,188,177,189,189,,1,462ff3b91d73ea9dbf5afbf32988e76dd7cf6176eae9de620715f9878dcd5ba1,25/06/2023 23:40:16,ESCANER
7579,"Escuintla",5,"La Democracia",3,855,380,0,15,53,72,19,4,1,4,1,0,6,1,176,18,1,195,0,195,--,389,194,176,195,195,Algún campo sin dato,1,ea40c05638f393e6c0ee2ce0c0a24fb3e5b922019263a1f452c8c3b3590a16f7,26/06/2023 00:50:20,ESCANER
7580,"Escuintla",5,"La Democracia",3,855,380,1,13,62,96,16,11,4,9,0,0,5,0,217,12,1,230,0,230,0,380,150,217,230,230,,1,20977b29f2846161fd1d64e59096fb7f2053250e9430c0129c94feb886385255,25/06/2023 22:40:56,ESCANER
7581,"Escuintla",5,"La Democracia",3,855,380,5,14,56,133,11,18,1,11,0,0,0,0,249,9,1,259,0,259,0,381,122,249,259,259,,1,318c80655147ac7699cf0570e5c3c450bce142027ce7622a8da61a7079b0411b,25/06/2023 23:31:19,ESCANER
7582,"Escuintla",5,"La Democracia",3,855,215,0,3,37,67,11,8,0,6,0,1,5,0,138,4,1,143,0,143,--,215,72,138,143,143,Algún campo sin dato,1,5537dda94e9efb282f5d40ca3b70b1ac5da27286708ae5406754af72de201e5c,25/06/2023 21:23:50,ESCANER
7583,"Escuintla",5,"La Democracia",3,855,215,0,6,21,43,5,3,1,2,1,0,3,0,85,5,1,91,0,91,--,215,124,85,91,91,Algún campo sin dato,1,6e0d37423a8679faec1c030f802e73c60ae31135cfc60050d3bfd96ed38f0d95,25/06/2023 22:38:01,ESCANER
7584,"Escuintla",5,"La Democracia",3,856,445,5,2,29,30,8,15,0,8,0,2,8,1,108,6,1,115,0,115,0,445,330,108,115,115,,1,7c31a19a506487719edfa20c05b846cfcfc6857b39fdc5289c1ed81761f90125,25/06/2023 23:19:52,ESCANER
7585,"Escuintla",5,"La Democracia",3,856,445,1,4,15,18,3,5,1,5,1,0,6,0,59,5,2,66,0,66,0,445,379,59,66,66,,1,9055643a228ca9b709b591af614e89b0ce2510ed61c2517bbbbffe2566a6e75d,25/06/2023 22:03:24,ESCANER
