TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31196,19405,62.2034

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VIVA,VAMOS,UNE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17852,"Quiché",14,"Sacapulas",16,2720,380,99,5,1,100,3,0,208,4,6,218,0,--,--,380,162,208,218,218,Algún campo sin dato,1,153bc42f7c604641d83f4ee520677474266181d5e1b70e62f6d34662b9e8aba7,26/06/2023 00:18:57,ESCANER
17853,"Quiché",14,"Sacapulas",16,2720,338,104,4,1,77,0,0,186,1,2,189,0,--,1,338,148,186,189,189,Algún campo sin dato,1,8a843f04908572c0b13a911ca21dc6c354ddbc3f7836791cd7c8134b25242eea,25/06/2023 23:31:21,ESCANER
17854,"Quiché",14,"Sacapulas",16,2720,338,101,1,0,74,0,1,177,0,2,179,0,179,0,338,159,177,179,179,,1,e392972c25de8042d2e5d06321861b0312b37aff7971c9ea2230899a6ce71cd5,26/06/2023 00:22:53,ESCANER
17855,"Quiché",14,"Sacapulas",16,2721,380,90,0,15,91,0,0,196,13,6,215,0,215,--,380,165,196,215,215,Algún campo sin dato,1,9677fe75bf3239ec97d7a524ad7d0dc6a32eb6b815120e490ea29cf171c39f8c,25/06/2023 22:06:09,ESCANER
17856,"Quiché",14,"Sacapulas",16,2721,380,80,2,23,124,4,0,233,7,12,252,0,252,--,380,128,233,252,252,Algún campo sin dato,1,1d177240fc7940c5cd033945f62cb69df64e0c7532edd07eeb8a26481f2439d4,25/06/2023 23:12:02,ESCANER
17857,"Quiché",14,"Sacapulas",16,2721,380,132,0,36,77,1,0,246,13,9,268,0,268,--,380,112,246,268,268,Algún campo sin dato,1,568b46e9b7b1ad47333aafa8e07fce254c34c4cc86c8f3ddf67733450b8d888e,25/06/2023 23:05:42,ESCANER
17858,"Quiché",14,"Sacapulas",16,2721,380,105,4,26,122,2,1,260,14,5,279,0,279,--,380,101,260,279,279,Algún campo sin dato,1,21c83dcd3132c688fd551c1ade91d74856cb4f2f24c76c75b4e0c8089f3ef525,25/06/2023 23:56:28,ESCANER
17859,"Quiché",14,"Sacapulas",16,2721,380,84,0,15,113,4,0,216,11,0,227,0,227,--,380,153,216,227,227,Algún campo sin dato,1,7b20f5cd5b55d89a34e9296d597959d608bd959620f72f6c4a60c813fb9e2ecd,25/06/2023 22:54:55,ESCANER
17860,"Quiché",14,"Sacapulas",16,2721,380,81,2,18,88,0,1,190,13,7,210,0,210,--,380,170,190,210,210,Algún campo sin dato,1,e2533ec7420e464aeadfc4292c35fea4981e6ed7d5793e8dcd850f68a22914c9,25/06/2023 23:19:53,ESCANER
17861,"Quiché",14,"Sacapulas",16,2721,380,85,0,19,75,1,0,180,15,6,201,0,201,--,380,179,180,201,201,Algún campo sin dato,1,f307f689024361cc1cdd429e4745c738a646d500cd8551710e0ab2b59847f4fe,25/06/2023 22:19:35,ESCANER
17862,"Quiché",14,"Sacapulas",16,2721,380,65,1,14,69,0,0,149,3,1,153,0,153,--,380,227,149,153,153,Algún campo sin dato,1,cf6655e4ee922ef01fee45df6ebd4c674881836076a1dca348c11c759d590c77,25/06/2023 22:07:59,ESCANER
17863,"Quiché",14,"Sacapulas",16,2721,380,63,0,15,83,0,0,161,0,3,166,2,166,--,380,214,161,164,166,Sumas Asentadas sin cuadrar,1,8bf8b8e7742061d8a1ad73884f4d95387cf9eda13be23e15e2930ebf29b9f96e,25/06/2023 21:36:05,ESCANER
17864,"Quiché",14,"Sacapulas",16,2721,194,21,0,2,33,0,0,56,0,1,57,0,57,--,194,137,56,57,57,Algún campo sin dato,1,6ef519a1bba7058f9e2320e2f49d408f8f0bd8e4dcff0e07d3c448ff12be6bf5,25/06/2023 21:21:21,ESCANER
17865,"Quiché",14,"Sacapulas",16,2721,194,36,1,4,46,0,4,91,2,1,94,0,94,--,194,100,91,94,94,Algún campo sin dato,1,4ca92f49560f68283f56173d5b46340966bff3fc42f301b7293043e0800f91e6,25/06/2023 21:28:25,ESCANER
17866,"Quiché",14,"Sacapulas",16,2722,380,99,0,2,76,5,0,182,18,8,208,0,208,--,380,172,182,208,208,Algún campo sin dato,1,16f02308dfd9b34044fd5e2448efc8bf3ffb30c7c761839d7e5169c6b21e3162,25/06/2023 23:11:42,ESCANER
17867,"Quiché",14,"Sacapulas",16,2722,380,62,2,5,116,1,2,188,17,11,216,0,216,--,380,164,188,216,216,Algún campo sin dato,1,f8b3c23993a792046e9f861fc04850182dd3604abd81f78859e4dc6dea936bcf,26/06/2023 00:28:47,ESCANER
17868,"Quiché",14,"Sacapulas",16,2722,380,61,0,6,89,2,1,180,14,7,180,0,180,--,380,200,159,180,180,Sumas Asentadas sin cuadrar,1,3cc8e9ca9064438a9f685d2d14997d3c81914dc21aa8902a266499a8f0fc4b17,26/06/2023 00:13:53,ESCANER
17869,"Quiché",14,"Sacapulas",16,2722,380,53,5,9,97,3,0,167,15,7,189,0,189,--,380,191,167,189,189,Algún campo sin dato,1,b3d976d4c43e33c87d6217602f852bddd250dba9ce10127be5a844be66e46006,25/06/2023 23:29:56,ESCANER
17870,"Quiché",14,"Sacapulas",16,2722,380,63,0,4,82,4,0,153,6,4,163,0,163,--,380,217,153,163,163,Algún campo sin dato,1,a844073f53e52515aeb174cdfbb98e1bfcf6c51066e176a7b007d99076d0dfb7,25/06/2023 22:58:13,ESCANER
17871,"Quiché",14,"Sacapulas",16,2722,380,72,0,1,91,1,1,166,4,3,173,0,173,--,380,207,166,173,173,Algún campo sin dato,1,6f153275a9bad6937f47566dd679b39a77bf514d7c58beb6395c906e497f7fef,26/06/2023 00:23:41,ESCANER
17872,"Quiché",14,"Sacapulas",16,2722,210,36,1,1,45,1,0,84,3,0,87,0,87,--,210,123,84,87,87,Algún campo sin dato,1,8eac6f3e1b83607da1a7fc0538dbc0d9641764ba4bf770d4f457716272aa33ed,25/06/2023 20:42:08,ESCANER
17873,"Quiché",14,"Sacapulas",16,2722,210,37,0,1,52,0,0,90,1,3,94,0,94,--,210,116,90,94,94,Algún campo sin dato,1,11b23be685cc9c1db84c5d9df89303245eb97ac81886921606b30c7d18380c91,25/06/2023 21:40:41,ESCANER
17874,"Quiché",14,"Sacapulas",16,2723,380,117,1,4,120,4,1,247,22,5,274,0,274,--,380,106,247,274,274,Algún campo sin dato,1,33dfb228af947d7202f5b9b092766af04315168eafc9434c2455063c0fe39a71,26/06/2023 00:34:47,ESCANER
17875,"Quiché",14,"Sacapulas",16,2723,380,120,1,5,125,2,1,254,18,8,280,0,280,--,380,100,254,280,280,Algún campo sin dato,1,1d57c243130f2b6969fc5dbdd9eb334e4319aa66b19f22419a75ff426159997d,26/06/2023 00:21:13,ESCANER
17876,"Quiché",14,"Sacapulas",16,2723,380,113,0,11,136,2,0,262,6,3,271,0,271,--,380,109,262,271,271,Algún campo sin dato,1,fa96569bc119fa212584f56d2cbaa2bd4d74534078e5bce2b1a77c2621b990af,25/06/2023 22:34:42,ESCANER
