TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,84,100.0000,84,100.0000,0,32472,19271,59.3465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VIVA,CABAL,VAMOS,WINAQ,PHG,VOS,LA PAPA,CREO,MLP,UNE,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10959,"Quetzaltenango",9,"Ostuncalco",9,1465,400,36,6,107,19,2,21,13,14,6,1,2,0,24,251,9,4,264,0,264,--,400,136,251,264,264,Algún campo sin dato,1,1a781fcaa48f144cb44445690864e6486945899db6a6b0b42bae19e3bb19ba8a,26/06/2023 00:51:17,ESCANER
10960,"Quetzaltenango",9,"Ostuncalco",9,1465,400,36,5,75,17,2,19,24,25,5,3,3,2,22,238,12,6,256,0,238,--,--,--,238,256,256,Sumas Asentadas sin cuadrar,1,c1e58eafc7072eb160a4893277471b4429f177be038f902d961f9ba048c670a9,25/06/2023 23:33:42,ESCANER
10961,"Quetzaltenango",9,"Ostuncalco",9,1465,353,46,5,91,14,2,9,12,6,6,0,2,1,30,224,3,0,227,0,227,--,353,126,224,227,227,Algún campo sin dato,1,37f787a69f91f92a4c013bc0204152e009b4bff990faad8d72515300c18faf21,26/06/2023 00:27:37,ESCANER
10962,"Quetzaltenango",9,"Ostuncalco",9,1465,353,27,0,87,7,1,20,19,8,1,0,0,0,17,187,4,4,195,0,195,--,353,158,187,195,195,Algún campo sin dato,1,d88ad4cf9cf5b02d4eee90878b14e91b9b6a3975ea7de8131a68406357ea2125,25/06/2023 23:59:03,ESCANER
10963,"Quetzaltenango",9,"Ostuncalco",9,1466,380,105,0,27,13,0,2,5,45,1,1,2,0,11,212,11,18,241,0,241,--,380,139,212,241,241,Algún campo sin dato,1,6c6b5244a6c9b2b807f4f30706ed1bdc05767f14409b9d3c6418f92e05171f21,26/06/2023 00:59:04,ESCANER
10964,"Quetzaltenango",9,"Ostuncalco",9,1466,380,113,2,44,7,1,4,5,31,0,1,4,0,8,220,17,13,250,0,250,1,379,130,220,250,250,,1,fdba68e7628b8d90829b0cf2bcecbdc6991ae9fa681dffca8b2293ebc78db3ba,26/06/2023 05:15:25,ESCANER
10965,"Quetzaltenango",9,"Ostuncalco",9,1466,380,100,2,40,8,0,4,4,38,2,0,1,2,3,204,20,12,236,0,236,--,392,156,204,236,236,Algún campo sin dato,1,06c4ac235200600bef13535607fb61f653303f47903c748094d428ef4a442be8,25/06/2023 23:56:38,ESCANER
10966,"Quetzaltenango",9,"Ostuncalco",9,1466,380,102,2,29,12,2,3,4,38,2,2,2,0,5,203,22,11,236,0,236,--,380,144,203,236,236,Algún campo sin dato,1,80f442e13a9f0c1add18d0f2c97e26e85bb3bf631025518c6f7d94b1284cc5e0,26/06/2023 03:02:19,ESCANER
10967,"Quetzaltenango",9,"Ostuncalco",9,1466,380,96,2,40,8,2,1,4,41,1,1,1,0,5,202,26,7,235,0,235,--,380,145,202,235,235,Algún campo sin dato,1,f6ea15cf724a3466e0a40d1eb8d2e97ddc49cb0f4d3162936688bf33b404499c,26/06/2023 01:04:43,ESCANER
10968,"Quetzaltenango",9,"Ostuncalco",9,1466,380,98,2,35,7,1,6,7,33,1,2,2,0,3,197,20,18,235,0,235,--,380,145,197,235,235,Algún campo sin dato,1,7fef28225ce4d94194210450d5e2cad829da800d58fdfe9c1bf79c5d8704b214,26/06/2023 00:50:55,ESCANER
10969,"Quetzaltenango",9,"Ostuncalco",9,1466,380,101,0,27,9,1,4,5,9,3,1,4,0,5,204,18,19,241,0,241,--,380,139,169,206,206,Sumas Asentadas sin cuadrar,1,181b8e475338418787b47b7598bc02632820f05d5f19fe07e81d654a8caefe01,26/06/2023 05:54:55,ESCANER
10970,"Quetzaltenango",9,"Ostuncalco",9,1466,380,102,1,43,9,2,3,8,41,2,0,1,0,4,216,12,6,234,0,234,--,380,143,216,234,234,Algún campo sin dato,1,68250c40c529e18e3b6ddba1f33776f3719ab8e6d14baf922037b561758c9584,26/06/2023 02:40:39,ESCANER
