TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14360,9208,64.1225

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VALOR,CABAL,VAMOS,PODEMOS,UNIONISTA,VOS,MLP,VIVA,PPN,EL CHORRO,UR,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6758,"Chimaltenango",3,"Zaragoza",15,727,380,6,35,27,140,7,7,1,3,2,5,0,0,0,233,13,6,252,0,252,0,380,128,233,252,252,,1,b8da2864b743815a949b1b11c3fe42d303a29acfac2f177e775fdf62c382bda7,26/06/2023 00:59:34,ESCANER
6759,"Chimaltenango",3,"Zaragoza",15,727,376,2,49,24,124,4,4,0,7,4,1,0,0,0,219,13,4,236,0,236,--,376,140,219,236,236,Algún campo sin dato,1,c0d69ec60ec175fb9dd74749b1eec4614fc38ff1a7fdaef3568d50fda8c32aec,26/06/2023 00:20:02,ESCANER
6760,"Chimaltenango",3,"Zaragoza",15,727,375,5,43,26,114,5,1,3,2,1,6,0,0,0,206,7,4,217,0,217,0,375,158,206,217,217,,1,b3af45b1beba2765b0eb4bc1a19d5cee37f7b71f4529a1b279b04b0db786b247,26/06/2023 01:37:14,ESCANER
6761,"Chimaltenango",3,"Zaragoza",15,728,380,39,30,22,96,9,7,1,5,8,1,2,1,0,221,2,8,231,0,231,0,380,149,221,231,231,,1,342eb99ee84e4c0c1d7327b6c867a391a8b2024b2a9d0d604180bb62552a6ef2,26/06/2023 01:31:16,ESCANER
6762,"Chimaltenango",3,"Zaragoza",15,728,380,42,22,21,111,9,10,4,13,4,1,2,0,0,239,4,5,248,0,248,0,372,129,239,248,248,,1,23719cfc78b9963e504af237ce428a749601492fbf0b5d710eaced8dcfdba4c0,26/06/2023 01:19:03,ESCANER
6763,"Chimaltenango",3,"Zaragoza",15,728,380,56,37,43,98,5,15,1,3,3,1,4,0,1,267,18,2,287,0,287,0,377,90,267,287,287,,1,fab2159c5d8f6826052acd21f017b6b5851496d8dd64af246ab0c84c6ad1b723,26/06/2023 01:38:25,ESCANER
6764,"Chimaltenango",3,"Zaragoza",15,728,380,38,35,28,89,7,2,1,3,2,2,1,0,2,210,6,2,218,0,218,0,376,159,210,218,218,,1,adf4af07b960079d6a55305bac74bc6921a15f8501ce732e5419a86faff75edf,26/06/2023 02:15:54,ESCANER
6765,"Chimaltenango",3,"Zaragoza",15,728,246,16,25,17,57,3,3,1,3,1,3,2,1,0,133,2,0,135,0,135,--,246,111,132,134,134,Sumas Asentadas sin cuadrar,1,96ae2c2a8b6b590727e336d6a812d5961bfd51c7d059ef786fc1604c15a189f6,26/06/2023 03:27:21,ESCANER
6766,"Chimaltenango",3,"Zaragoza",15,728,246,22,22,14,64,2,8,1,3,2,2,2,0,0,142,4,2,148,0,148,0,243,95,142,148,148,,1,0c4aeda8099c1d014b28d86819879838de37b86b45c214efca9f49216a965edb,26/06/2023 01:33:00,ESCANER
6767,"Chimaltenango",3,"Zaragoza",15,729,388,26,27,25,23,5,6,2,1,1,4,10,1,0,131,5,2,138,0,138,0,--,--,131,138,138,Algún campo sin dato,1,c25835cd0bab3b916e53034d59666b21b235ece5b507e5e1ca368e9c7bf6fdeb,26/06/2023 01:43:03,ESCANER
6768,"Chimaltenango",3,"Zaragoza",15,729,388,27,11,12,15,4,5,1,1,2,3,6,0,2,89,3,1,93,0,93,0,388,295,89,93,93,,1,8fea31303a6fbd42e50c1dba5f77d5771ae6ef7278973bd644719f85658c6caf,26/06/2023 01:04:23,ESCANER
