TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
67,67,100.0000,67,100.0000,0,24582,11228,45.6756

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,ELEFANTE,UNE,BIEN,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15664,"Huehuetenango",13,"La Libertad",11,2286,378,85,14,0,38,3,0,0,140,11,7,158,0,158,--,378,220,140,158,158,Algún campo sin dato,1,fe966f8024980008918c48b0c5a552a9299e66c924c9cb66e6b83bfddb0f05d1,26/06/2023 00:18:46,MOVIL
15665,"Huehuetenango",13,"La Libertad",11,2286,377,114,14,0,32,4,0,0,164,4,4,172,0,172,--,380,208,164,172,172,Algún campo sin dato,1,da173d7232cd09ced520cfc3fd1552d9c382dc4859e8e24cbb04365e3181bd38,25/06/2023 23:36:42,MOVIL
15666,"Huehuetenango",13,"La Libertad",11,2287,380,92,31,0,17,2,0,0,142,17,4,163,0,163,--,379,216,142,163,163,Algún campo sin dato,1,25f76247401b4ab44c743b85c5f36010f94554b460da4b24b0c72468a3a5c9d8,25/06/2023 21:42:20,ESCANER
15667,"Huehuetenango",13,"La Libertad",11,2287,380,102,50,0,22,6,0,0,180,21,9,210,0,210,--,379,166,180,210,210,Algún campo sin dato,1,ddc3f95a4de348357818d9150c62c111602d5818ebb1d31855fe44b4d9c0cbcc,26/06/2023 00:53:49,ESCANER
15668,"Huehuetenango",13,"La Libertad",11,2287,380,93,48,1,21,2,0,0,165,12,10,187,0,187,--,380,193,165,187,187,Algún campo sin dato,1,cf4437988cac411b774535c9aaa482e07545cd8cfe58a9e193c0c3d09c3e2601,26/06/2023 00:43:24,ESCANER
15669,"Huehuetenango",13,"La Libertad",11,2287,380,87,20,2,17,4,1,0,131,24,14,169,0,169,--,380,211,131,169,169,Algún campo sin dato,1,dd96e93f1e040935df4bb24b2c08afbd7a4ce51057ebe957eaa2429efbc9dfa9,25/06/2023 23:54:42,ESCANER
15670,"Huehuetenango",13,"La Libertad",11,2287,380,85,22,2,23,3,0,0,135,12,3,150,3,153,--,380,224,135,150,153,Algún campo sin dato,1,18b376ab1b862fd2e73eecc7c1db062f995e5b9fc0b11fe0bdcf796121a82e71,25/06/2023 22:57:23,ESCANER
15671,"Huehuetenango",13,"La Libertad",11,2287,226,42,21,0,10,1,0,0,74,2,4,80,0,80,--,220,140,74,80,80,Algún campo sin dato,1,614ff95d99355bfc6d08c3727e4b21933b9a531571baf3a8c10c3335f7b58d73,25/06/2023 22:12:01,ESCANER
15672,"Huehuetenango",13,"La Libertad",11,2287,225,52,15,0,6,3,0,0,76,7,4,87,0,87,--,225,138,76,87,87,Algún campo sin dato,1,5b51d53a2bf16db2557396575cf8de62c4a75fa6d9abbeed4969ebaaa00ceba9,25/06/2023 20:50:38,ESCANER
15673,"Huehuetenango",13,"La Libertad",11,2288,380,107,38,0,59,4,0,1,209,29,18,256,0,256,--,380,124,209,256,256,Algún campo sin dato,1,776a65d59d1f213d8905b6de173a5f0aae0b64266e7e028663f597f0f11d4545,26/06/2023 00:39:33,MOVIL
15674,"Huehuetenango",13,"La Libertad",11,2288,380,142,28,1,28,2,2,0,203,19,7,229,0,229,--,380,151,203,229,229,Algún campo sin dato,1,e352ba99239a6ef06f1d78894423fbab175ac3379fda43c1f0ca361e6cdc5fdb,25/06/2023 23:55:47,MOVIL
15675,"Huehuetenango",13,"La Libertad",11,2288,276,77,18,2,21,1,1,0,120,6,4,130,0,130,--,273,143,120,130,130,Algún campo sin dato,1,f79b25c91c05caa6b495dba3c32f877cb4b88a7acfe7e838bdcb402d58cb4dea,25/06/2023 22:53:46,MOVIL
15676,"Huehuetenango",13,"La Libertad",11,2288,276,88,13,0,21,3,0,0,125,4,0,129,2,131,--,276,145,125,129,131,Algún campo sin dato,1,2460c9f4f4dd74befffc5feaf96d931edadf38bcb043bf35a16ce348d00440b6,25/06/2023 23:12:42,MOVIL
15677,"Huehuetenango",13,"La Libertad",11,2289,380,106,19,0,18,1,1,0,145,31,6,182,0,182,--,380,198,145,182,182,Algún campo sin dato,1,bb18afcb718fb69176c371bae19f11cad9f4e4e6cd68c309a731caa6e0f5c473,25/06/2023 21:48:06,ESCANER
15678,"Huehuetenango",13,"La Libertad",11,2289,349,70,35,0,31,2,1,0,139,13,8,160,0,160,--,349,189,139,160,160,Algún campo sin dato,1,394fa9d9bdb61de4d033d044fab464e58b4f68965cc206aba320db3c43b99920,25/06/2023 22:07:01,ESCANER
15679,"Huehuetenango",13,"La Libertad",11,2289,349,70,17,0,26,1,2,1,117,5,3,125,0,125,--,345,220,117,125,125,Algún campo sin dato,1,2e49ffc93889ca3df69f9f2c58d78561cb2f8dc300b504b5fee96a81842d79f8,25/06/2023 21:14:36,ESCANER
15680,"Huehuetenango",13,"La Libertad",11,2290,548,27,22,1,4,2,0,1,57,3,3,63,0,63,--,545,482,57,63,63,Algún campo sin dato,1,b385614e29d2145f828454868d25662e6ff0807bb77a13e1a4d8d17ac8e25e98,25/06/2023 21:37:25,ESCANER
15681,"Huehuetenango",13,"La Libertad",11,2290,548,21,9,1,7,2,0,0,40,1,1,42,0,42,--,548,506,40,42,42,Algún campo sin dato,1,773fd8141f66ebe9cdb33fdcc533f0028b8beb2c7ea22a4a16b1c9a04ddcd1a0,25/06/2023 20:29:05,ESCANER
