TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,95,97.9381,2,36309,22010,60.6185

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,AZUL,VIVA,PPN,TODOS,P A N,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8440,"Santa Rosa",6,"Barberena",2,990,248,47,6,6,0,1,0,2,0,57,119,7,1,127,0,127,--,248,121,119,127,127,Algún campo sin dato,1,d9bede08b4823516f084c81d84a40798fcef94f10551e7136fdcc7f7210bdd08,25/06/2023 22:08:33,ESCANER
8441,"Santa Rosa",6,"Barberena",2,991,400,113,12,44,1,5,0,1,0,89,265,27,17,309,0,309,--,400,91,265,309,309,Algún campo sin dato,1,db602fbae409e8dbc93e79e6b60a139d38855ce111bc768dd5d58e463db4728e,25/06/2023 22:56:21,ESCANER
8442,"Santa Rosa",6,"Barberena",2,991,400,117,14,34,1,4,1,3,0,94,268,39,8,315,0,315,--,400,85,268,315,315,Algún campo sin dato,1,56b96f7e57d804e3b723bd95980b45098e1d3f6c6679dace204a03884e9d0bc7,25/06/2023 23:56:53,ESCANER
8443,"Santa Rosa",6,"Barberena",2,991,400,111,6,33,0,3,0,4,0,73,226,43,4,273,0,273,--,--,--,230,277,277,Sumas Asentadas sin cuadrar,1,921782b1d229faa0c61ec9e9a3d7abb5738b397805d00c97c66347567c13e9e1,26/06/2023 02:00:41,MOVIL
8444,"Santa Rosa",6,"Barberena",2,991,400,103,5,33,1,1,0,3,0,84,230,39,6,275,0,275,--,--,--,230,275,275,Algún campo sin dato,1,7d0445e484669587313322aa9d83667930ae2be42aec6dce834eda9d8fc0d6ca,25/06/2023 23:22:30,ESCANER
8445,"Santa Rosa",6,"Barberena",2,991,350,102,6,17,0,3,4,0,0,64,196,25,3,224,0,224,--,350,126,196,224,224,Algún campo sin dato,1,3097618c3c813b4946a9c3094f8382024c6af01db09da32f6e169686ed12b7dc,25/06/2023 22:35:14,ESCANER
8446,"Santa Rosa",6,"Barberena",2,991,349,103,6,17,1,--,1,--,--,63,191,24,2,217,1,218,--,349,124,191,217,218,Algún campo sin dato,1,8a7c04097b3146a715dd61a0eec69084c98ea2cbbb990ebb5527e9a0ea75b6ff,25/06/2023 22:12:57,ESCANER
8447,"Santa Rosa",6,"Barberena",2,992,380,93,8,37,1,11,0,3,0,65,218,42,13,273,0,273,0,412,139,218,273,273,,1,94b7635b64f3fd7d6d00bca0ff83dabebf0553bcd7ef39fb840d4fbe7e0385f7,26/06/2023 00:02:37,ESCANER
8448,"Santa Rosa",6,"Barberena",2,992,380,87,8,29,0,4,3,1,1,67,200,49,13,262,0,262,--,409,147,200,262,262,Algún campo sin dato,1,eab7509a9ae01c3c4ef847584f30829b90bf6bcc19d1f9ae73a6a978f34cd909,26/06/2023 00:29:09,ESCANER
8449,"Santa Rosa",6,"Barberena",2,992,380,73,16,41,3,1,2,1,2,77,216,32,4,252,0,252,--,380,128,216,252,252,Algún campo sin dato,1,bf8cdd53695bc8f8bc634a9ebb117f10212d513e2ecaf4e29eec796807fee820,26/06/2023 01:49:40,ESCANER
8450,"Santa Rosa",6,"Barberena",2,992,380,82,8,39,2,6,2,1,4,67,211,36,7,254,0,254,--,380,126,211,254,254,Algún campo sin dato,1,0fe0fecd579094eb1e09286e1554b99d0362190f4aabe2fbbb1abb44f4e3f3ea,26/06/2023 00:18:48,ESCANER
8451,"Santa Rosa",6,"Barberena",2,992,380,74,10,26,1,8,0,4,2,77,202,47,4,253,--,--,--,382,129,202,253,253,Algún campo sin dato,1,062c9d77892bc00404593751a6e0adc722b02d64c6a0ad0c5ec196ceb01661e2,25/06/2023 21:28:59,ESCANER
8452,"Santa Rosa",6,"Barberena",2,992,380,90,15,31,2,3,3,2,1,69,216,49,10,275,0,275,--,380,105,216,275,275,Algún campo sin dato,1,acfc19f788491cce31a93566b5a3090abf93642a1a67a8a0f401de0cb9f6a0de,25/06/2023 22:27:44,ESCANER
8453,"Santa Rosa",6,"Barberena",2,992,380,82,12,33,1,5,4,1,0,63,201,50,7,258,0,258,--,380,122,201,258,258,Algún campo sin dato,1,6c2e7f7df3ecfafafdabd9ab63c689d800b9b3652e6f6eedf790ecb55ffbb90a,25/06/2023 23:19:39,ESCANER
8454,"Santa Rosa",6,"Barberena",2,992,380,89,8,32,0,4,5,0,0,61,199,42,9,250,0,250,--,380,130,199,250,250,Algún campo sin dato,1,844b92a0f722a2ca92e55a8054789fa0d462d6cc6dae024158c18eeb956d0b73,25/06/2023 22:46:06,ESCANER
8455,"Santa Rosa",6,"Barberena",2,992,380,92,14,24,2,3,5,2,1,76,219,44,7,270,--,270,--,380,110,219,270,270,Algún campo sin dato,1,a70b7ffe29d933c1fde3be55a0239b07681d70858bcdbe3c04358132ad312438,26/06/2023 03:20:09,ESCANER
8456,"Santa Rosa",6,"Barberena",2,992,380,93,12,37,2,10,3,0,1,59,217,43,9,269,0,269,--,380,111,217,269,269,Algún campo sin dato,1,1aee1bfa420511ddec941e4284f6adb3908c8a68dc2ff5646863f4b8022ca5f7,26/06/2023 00:24:10,ESCANER
8457,"Santa Rosa",6,"Barberena",2,993,380,87,12,48,0,9,3,2,0,56,217,45,6,268,0,268,--,377,109,217,268,268,Algún campo sin dato,1,06bb389a73ab647a7cd1c631bb596bd00d74fd005e45d1a56efca9764213c99f,25/06/2023 23:54:27,ESCANER
8458,"Santa Rosa",6,"Barberena",2,993,380,83,7,33,1,9,5,1,0,69,208,41,5,254,0,254,--,380,126,208,254,254,Algún campo sin dato,1,a1db0da8631fba01ed0b817c79b392287e8559c138d417130f400308fe83bce6,25/06/2023 23:20:15,ESCANER
8459,"Santa Rosa",6,"Barberena",2,993,380,89,23,38,2,8,5,2,2,59,228,39,4,271,0,271,--,382,111,228,271,271,Algún campo sin dato,1,18f8c838d008eae48c4ca7d27edf317f3a1b9b7902d315f79cb40f201e288ef9,26/06/2023 00:15:18,ESCANER
