TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,56702,38206,67.3803

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR UNIONISTA,BIEN,PHG,PR,CREO,PPG,UNE,TODOS,AZUL,MLP,FCN-NACION,MI FAMILIA,PODEMOS,VOS,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2049,"Guatemala",1,"Santa Catarina Pinula",2,156,400,2,0,123,3,16,0,10,7,84,8,2,5,0,0,3,6,1,1,271,3,1,275,0,275,--,400,125,271,275,275,Algún campo sin dato,1,396e2cc845026bd63a5ea5ee6ef8c42215dcdd5e2ec9386c224f96dc4a848553,26/06/2023 01:27:43,ESCANER
2050,"Guatemala",1,"Santa Catarina Pinula",2,157,400,2,2,138,2,9,1,5,5,80,6,1,1,1,0,0,7,3,1,264,5,1,270,0,270,--,400,130,264,270,270,Algún campo sin dato,1,6501e78234174e75710d37ce90c1d1bff6e47026a0cee645185d7534df0a2c33,25/06/2023 23:10:09,ESCANER
2051,"Guatemala",1,"Santa Catarina Pinula",2,157,400,2,2,132,4,17,0,5,12,70,3,1,8,1,0,1,3,1,3,265,3,1,269,0,269,--,400,131,265,269,269,Algún campo sin dato,1,d9ddfeb6817a6e8df1e2573cf595a515de680f55a8092202589d82591b7d87c3,25/06/2023 23:45:02,ESCANER
2052,"Guatemala",1,"Santa Catarina Pinula",2,157,400,1,0,115,3,21,1,6,6,129,4,0,1,2,0,0,3,0,1,293,6,0,299,0,299,--,400,101,293,299,299,Algún campo sin dato,1,0e32ee416e47f487d3ec3703a74d951b0db23642e68a2fe611f58df403a5388e,26/06/2023 00:16:38,ESCANER
2053,"Guatemala",1,"Santa Catarina Pinula",2,157,400,2,1,109,2,17,0,3,3,120,6,2,2,2,1,3,6,0,2,281,3,0,284,0,284,--,400,116,281,284,284,Algún campo sin dato,1,65af541e24ffc529427cc3f2ddb9c233d19462f5c5835a1535e9dce4c77467eb,25/06/2023 21:51:38,ESCANER
2054,"Guatemala",1,"Santa Catarina Pinula",2,157,400,4,1,106,1,7,1,4,2,72,4,1,1,2,0,1,7,1,1,216,3,1,220,0,220,--,401,181,216,220,220,Algún campo sin dato,1,7e610186f40362d6f507d37c1328d9cfc126f1479a5a17e11c04dbf2e876e6c2,25/06/2023 22:24:35,ESCANER
2055,"Guatemala",1,"Santa Catarina Pinula",2,157,279,2,0,88,1,8,2,2,3,58,1,1,2,0,0,1,2,1,3,175,4,0,179,0,179,--,279,100,175,179,179,Algún campo sin dato,1,79d9509cc4823a44ec32748360db01b07cc2eb497629dd54f8bb943a67290552,25/06/2023 22:41:52,ESCANER
2056,"Guatemala",1,"Santa Catarina Pinula",2,157,279,2,3,82,1,10,0,3,1,48,4,0,2,1,2,0,2,0,3,164,3,0,167,0,167,--,283,116,164,167,167,Algún campo sin dato,1,5624cb6e382dc3d7de34f64b5dadf4b4f6426fd768227d50f4b7c80eba77391c,25/06/2023 22:53:53,ESCANER
2057,"Guatemala",1,"Santa Catarina Pinula",2,158,380,0,10,117,4,14,1,14,1,85,2,6,3,5,4,0,6,2,5,279,7,3,289,0,289,--,400,111,279,289,289,Algún campo sin dato,1,a10be35f9e053a8c78f1a296576e87ed04a8f260285fcc1b093daaf404080bc6,26/06/2023 00:18:37,ESCANER
2058,"Guatemala",1,"Santa Catarina Pinula",2,158,380,5,8,104,3,7,0,17,3,77,4,2,1,0,9,1,2,4,9,256,16,3,275,0,275,--,377,102,256,275,275,Algún campo sin dato,1,d19c0a5851b3d0fb8697cc884faf0f9ace8d6dc7447251719d45deae7cccdd4e,26/06/2023 00:40:35,ESCANER
