TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,34,82.9268,34,82.9268,0,12910,8349,64.6707

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,PODEMOS,VALOR,MLP,VICTORIA,PPN,VAMOS,UNIONISTA,CAMBIO,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6797,"Chimaltenango",3,"El Tejar",16,734,380,81,12,8,2,7,2,123,7,1,12,255,17,4,276,0,276,--,400,123,255,276,276,Algún campo sin dato,1,643b78d1e4a48d203ded41f3017fc5e92343317095257f364f3aea6b61b762d8,26/06/2023 00:45:26,ESCANER
6798,"Chimaltenango",3,"El Tejar",16,734,380,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6799,"Chimaltenango",3,"El Tejar",16,734,380,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6800,"Chimaltenango",3,"El Tejar",16,734,380,62,8,7,2,9,3,111,14,3,10,229,12,3,244,0,244,--,400,156,229,244,244,Algún campo sin dato,1,b73bd65fe06ac444ffd4ca4d515263b22259a716959d83dd63a74c94c11814c4,26/06/2023 02:30:42,ESCANER
6801,"Chimaltenango",3,"El Tejar",16,734,380,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6802,"Chimaltenango",3,"El Tejar",16,734,380,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6803,"Chimaltenango",3,"El Tejar",16,734,380,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6804,"Chimaltenango",3,"El Tejar",16,734,380,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6805,"Chimaltenango",3,"El Tejar",16,734,380,60,15,9,3,1,2,104,7,2,5,208,12,3,223,0,223,--,380,158,208,223,223,Algún campo sin dato,1,b696a0385676ac567b81924491517c89c17c285ba61eb71c29d83edca1484216,25/06/2023 23:43:32,ESCANER
6806,"Chimaltenango",3,"El Tejar",16,735,380,91,11,8,9,2,1,105,10,4,7,248,7,3,258,0,258,--,380,122,248,258,258,Algún campo sin dato,1,3f5a5e33f0716fb5868f41f5e79ad5692612623be82ea3be64109adac765ebcf,25/06/2023 23:55:04,ESCANER
6807,"Chimaltenango",3,"El Tejar",16,735,290,75,6,3,3,7,2,70,10,1,8,185,5,0,190,0,190,--,290,100,185,190,190,Algún campo sin dato,1,dfc5d26fd6711e7a892ddad227955c4417a70eb143fb2aca62d32fc0a2a5c957,25/06/2023 23:46:17,ESCANER
6808,"Chimaltenango",3,"El Tejar",16,735,289,63,9,7,4,4,1,76,1,0,7,172,6,1,179,0,179,--,289,110,172,179,179,Algún campo sin dato,1,9c512a9578efa281136ea5b6c44870b23fe7e51cf4058c5444141cdbdc3f6f9b,26/06/2023 00:07:11,ESCANER
6809,"Chimaltenango",3,"El Tejar",16,736,450,37,7,9,3,6,3,61,15,2,20,163,6,0,169,281,450,--,450,281,163,169,450,Algún campo sin dato,1,484f71f9bef5cba350be0aa618b917fdc23559a3636f42e524461ceb0858131f,26/06/2023 00:22:45,ESCANER
