TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,17724,10452,58.9708

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VIVA,MLP,CABAL,UNE,VAMOS,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20709,"Petén",17,"Santa Ana",7,3219,400,4,38,5,96,10,70,1,0,224,10,1,235,0,235,--,400,165,224,235,235,Algún campo sin dato,1,9f51da3f24e9063daa2b3c68dbe162e1b7579bb63f9d46684d484f1307b482ab,26/06/2023 01:46:10,ESCANER
20710,"Petén",17,"Santa Ana",7,3219,400,7,45,5,89,3,70,0,1,220,18,3,241,0,241,--,400,159,220,241,241,Algún campo sin dato,1,770a8389ff7ad72e451052efbfac4a9a65e26e10ed49cb850b76865ab2ce2cca,26/06/2023 00:53:39,ESCANER
20711,"Petén",17,"Santa Ana",7,3220,400,4,41,4,79,4,75,0,0,207,17,6,230,--,230,--,399,169,207,230,230,Algún campo sin dato,1,945846cd6665747a9d4ffcb5a3ae1eb1292cb6bcd089bf96aca4cc1e187aa6d4,26/06/2023 02:22:01,ESCANER
20712,"Petén",17,"Santa Ana",7,3220,400,10,44,4,81,4,78,0,1,222,15,3,240,0,240,0,400,160,222,240,240,,1,589f4ef1ae52f4fa0866147df42f55cee1d0d1eb00808afe768845515e34a146,26/06/2023 03:35:07,ESCANER
20713,"Petén",17,"Santa Ana",7,3220,400,1,49,1,82,6,70,0,0,209,8,2,219,0,219,--,400,181,209,219,219,Algún campo sin dato,1,b6775fdd548b4fe4e3f48cfa055b643bc14bd7fdca2e8287ae0ee8625a947887,25/06/2023 23:36:01,ESCANER
20714,"Petén",17,"Santa Ana",7,3220,400,6,29,5,92,6,83,0,0,221,4,2,227,0,227,--,400,173,221,227,227,Algún campo sin dato,1,7d772472a13f4dbf5c887c4f869fe2b3abd4b12bfb3fe13a2dd0c320fa94b89c,26/06/2023 00:43:08,ESCANER
20715,"Petén",17,"Santa Ana",7,3220,400,13,55,2,91,3,68,0,0,232,2,1,235,0,235,--,400,165,232,235,235,Algún campo sin dato,1,ac2b11a7e873e05d805e68ef92e0c9650bd52447b0cd195a2fb0b40fc80a8671,26/06/2023 00:34:40,ESCANER
20716,"Petén",17,"Santa Ana",7,3220,400,6,56,3,101,5,88,0,0,259,3,0,262,0,262,--,399,137,259,262,262,Algún campo sin dato,1,665e9d7a8e224ace1095ea93b6ee73ca9affe1d5fed7f0a97bb41f5edfcd3186,26/06/2023 00:18:00,ESCANER
20717,"Petén",17,"Santa Ana",7,3220,400,2,40,1,107,4,83,1,1,239,4,1,244,0,244,--,400,156,239,244,244,Algún campo sin dato,1,0de1f393b3176dc0457c4f9738e5579cec7eacab7d01ee4f6e29fd1bffedea18,26/06/2023 00:32:28,ESCANER
20718,"Petén",17,"Santa Ana",7,3220,400,14,37,4,105,14,62,3,2,233,4,1,238,0,238,--,400,162,241,246,246,Sumas Asentadas sin cuadrar,1,0f14822ab231c27469e6a8babb89c4e3845215fa97df00bb502c347bf16fb00d,25/06/2023 23:49:41,ESCANER
20719,"Petén",17,"Santa Ana",7,3221,379,10,45,10,89,8,53,0,1,216,4,0,220,0,220,--,379,159,216,220,220,Algún campo sin dato,1,072a293d5c91c1e427e30becbc7ed8daa6eeffc26af8893af111ebb9b0f80e60,25/06/2023 23:25:00,ESCANER
20720,"Petén",17,"Santa Ana",7,3221,378,8,37,3,63,4,60,0,2,195,14,4,195,0,195,--,378,183,177,195,195,Sumas Asentadas sin cuadrar,1,0cef7e79bb87ec63a76ec3ac1af4f94a1adcb44605ebf54adedae937ffee6898,26/06/2023 00:52:34,ESCANER
20721,"Petén",17,"Santa Ana",7,3222,380,9,46,4,92,7,39,0,6,203,26,4,203,30,233,--,380,147,203,233,263,Sumas Asentadas sin cuadrar,1,8a0a62239ead595f7632e8c7d72588166b0305f8ac8a551ed210dc9870486f16,25/06/2023 23:28:28,ESCANER
20722,"Petén",17,"Santa Ana",7,3222,380,3,39,12,105,12,46,0,7,224,25,4,253,0,253,--,380,127,224,253,253,Algún campo sin dato,1,99324e3f000503c525cc7a410fff7c1a02e9aeadca3372c1ea594f8d3e9c53ed,25/06/2023 23:31:39,ESCANER
20723,"Petén",17,"Santa Ana",7,3222,380,8,35,9,128,12,46,0,5,243,14,6,263,0,263,--,380,117,243,263,263,Algún campo sin dato,1,dae20576a1d9880475d529dd2ecfd551a046e49a596acbe57f95b7c145653e16,25/06/2023 23:06:22,ESCANER
20724,"Petén",17,"Santa Ana",7,3223,380,9,34,3,91,8,28,0,6,179,12,5,196,0,196,--,380,184,179,196,196,Algún campo sin dato,1,866e3394a91d8990fbed77f3a4d1ee8555c2eaf4ea1ebec16fbe0850cb82c622,26/06/2023 00:52:00,ESCANER
