TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
308,308,100.0000,308,100.0000,0,113565,68807,60.5882

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,AZUL,MLP,UNE,VIVA,CABAL,TODOS,PODEMOS,WINAQ,ELEFANTE,CAMBIO,PPN,MI FAMILIA,VALOR,CREO,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19456,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,91,1,27,5,1,59,5,6,4,0,0,1,0,2,0,7,3,2,0,214,27,7,248,0,248,--,400,152,214,248,248,Algún campo sin dato,1,746025d40a1aa0dbee96aef568b579ec7c6f6d7b016ae1587172200038522b05,26/06/2023 02:25:54,ESCANER
19457,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,63,5,24,3,0,50,5,8,1,5,2,2,1,10,0,5,1,0,0,185,20,10,215,0,215,--,400,185,185,215,215,Algún campo sin dato,1,0a6221055d6d423bfce0b2f9ae6432d71bb5380b212de8056ca42906623b76d7,26/06/2023 05:08:40,ESCANER
19458,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,76,0,24,7,2,68,2,9,6,2,0,0,0,10,2,7,4,0,0,219,6,1,226,0,226,--,400,174,219,226,226,Algún campo sin dato,1,584d166fe33bec38eec34b03e6bdc8391b036f8bd7abde145c742ffd9ea052e5,26/06/2023 00:01:16,ESCANER
19459,"Alta Verapaz",16,"San Pedro Carchá",9,2987,251,45,2,12,4,1,33,2,5,4,1,1,1,1,3,0,1,1,0,0,117,2,0,119,0,119,--,248,129,117,119,119,Algún campo sin dato,1,4341982d8033c0632ed40317b06812b6420649713af9f71353f5e950adc5d71e,25/06/2023 22:17:42,ESCANER
19460,"Alta Verapaz",16,"San Pedro Carchá",9,2987,251,39,0,19,2,0,33,1,3,3,0,0,0,2,3,0,3,3,0,0,111,2,1,114,0,114,--,251,137,111,114,114,Algún campo sin dato,1,0670b9f3b469e76a2c09b2c81e1227d9bf4051d3930c74e3891bed697a1c028f,25/06/2023 23:31:09,ESCANER
19461,"Alta Verapaz",16,"San Pedro Carchá",9,2988,400,89,5,24,3,1,79,3,16,2,0,1,0,3,15,2,4,5,1,2,255,33,10,298,0,298,--,368,70,255,298,298,Algún campo sin dato,1,6e7da47bfdce0e6fe5b0de1db268285fc2a02d39740ce56fd851f8711e93af20,26/06/2023 04:20:27,ESCANER
19462,"Alta Verapaz",16,"San Pedro Carchá",9,2988,400,79,2,21,4,0,91,5,14,1,1,2,0,0,10,0,9,3,0,0,242,26,11,279,0,279,--,400,121,242,279,279,Algún campo sin dato,1,04bf6bf8b150fca4b8a3b35bff6b224eb3cc97e5b6633119d6edfcf0a0127d93,26/06/2023 03:46:39,ESCANER
19463,"Alta Verapaz",16,"San Pedro Carchá",9,2988,400,64,4,33,1,0,65,7,20,6,0,5,0,5,9,2,10,5,1,1,238,12,5,255,0,255,0,400,145,238,255,255,,1,4b646d060a4a1e73de5a5c413315fd5c587356ffcc6c281c4eecd317231243f1,26/06/2023 02:54:43,ESCANER
19464,"Alta Verapaz",16,"San Pedro Carchá",9,2988,400,68,2,17,2,1,59,4,21,3,0,1,2,2,7,0,6,4,6,1,206,19,5,230,0,230,--,400,170,206,230,230,Algún campo sin dato,1,da2298b6ca4a075516a14021f0dde8f799d861964f1158f8328101f37f4ecbd4,25/06/2023 22:55:19,ESCANER
19465,"Alta Verapaz",16,"San Pedro Carchá",9,2988,281,36,1,16,1,1,45,1,11,4,1,1,1,1,5,0,8,4,1,0,138,6,0,144,0,144,--,281,137,138,144,144,Algún campo sin dato,1,c97dd5ce99dca81969fdd3425c69a90575c3fecf78c23045e2f395476bf685e2,25/06/2023 22:30:20,ESCANER
