TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,93,98.9361,1,34281,19688,57.4312

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,TODOS,PODEMOS,VAMOS,U R N G - MAIZ,VIVA,SEMILLA,CREO,PPN,PR,CAMBIO,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17753,"Quiché",14,"Uspantán",15,2703,380,118,4,13,37,0,2,1,21,0,0,1,1,21,219,5,4,228,0,228,--,377,149,219,228,228,Algún campo sin dato,1,ebd769a58e4fbf88952453411119fa1123f25da4f71b08829d6b7f750ce00e97,26/06/2023 03:05:42,MOVIL
17754,"Quiché",14,"Uspantán",15,2703,198,45,0,7,27,0,0,1,5,0,0,0,1,13,99,9,2,110,0,110,0,198,88,99,110,110,,1,a186e578045ca6c6ed280ef7829cdf3930aeef4aebd73597819e425dc9d8a585,25/06/2023 22:49:33,MOVIL
17755,"Quiché",14,"Uspantán",15,2703,197,65,0,5,25,0,0,1,7,0,0,1,0,10,114,1,1,116,0,116,--,197,81,114,116,116,Algún campo sin dato,1,cd616dca8d56290eaa04d7259807facf2383367b8a5bb73615e8976f2a6c0aee,25/06/2023 22:36:22,MOVIL
17756,"Quiché",14,"Uspantán",15,2704,380,62,8,6,110,1,3,0,13,0,0,0,4,29,236,10,7,253,0,253,--,380,127,236,253,253,Algún campo sin dato,1,23b4ebef1028a2912667e39111af0c60a8acf62515d07851c0953bae1dd640be,26/06/2023 02:20:45,ESCANER
17757,"Quiché",14,"Uspantán",15,2704,380,72,12,7,89,0,0,0,18,0,0,0,1,22,221,12,10,243,0,243,0,380,137,221,243,243,,1,62e18fa8c2138016afdb6788a0d57176eb30849299376a0af3236e2083730658,26/06/2023 01:00:42,ESCANER
17758,"Quiché",14,"Uspantán",15,2704,199,21,6,0,45,2,1,0,5,0,0,0,0,7,87,3,0,90,0,90,--,199,109,87,90,90,Algún campo sin dato,1,1fb46092aa9eeed5e02b4f2434885c9abdcf928d3cf6717af7c0fb3e2841d75e,25/06/2023 23:41:30,ESCANER
17759,"Quiché",14,"Uspantán",15,2704,199,29,5,1,30,1,0,1,9,0,0,0,0,7,83,6,2,91,0,91,--,199,108,83,91,91,Algún campo sin dato,1,8c22b4d3a04fcb799b98f251784a38ee4d43e7ad56e108cfb32ffca29f7cf78a,25/06/2023 23:47:58,ESCANER
17760,"Quiché",14,"Uspantán",15,2705,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,714d5e2bf108c7d2b8ec02558269cc74e5f93d2a3335bb250738d2764d845f6c,26/06/2023 05:39:21,ESCANER
17761,"Quiché",14,"Uspantán",15,2705,380,76,3,9,94,1,2,1,11,0,0,0,4,16,217,26,12,255,0,255,0,380,125,217,255,255,,1,97d1a2b2b40fa027c58ef56b9882573435eaecf70c95883ac1065ddefe95789e,26/06/2023 04:37:38,ESCANER
17762,"Quiché",14,"Uspantán",15,2705,380,62,1,7,79,0,2,0,11,1,1,0,3,20,187,55,7,250,0,250,--,360,130,187,249,249,Sumas Asentadas sin cuadrar,1,409cb484da423ccc90e35c75fb8d1256cc23ae0e50dba7b2ea87e015a2c287b6,26/06/2023 04:18:24,ESCANER
