TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,56,98.2456,1,20271,12149,59.9329

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,CABAL,BIEN,U R N G - MAIZ,TODOS,AZUL,PODEMOS,PHG,VIVA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16104,"Huehuetenango",13,"Colotenango",19,2371,380,79,21,15,8,14,18,0,0,2,0,0,157,9,2,168,--,168,--,380,212,157,168,168,Algún campo sin dato,1,79c573bd3a4e5557f68734a8684446e74a9b8afa1466f323b3e52e4d9d092bc6,26/06/2023 01:16:50,ESCANER
16105,"Huehuetenango",13,"Colotenango",19,2371,332,87,18,19,16,11,18,0,1,5,0,0,175,2,4,181,0,181,--,332,151,175,181,181,Algún campo sin dato,1,4b76a4e5dc3c02c1370bdf98c7d78ef3565cf9ca3f428e7d6169a803f52e07c4,26/06/2023 01:59:41,ESCANER
16106,"Huehuetenango",13,"Colotenango",19,2371,331,82,21,11,17,16,24,0,3,1,1,0,176,2,2,180,0,180,--,331,151,176,180,180,Algún campo sin dato,1,88d51370a58bd40aeaae665405e6f48f0f4251c01c8a4a840c7e90d8a3b326bb,26/06/2023 03:53:01,ESCANER
16107,"Huehuetenango",13,"Colotenango",19,2372,380,84,63,8,8,26,10,1,0,9,0,0,209,14,11,234,0,234,--,380,146,209,234,234,Algún campo sin dato,1,beb5c07a20e611b82ba80c43718efba99e730fcf944247154f19ca1f389d38de,25/06/2023 23:41:53,ESCANER
16108,"Huehuetenango",13,"Colotenango",19,2372,380,69,40,21,6,38,23,0,0,0,1,0,198,9,11,198,20,218,--,380,162,198,218,238,Sumas Asentadas sin cuadrar,1,7f32c2cff3444369bb252d910680a2aac05095a9cc2beabc5dec58758bd61797,26/06/2023 03:48:37,ESCANER
16109,"Huehuetenango",13,"Colotenango",19,2372,380,64,103,6,3,24,17,0,2,3,1,0,223,15,9,247,3,250,--,381,131,223,247,250,Algún campo sin dato,1,0e7ba44c7464b17ff5d0d7c3f8360058e98a14a49c2ff4c67e2ce61c8665fcec,26/06/2023 01:43:34,ESCANER
16110,"Huehuetenango",13,"Colotenango",19,2372,380,66,70,1,5,23,14,0,0,3,0,0,182,10,4,196,0,196,--,379,183,182,196,196,Algún campo sin dato,1,d08a197a9104c5a7dfacabc568d8f5ceed36b2769d85184336abf8bdbe842bd1,26/06/2023 00:24:17,ESCANER
16111,"Huehuetenango",13,"Colotenango",19,2372,380,57,47,7,6,21,18,0,0,1,0,0,157,7,5,169,0,169,--,380,211,157,169,169,Algún campo sin dato,1,e690b77386c412e45a19b473658c0c15eb6ad9a9ccaa85e4dceadfb2bfed0659,25/06/2023 23:45:52,ESCANER
16112,"Huehuetenango",13,"Colotenango",19,2372,197,32,28,7,1,9,3,0,1,3,0,0,84,2,2,88,0,88,--,197,109,84,88,88,Algún campo sin dato,1,4716db2e866dd38b06d861388bb584361d72e7dfbaeb94e372fd73a0ec70408a,25/06/2023 21:59:21,ESCANER
16113,"Huehuetenango",13,"Colotenango",19,2372,197,37,12,3,3,6,4,0,0,4,0,0,69,1,0,70,2,72,--,197,125,69,70,72,Algún campo sin dato,1,a6799362f6772dd59c050b4560e819ad3451368c87363a99129acd6d823420c3,25/06/2023 21:23:44,ESCANER
16114,"Huehuetenango",13,"Colotenango",19,2373,380,95,24,24,24,10,18,1,0,5,3,0,204,15,6,225,0,225,--,377,152,204,225,225,Algún campo sin dato,1,8586d3579175727ea4a0156ece43c234839c5834e74b14ec027399b4e401aec9,26/06/2023 04:21:51,ESCANER
16115,"Huehuetenango",13,"Colotenango",19,2373,380,114,26,12,26,14,17,1,0,7,0,0,217,10,11,238,--,238,--,380,142,217,238,238,Algún campo sin dato,1,49386671b52ff4afc4a239725e3ee3369423a84e1263a0bddcb545d161cc7e7d,26/06/2023 04:13:02,ESCANER
16116,"Huehuetenango",13,"Colotenango",19,2373,380,108,40,40,16,7,19,1,1,5,1,1,239,10,7,256,0,256,--,380,124,239,256,256,Algún campo sin dato,1,243f26e10728820eb362898b5395af28e9977ae3c24aa4bf5da35063abc67c66,26/06/2023 04:26:29,ESCANER
16117,"Huehuetenango",13,"Colotenango",19,2373,380,57,24,26,39,5,35,0,1,6,3,1,197,1,14,220,8,220,--,383,--,197,212,220,Sumas Asentadas sin cuadrar,1,a40b9e8d4c160ab3a5ac392e9ad37b05ee10bf11f91d7e4b82acc99f9cbf19a3,26/06/2023 04:50:24,ESCANER
16118,"Huehuetenango",13,"Colotenango",19,2373,380,76,24,28,18,6,22,0,2,0,1,0,185,7,6,198,0,198,--,380,182,177,190,190,Sumas Asentadas sin cuadrar,1,6d9a7b7efb4890a5ca43a4da25d2ca11b3036f3a0712a625a774673f7f753272,26/06/2023 04:44:10,ESCANER
16119,"Huehuetenango",13,"Colotenango",19,2373,333,73,27,16,8,6,18,0,0,4,0,0,152,3,2,157,1,158,--,333,175,152,157,158,Algún campo sin dato,1,1262f372ab2a1eb6d7dfdab8ad5b34cbf9cfc0fbe494f9bf7b5a3451698ea2fe,26/06/2023 04:33:37,ESCANER
16120,"Huehuetenango",13,"Colotenango",19,2373,333,90,23,11,19,1,18,0,0,5,0,0,167,7,3,177,0,177,--,333,153,167,177,177,Algún campo sin dato,1,cb53d649c7e9ad1b68c68d18dc1c19ea26e858bcd26d2a9ea5618ea8dc641012,26/06/2023 04:30:06,ESCANER
16121,"Huehuetenango",13,"Colotenango",19,2374,380,49,84,21,69,5,13,1,1,3,0,1,247,14,8,269,--,269,--,380,111,247,269,269,Algún campo sin dato,1,8ff6b5a88ed9191ae5e548f12997b95d6ac5e1bf6c54bd41cddd72a2608c2d41,26/06/2023 03:35:06,ESCANER
16122,"Huehuetenango",13,"Colotenango",19,2374,380,47,56,13,107,10,17,1,1,1,0,1,254,20,19,293,0,293,--,380,87,254,293,293,Algún campo sin dato,1,2782f8d66f3ee325104d1d5b8b977d3a3963d2e2739fe434a0319c83fd674030,26/06/2023 03:23:40,ESCANER
16123,"Huehuetenango",13,"Colotenango",19,2374,353,42,48,18,60,7,17,1,0,0,0,0,193,9,4,206,0,206,--,350,99,193,206,206,Algún campo sin dato,1,5481c3fb2486cf015e945e1936bea5bba1bda12f8106358c47bc115a6be6c6e7,26/06/2023 02:32:32,ESCANER
16124,"Huehuetenango",13,"Colotenango",19,2374,353,24,55,15,94,3,15,0,0,0,0,0,206,8,2,216,0,216,--,353,134,206,216,216,Algún campo sin dato,1,56aab50f841b2e57cb5a66b751909d3c5e4fd65f05f5bdcb8d78a1ee1a146acd,26/06/2023 01:19:04,ESCANER
16125,"Huehuetenango",13,"Colotenango",19,2375,380,70,156,16,5,3,12,1,0,0,2,0,265,6,16,287,0,287,--,380,91,265,287,287,Algún campo sin dato,1,b65272c6f4e00da274cb6741dab6f42e42e7d8c56f6797cbefc41ecf02cd0675,26/06/2023 01:49:59,ESCANER
16126,"Huehuetenango",13,"Colotenango",19,2375,380,85,118,12,12,1,14,1,2,3,2,1,251,7,6,264,0,264,--,380,113,251,264,264,Algún campo sin dato,1,ae941169bdc8878da57d1b635169c48c1a7a960263f6ffd4ec1204babb2ce615,26/06/2023 01:23:48,ESCANER
16127,"Huehuetenango",13,"Colotenango",19,2375,380,100,70,9,19,29,24,4,0,0,0,1,186,12,12,210,0,210,--,375,97,256,280,280,Sumas Asentadas sin cuadrar,1,fd530f20070bad6ccd5cdcb25d1d92d6e44a4381e270a59aed217d2850ac9a6d,26/06/2023 04:22:11,ESCANER
16128,"Huehuetenango",13,"Colotenango",19,2375,380,107,92,10,30,12,17,1,0,1,--,1,271,10,8,289,--,289,--,351,62,271,289,289,Algún campo sin dato,1,21078e6dcd5f5187fd0d6749e5dc0f30232e8f4e966570c22602e0d21dd33177,26/06/2023 01:16:40,ESCANER
16129,"Huehuetenango",13,"Colotenango",19,2375,380,83,101,11,10,5,17,2,1,1,0,0,131,9,12,252,0,231,--,--,--,231,252,252,Sumas Asentadas sin cuadrar,1,4657adf83dac77d06c06068cb005e5ce59c86b1aae0ce076bbb59b6cfd5ccd54,26/06/2023 04:03:58,ESCANER
16130,"Huehuetenango",13,"Colotenango",19,2375,380,69,93,12,13,1,12,2,2,0,0,0,204,9,5,218,0,218,--,380,162,204,218,218,Algún campo sin dato,1,b292f8cf550f2c8741b9ceec1b5a5ef7bca40519b736f80c89c0cf1bb12655ae,26/06/2023 01:21:18,ESCANER
16131,"Huehuetenango",13,"Colotenango",19,2375,274,57,75,4,11,3,12,0,0,0,0,0,162,0,5,167,2,169,--,274,105,162,167,169,Algún campo sin dato,1,48a4238b007fd2996b63d159b21f636aa5a5ea3f130dd0c634298791237db9c2,26/06/2023 01:02:19,ESCANER
16132,"Huehuetenango",13,"Colotenango",19,2375,273,53,73,7,4,4,10,0,0,0,0,0,151,6,9,166,15,166,--,273,107,151,166,181,Sumas Asentadas sin cuadrar,1,5bf0df2abd437743382845a24f071ad243f372d73e8870c4c0bfe78bb4dc7946,26/06/2023 00:52:05,ESCANER
16133,"Huehuetenango",13,"Colotenango",19,2376,363,11,11,5,5,6,4,0,1,0,0,0,43,4,2,49,0,49,--,361,312,43,49,49,Algún campo sin dato,1,36ddd1fcf65543b5130c52ca4d31355af0084216b3f5df88f80d1baa1f16440b,25/06/2023 21:47:46,ESCANER
