TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,26720,21105,78.9857

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VIVA,CABAL,UNE,AZUL,CAMBIO,ELEFANTE,CREO,VOS,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9696,"Sololá",7,"Santiago Atitlán",19,1216,400,54,106,100,3,1,22,20,1,29,2,5,343,11,--,354,--,--,--,354,45,343,354,354,Algún campo sin dato,1,a4a1a92e226589e078233ce93f99cbcb46676ba7c6a48326c383774dc9ca7429,26/06/2023 02:09:19,ESCANER
9697,"Sololá",7,"Santiago Atitlán",19,1217,400,54,90,89,3,0,29,28,1,10,2,6,312,8,0,320,0,320,--,400,80,312,320,320,Algún campo sin dato,1,81685adf2fd4b514c27f31b8f25a234adc9b7e2dca875bae06bf7f794f51309a,26/06/2023 00:48:31,ESCANER
9698,"Sololá",7,"Santiago Atitlán",19,1217,400,65,88,101,5,1,18,26,2,18,1,6,331,3,0,334,0,334,--,400,66,331,334,334,Algún campo sin dato,1,babed7acb16a71417484632d57ec74737179656988d53e8b0bd7be36c6b42613,26/06/2023 00:54:58,ESCANER
9699,"Sololá",7,"Santiago Atitlán",19,1217,400,59,104,91,2,1,22,30,0,16,6,1,332,1,2,335,0,335,--,400,65,332,335,335,Algún campo sin dato,1,7d1efe85bd04057e51ddc89ad28fb1b7002ec7131d43c73cfe37a0530cce0f13,25/06/2023 23:29:03,ESCANER
9700,"Sololá",7,"Santiago Atitlán",19,1218,400,64,86,108,0,0,17,34,0,11,4,3,327,2,0,329,0,329,--,400,71,327,329,329,Algún campo sin dato,1,5d8144a1955868a0064095df9c48602c1b01b519a153929aa61f9b7e42a12efb,26/06/2023 00:28:38,ESCANER
9701,"Sololá",7,"Santiago Atitlán",19,1218,400,58,85,94,1,2,14,21,1,18,3,1,298,10,1,309,0,309,--,400,91,298,309,309,Algún campo sin dato,1,70a269365335ba833c9fc21c8045c875936d6c2849ca42207d8526ac52c7ae9a,26/06/2023 00:52:08,ESCANER
9702,"Sololá",7,"Santiago Atitlán",19,1218,400,53,100,101,5,2,14,31,0,14,6,2,328,5,0,333,0,333,--,400,67,328,333,333,Algún campo sin dato,1,e5b3a0c7a181762159036b99034554f881aaec8b23d306f9c5a642e722616445,26/06/2023 01:02:53,ESCANER
9703,"Sololá",7,"Santiago Atitlán",19,1218,400,53,86,111,4,1,14,33,1,17,2,5,327,1,6,334,0,334,--,400,66,327,334,334,Algún campo sin dato,1,15f212ff8767cde694ff9aba02fcdeffacb88d323b5bb6858d6965df9b0e1fef,25/06/2023 23:19:10,ESCANER
9704,"Sololá",7,"Santiago Atitlán",19,1218,400,44,97,80,4,0,18,21,1,20,5,7,297,8,8,313,0,313,--,400,87,297,313,313,Algún campo sin dato,1,b30ff1122cf8c463ac7a4f67f15ea17fbd95b263458a1ef966d785765699ad0d,25/06/2023 23:24:28,ESCANER
9705,"Sololá",7,"Santiago Atitlán",19,1219,400,43,96,101,2,0,20,27,0,16,4,2,311,7,3,321,0,321,1,400,79,311,321,321,,1,9ff02c6d52f040339b8943512406ee88462842679cf51f9854753139f8dc795e,26/06/2023 00:27:23,ESCANER
