TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,41832,23161,55.3667

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,CABAL,PPN,UNE,VAMOS,AZUL,MLP,CAMBIO,PODEMOS,VIVA,TODOS,VOS,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8226,"Escuintla",5,"Nueva Concepción",13,961,400,47,20,29,41,7,4,0,4,1,13,23,3,0,0,192,38,5,235,0,235,0,380,145,192,235,235,,1,fef2ff70e218d021ed4a2fd581fa9b0a9d41664e5a647dc25a2f57f12587c892,25/06/2023 22:43:21,ESCANER
8227,"Escuintla",5,"Nueva Concepción",13,961,278,28,22,18,21,9,0,0,7,4,14,11,1,0,0,135,20,4,159,0,159,0,278,119,135,159,159,,1,ad108b734dc953e773ecf54ff47b18f4ff1219934947c58ecde7ea4c04006b03,25/06/2023 20:56:27,ESCANER
8228,"Escuintla",5,"Nueva Concepción",13,961,278,21,22,20,13,12,0,0,0,3,15,13,1,0,0,120,7,3,130,0,130,0,278,148,120,130,130,,1,e168efc523737e3f126a95855ff27aac9df6092d0ca25ce91a1d075001fe2001,25/06/2023 22:17:43,ESCANER
8229,"Escuintla",5,"Nueva Concepción",13,962,380,32,28,23,36,9,0,3,7,4,16,28,1,1,0,188,33,4,225,0,225,0,378,153,188,225,225,,1,bf6ee2d5b4bb078e0e809d7a16c093e109b89280586679ec0e1b2053ef0bd463,26/06/2023 00:25:35,ESCANER
8230,"Escuintla",5,"Nueva Concepción",13,962,380,29,24,23,41,17,2,0,3,9,10,25,1,1,0,185,40,4,229,0,229,0,380,151,185,229,229,,1,27ff5fb06776c47fee91078fc0817ff3ed3a1dd67cf01c215c59d03b3f2a08cf,25/06/2023 23:25:18,ESCANER
8231,"Escuintla",5,"Nueva Concepción",13,962,380,27,26,26,48,20,1,0,3,12,9,23,1,0,0,196,34,5,235,0,235,--,380,145,196,235,235,Algún campo sin dato,1,c19b2356bbbe2ecc516c6bf6b99ec176c099a5154ee9f96ac8dbeeacd77773f9,25/06/2023 23:33:28,ESCANER
8232,"Escuintla",5,"Nueva Concepción",13,962,380,44,26,17,28,18,0,0,3,5,20,14,0,0,0,175,22,0,197,0,197,0,380,183,175,197,197,,1,e3498d7970e4b82e8c4350f35bb7c570234b42e320713b86ccbb72f34cb8494b,26/06/2023 00:26:50,ESCANER
8233,"Escuintla",5,"Nueva Concepción",13,962,380,32,32,19,38,7,2,1,5,5,12,23,0,0,0,176,34,6,216,0,216,0,380,164,176,216,216,,1,b557b52f8c0fb9ed0841749145db72b73a548842752a23edcd51f337ac233cfa,26/06/2023 00:34:11,ESCANER
8234,"Escuintla",5,"Nueva Concepción",13,962,380,37,28,17,43,9,0,0,5,1,7,28,1,0,0,176,28,3,207,0,207,0,378,171,176,207,207,,1,4956e8a9b228931d807ba97d986d3d4eda10a011465732c303b6f010499b4447,25/06/2023 23:19:31,ESCANER
8235,"Escuintla",5,"Nueva Concepción",13,962,380,34,19,16,41,14,1,0,1,2,10,26,1,0,0,165,24,2,191,0,191,0,377,186,165,191,191,,1,234b437e4b22f6d12631f40830e54a044093001f95c690d4b62e99ea83d43b68,26/06/2023 00:18:07,ESCANER
8236,"Escuintla",5,"Nueva Concepción",13,962,380,29,27,29,29,14,0,0,1,2,17,18,0,0,0,166,32,7,205,0,205,0,380,175,166,205,205,,1,a612971c47bc9a85842dd51fa890279a70dbea4a198e5c4403240ab0ae9c2858,25/06/2023 22:23:42,ESCANER
8237,"Escuintla",5,"Nueva Concepción",13,962,380,36,25,30,32,5,1,1,2,6,7,16,1,0,0,162,28,0,190,0,190,--,380,190,162,190,190,Algún campo sin dato,1,f81231f24b6506e37c666c7890e12ffafde7c1d6ffc397beca6ebc8d32b6baed,25/06/2023 22:37:40,ESCANER
8238,"Escuintla",5,"Nueva Concepción",13,962,283,32,27,13,23,9,1,0,1,6,14,16,0,0,0,142,25,0,167,0,167,0,283,116,142,167,167,,1,16110bc7f249de4250c7088cb8dcf3d5136d7b3a672948bad0d1292a78573c3a,25/06/2023 23:01:36,ESCANER
8239,"Escuintla",5,"Nueva Concepción",13,962,283,20,16,14,25,7,3,0,0,3,10,15,0,2,0,115,20,3,138,0,138,--,283,145,115,138,138,Algún campo sin dato,1,6a7141f1d7628eb248e82d9b136d5a345de2cbdf034c1b2db3051e19ea4fe242,25/06/2023 22:47:29,ESCANER
8240,"Escuintla",5,"Nueva Concepción",13,963,380,56,51,17,28,15,1,0,0,11,9,17,0,0,0,205,31,8,244,0,244,0,376,132,205,244,244,,1,7ed5f53cfcb4d38aa236a097073314505514f370246cfaa6122912e1367bb138,25/06/2023 23:47:54,ESCANER
8241,"Escuintla",5,"Nueva Concepción",13,963,380,34,58,21,51,19,4,0,1,7,22,19,0,0,0,236,0,3,239,27,266,0,380,114,236,239,266,,1,dd26fdfc034ce5ad6bd01d2dc9404f0f217d5819e466ed4bd39146eb4e28b9c9,26/06/2023 01:04:36,ESCANER
8242,"Escuintla",5,"Nueva Concepción",13,963,380,32,59,19,32,12,1,1,4,16,11,16,0,0,0,203,20,6,229,0,229,0,0,0,203,229,229,,1,265fe4ac6c05e17f56b4591c0b92ffa81736f198739de25d6f48938fc13f2c21,26/06/2023 00:48:44,ESCANER
8243,"Escuintla",5,"Nueva Concepción",13,963,380,40,50,14,28,14,1,0,0,10,12,18,0,2,0,189,22,2,213,1,214,0,376,162,189,213,214,,1,b398a295ab1ebdbc2756374c23a7322e4fd26c3f746c9414ada43cbfb04ecd92,26/06/2023 02:08:21,ESCANER
8244,"Escuintla",5,"Nueva Concepción",13,963,380,24,39,9,45,10,1,1,3,20,9,16,1,0,0,178,33,6,217,0,217,0,380,163,178,217,217,,1,f605a27e7deb14303fdfced78d944bd862f4394ed59be30443c1f001839c41fe,26/06/2023 01:33:38,ESCANER
8245,"Escuintla",5,"Nueva Concepción",13,963,380,31,55,18,38,17,1,0,2,10,14,16,2,0,0,204,33,5,242,0,242,0,380,138,204,242,242,,1,9b594a52b9d323e2e15d9b66af783ab7b56d753abff7321547cc21fa66c12c3b,26/06/2023 01:19:39,ESCANER
8246,"Escuintla",5,"Nueva Concepción",13,963,380,31,63,14,24,15,1,1,0,15,9,10,0,0,0,183,27,1,211,0,211,0,380,169,183,211,211,,1,0fb3ed0eaca0231ec5d59dbbc51eb1d01b477058509a32094966be799f3949bc,26/06/2023 01:27:55,ESCANER
8247,"Escuintla",5,"Nueva Concepción",13,963,380,30,51,27,35,10,0,0,3,11,17,16,0,0,1,201,26,1,228,0,228,0,380,152,201,228,228,,1,1d25ed505b36b526ca3ae9e3965c6754d8f463ed7c4dec0b9ad74461a4b299d9,26/06/2023 02:03:31,ESCANER
8248,"Escuintla",5,"Nueva Concepción",13,963,197,15,23,11,13,6,1,0,0,4,8,10,0,0,0,91,19,0,110,0,110,0,197,87,91,110,110,,1,c70be83dedc39c3c562772d668e7a63e54f2ac81807ad95d53690e465530b9dd,25/06/2023 22:51:28,ESCANER
8249,"Escuintla",5,"Nueva Concepción",13,963,196,18,30,6,15,5,0,0,0,5,11,4,0,0,0,94,9,1,104,0,104,0,196,92,94,104,104,,1,ee7c05949255b91266a8bf26a729908c84e626d31abf8a777d2d0123d8877c87,26/06/2023 00:37:56,ESCANER
8250,"Escuintla",5,"Nueva Concepción",13,964,380,54,32,16,54,23,2,0,0,2,6,6,0,0,0,195,55,5,255,0,255,0,401,146,195,255,255,,1,797480f0996ee9c3353edc71da242329ea23ef9e7584f27feb1cb62aa9da59a7,26/06/2023 00:42:41,ESCANER
8251,"Escuintla",5,"Nueva Concepción",13,964,380,31,39,18,46,10,3,0,1,2,8,10,0,0,0,168,44,3,215,0,215,0,378,163,168,215,215,,1,f4909785a1c05b0a2a995cf5a9aa5d9246742ec2cd521d1cd29478c882ca218c,26/06/2023 00:59:49,ESCANER
8252,"Escuintla",5,"Nueva Concepción",13,964,380,37,31,14,30,16,3,0,1,3,7,4,0,0,1,147,64,1,212,0,212,0,380,168,147,212,212,,1,7e306fc25286bb0160f5783a6d50fc5018b76c194ff0b85cb1cc30be70802d70,26/06/2023 00:37:59,ESCANER
8253,"Escuintla",5,"Nueva Concepción",13,964,380,32,33,15,32,14,0,0,2,0,8,7,0,2,0,146,71,8,224,0,224,0,380,156,145,224,224,Sumas Asentadas sin cuadrar,1,d22a22f7ea9f488404b4feedba553ab6743ba7c5cdf35085292e4cb38b7d6f38,25/06/2023 23:05:30,ESCANER
8254,"Escuintla",5,"Nueva Concepción",13,964,380,33,47,10,38,8,0,0,0,1,7,8,0,0,0,152,51,2,205,0,205,0,380,175,152,205,205,,1,c5a0ad872765a02d95d517c7770733c9697d90c344f9ea2bcfb719bdfbe362a7,26/06/2023 00:57:28,ESCANER
8255,"Escuintla",5,"Nueva Concepción",13,964,213,26,28,15,18,6,0,0,2,0,4,5,1,0,0,105,21,1,127,2,129,0,210,81,105,127,129,,1,5bdcadf8f8d82e1adbdae79a78744260ccb07e62e0c16ef93484033085ac9db9,26/06/2023 00:24:13,ESCANER
8256,"Escuintla",5,"Nueva Concepción",13,964,213,20,11,7,17,10,1,0,1,1,1,4,0,0,0,73,24,0,97,0,97,0,213,116,73,97,97,,1,0f61cb80beb50d57e72bc9452de420c48ab5b3cf96569e5d164de79a42002bc5,26/06/2023 00:52:01,ESCANER
8257,"Escuintla",5,"Nueva Concepción",13,965,380,13,28,37,79,14,2,3,3,2,9,12,0,0,0,202,25,4,231,0,231,0,380,149,202,231,231,,1,8b716af868f32c5488d01aa052b986a05af549de229b804d2441a8553ef94b8d,25/06/2023 21:46:37,ESCANER
8258,"Escuintla",5,"Nueva Concepción",13,965,380,13,32,40,89,13,1,2,1,1,12,8,0,0,0,212,27,3,242,0,242,0,380,138,212,242,242,,1,4d7b73b27f329e5697ced5746c95df96355250489827db4226aee2b0d9a4fbe1,25/06/2023 23:15:03,ESCANER
8259,"Escuintla",5,"Nueva Concepción",13,965,380,19,30,35,84,12,0,1,1,2,6,12,1,0,0,203,22,2,227,0,227,0,380,153,203,227,227,,1,56b207b1021213f4337fef2b15592ab7254d8c19615b1afdd5c9187b494cc850,25/06/2023 22:12:31,ESCANER
8260,"Escuintla",5,"Nueva Concepción",13,965,380,15,23,35,76,13,1,5,0,2,10,5,1,0,2,188,31,1,220,0,220,0,380,160,188,220,220,,1,2fd40d432650f2edf4f8f6f9d095f5288a2b218e57d5f85f460ec1433ec9efc9,25/06/2023 22:55:23,ESCANER
8261,"Escuintla",5,"Nueva Concepción",13,965,380,14,24,26,82,16,0,0,2,1,6,8,0,0,0,179,29,7,215,0,215,--,380,165,179,215,215,Algún campo sin dato,1,8616d45eb474353225fc048904db6bd3fa72c62d2da5de0a4d2db5f890a61706,25/06/2023 22:37:37,ESCANER
8262,"Escuintla",5,"Nueva Concepción",13,965,380,12,26,21,77,17,1,0,2,4,6,12,0,1,0,179,31,6,216,0,216,0,380,164,179,216,216,,1,ef2576986b8336122355e2fa88a28d6c067650f121f88ea4a2809c77d88146c6,25/06/2023 23:00:56,ESCANER
8263,"Escuintla",5,"Nueva Concepción",13,965,255,14,17,26,51,6,0,0,0,1,3,9,1,1,0,129,10,1,140,0,140,0,255,115,129,140,140,,1,2a4830511b3f663e18f98b8402208e16166ab08587b2d3bca7f6960e1dfb1ea8,25/06/2023 22:37:30,ESCANER
8264,"Escuintla",5,"Nueva Concepción",13,965,255,10,20,12,40,8,0,1,1,1,4,5,0,0,0,102,20,2,124,0,124,0,255,131,102,124,124,,1,077133bdb8eb4ddb6ca2b2fb85447be01a301d3469e53da6829350fad6c60889,25/06/2023 21:40:03,ESCANER
8265,"Escuintla",5,"Nueva Concepción",13,966,380,28,8,25,94,14,0,0,0,1,11,11,3,0,0,195,15,5,215,0,215,0,380,165,195,215,215,,1,0acded34a29a19db441990c752eadac9866d9a28fdfc18a53205120e47b3decb,25/06/2023 22:47:53,ESCANER
8266,"Escuintla",5,"Nueva Concepción",13,966,380,19,18,20,102,19,1,1,0,0,7,9,2,1,0,199,32,3,234,0,234,0,380,146,199,234,234,,1,63fe534e0c74dc38421e7e10b580f3bb8993088c4da83c86a321465affdb066c,25/06/2023 21:43:34,ESCANER
8267,"Escuintla",5,"Nueva Concepción",13,966,380,33,16,15,101,13,1,0,2,1,9,8,1,1,2,203,14,4,221,0,221,0,380,159,203,221,221,,1,763205345a86d2740ef25f2f163483d6a6415cacb32b631212ad9ed6f0f11ba4,25/06/2023 23:16:41,ESCANER
8268,"Escuintla",5,"Nueva Concepción",13,966,380,21,15,20,113,7,1,1,0,2,7,5,2,0,0,194,11,4,209,0,209,0,380,171,194,209,209,,1,7b46c8ec21531bd62b732086b30b3099910fcc2be692dad69789f34a4666a664,25/06/2023 23:30:14,ESCANER
