TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
122,122,100.0000,122,100.0000,0,46334,29441,63.5408

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,BIEN,UNE,SEMILLA,PPG,PR,AZUL,CREO,VALOR,VICTORIA,FCN-NACION,UR,CAMBIO,P A N,PODEMOS,MLP,UNIONISTA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2207,"Guatemala",1,"San José Pinula",3,175,209,26,3,1,8,13,4,2,15,4,6,0,0,2,0,0,0,0,3,2,89,3,0,92,0,92,--,209,117,89,92,92,Algún campo sin dato,1,0a30e81d5ce57dea645368497aaf245987f440a5a85df68ed08cc0840da0cc63,26/06/2023 01:10:58,ESCANER
2208,"Guatemala",1,"San José Pinula",3,176,400,78,6,6,43,8,3,4,32,6,53,2,1,2,2,0,1,1,4,10,262,9,5,276,0,276,--,400,123,262,276,276,Algún campo sin dato,1,b574a90b55da16a7221ff571d4b9f7f5170e982ab680802689304a869b89831c,26/06/2023 01:17:15,ESCANER
2209,"Guatemala",1,"San José Pinula",3,176,400,77,3,5,45,10,3,4,26,13,46,1,1,3,0,0,0,1,4,13,255,11,0,266,3,269,--,400,132,255,266,269,Algún campo sin dato,1,85de7dcf1a0e6a6abf09ed5785d9c21e499e39781135615acfccb734275eee1c,26/06/2023 02:58:39,ESCANER
2210,"Guatemala",1,"San José Pinula",3,176,400,78,5,7,41,6,5,3,29,6,55,2,0,2,0,0,0,3,2,11,255,22,2,279,0,279,--,400,121,255,279,279,Algún campo sin dato,1,14dda9cec34cc5b663509b46f5d26089b72e449c7fa9a6e4689de45511cc8a18,26/06/2023 00:08:35,ESCANER
2211,"Guatemala",1,"San José Pinula",3,176,400,76,5,6,60,7,4,6,25,7,36,2,3,1,0,0,1,4,5,6,254,9,4,267,0,267,--,400,133,254,267,267,Algún campo sin dato,1,6061f7ccfd7bb0387cbb0f03c7e61996926454223d5a71d0cd87b1548ac91d97,26/06/2023 00:56:24,ESCANER
2212,"Guatemala",1,"San José Pinula",3,176,400,71,7,6,38,6,4,3,39,7,51,1,1,4,0,1,0,5,1,13,258,14,2,274,0,274,--,400,126,258,274,274,Algún campo sin dato,1,df75bf9d025b57f0498d1e123b64fd62e82de123d4dcff600793b03e97a65d60,26/06/2023 01:03:26,ESCANER
2213,"Guatemala",1,"San José Pinula",3,176,400,91,10,7,58,10,1,2,31,6,35,1,0,7,0,0,0,2,2,14,277,11,1,289,0,289,--,400,111,277,289,289,Algún campo sin dato,1,5dcd7717132c96f1a7b7e1a4f899e7ae52c8507e8ecf43a9e5e7bcf3e62a7dc3,26/06/2023 01:10:08,ESCANER
2214,"Guatemala",1,"San José Pinula",3,177,400,58,7,6,42,13,2,5,31,8,47,3,0,7,0,0,2,5,4,8,248,14,3,265,0,265,--,397,132,248,265,265,Algún campo sin dato,1,9c19f78b411c161830cd078c8621d33e06ed894bdb76c5eb39f48345c9e9a46d,26/06/2023 01:51:39,ESCANER
2215,"Guatemala",1,"San José Pinula",3,177,400,97,12,9,42,11,2,4,28,14,49,2,1,3,0,2,1,2,4,6,289,11,3,303,0,303,--,400,97,289,303,303,Algún campo sin dato,1,520ea6aed46d66cd1d3647f69678339299ae5ced76fb695275b27489024dd15c,26/06/2023 03:14:42,ESCANER
2216,"Guatemala",1,"San José Pinula",3,177,400,86,4,8,45,8,1,5,32,11,44,2,1,6,3,0,0,0,3,6,265,16,1,282,0,282,--,400,118,265,282,282,Algún campo sin dato,1,f993b873a669ff95e0e8a9bc13ca05dfc86055f22a2ff010761344aab9a25a4d,26/06/2023 00:35:17,ESCANER
