TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
185,185,100.0000,184,99.4594,1,70079,38880,55.4802

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VAMOS,TODOS,UR,U R N G - MAIZ,UNE,ELEFANTE,VALOR,VICTORIA,VIVA,AZUL,PHG,PODEMOS,PODER,CABAL,UNIONISTA,CAMBIO,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14853,"Huehuetenango",13,"Huehuetenango",1,2124,254,26,43,31,3,6,11,0,3,0,0,10,3,4,3,2,0,1,0,0,2,148,9,0,157,0,157,--,--,--,148,157,157,Algún campo sin dato,1,63fd17d2b9f135f2961ed63c28eeda80707af009d5adaa0d3d4e5d55ba6a0858,25/06/2023 22:02:01,ESCANER
14854,"Huehuetenango",13,"Huehuetenango",1,2124,254,27,33,16,1,7,8,0,3,1,3,1,2,3,0,1,0,2,0,0,3,111,5,0,116,2,113,--,254,136,111,116,118,Sumas Asentadas sin cuadrar,1,a2650eced8c83fc5731d2c6eeaf0e8d57e7f0fa8cb056ca6801900f278698d38,25/06/2023 21:44:55,ESCANER
14855,"Huehuetenango",13,"Huehuetenango",1,2125,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta en Blanco,0,7eb9b3bc0b574896d85d6d1276d1870809b96b08c68c69cd4053433f340268c4,26/06/2023 00:42:58,ESCANER
14856,"Huehuetenango",13,"Huehuetenango",1,2125,400,36,79,32,11,7,19,4,6,9,5,5,11,3,1,4,5,0,0,0,0,237,12,4,253,1,254,--,404,150,237,253,254,Algún campo sin dato,1,af9fc4faf3db2834eaf90da6b58fde53050cf40b584439ed517b5f56aee8da41,26/06/2023 01:54:46,ESCANER
14857,"Huehuetenango",13,"Huehuetenango",1,2126,400,54,72,33,4,7,16,2,3,3,1,1,8,5,2,3,4,0,0,2,1,221,18,1,240,0,240,--,400,160,221,240,240,Algún campo sin dato,1,fba47eefad056f44c93490ed6819122b35370bf009daac9d7ea5ffb853e64bb6,25/06/2023 23:32:55,ESCANER
14858,"Huehuetenango",13,"Huehuetenango",1,2126,400,51,67,36,8,4,19,3,4,12,4,5,8,2,5,1,2,0,0,3,1,235,11,2,248,0,248,--,400,152,235,248,248,Algún campo sin dato,1,7c20d38770d4ab4f9056b7db491c7fe1c0f5a119fd80be516b63c1651c3c9058,26/06/2023 01:44:43,ESCANER
14859,"Huehuetenango",13,"Huehuetenango",1,2126,400,39,65,31,2,4,19,2,4,10,1,5,2,3,1,0,4,2,0,0,0,194,17,2,213,0,213,--,400,187,194,213,213,Algún campo sin dato,1,44e4832974b3ae6080c036944f9e3c213cd893871b2ed69d8ad4b334130d24aa,26/06/2023 02:09:22,ESCANER
14860,"Huehuetenango",13,"Huehuetenango",1,2126,400,37,63,47,3,6,17,1,5,4,5,0,9,5,1,3,3,2,3,2,2,218,17,1,236,0,236,--,400,164,218,236,236,Algún campo sin dato,1,149aa04e79933592bc30708915f2250969d702cb2161b76eda796c41df25ed72,26/06/2023 02:43:02,ESCANER
14861,"Huehuetenango",13,"Huehuetenango",1,2127,400,41,65,48,3,9,15,2,2,8,3,5,10,5,2,1,2,0,0,1,0,222,15,3,240,0,240,--,400,160,222,240,240,Algún campo sin dato,1,da56c2c0ba420ae4f3b60b6449442239a51fc21d7d7ae1b78a4a1ee156557cbc,26/06/2023 00:26:30,ESCANER
14862,"Huehuetenango",13,"Huehuetenango",1,2127,400,39,46,42,4,3,23,0,5,8,5,6,13,5,0,1,5,1,1,1,1,209,19,2,230,0,230,--,400,170,209,230,230,Algún campo sin dato,1,ab4661d453366144c1cd2f6b88c867a921012eccc76f42c242665c4942556064,26/06/2023 00:15:27,ESCANER
