TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,16697,10060,60.2503

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,CAMBIO,VIVA,UNE,VAMOS,CABAL,WINAQ,VOS,PODEMOS,PR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7884,"Escuintla",5,"Guanagazapa",8,895,400,25,7,10,20,70,64,30,2,0,2,1,0,225,8,4,237,0,237,0,400,163,231,243,243,Sumas Asentadas sin cuadrar,1,5991985e8e963c9176272814ecf792186b703b8e548fcaf27faa6ecb9f989a03,26/06/2023 02:23:29,ESCANER
7885,"Escuintla",5,"Guanagazapa",8,895,400,11,4,11,26,66,79,22,2,0,2,0,2,225,13,2,240,0,240,3,400,157,225,240,240,,1,04fa0e26ceafdfec78610ce91d3cf6a29c73b796405d8a0844d5c0beb40d5299,26/06/2023 02:52:44,ESCANER
7886,"Escuintla",5,"Guanagazapa",8,895,400,9,9,6,24,68,55,18,3,1,12,1,0,206,17,9,232,--,232,--,400,--,206,232,232,Algún campo sin dato,1,7f168a909bc993a8ff7b58b0b6e71ed5065613187e9b2b782186f346a148734f,26/06/2023 02:51:54,ESCANER
7887,"Escuintla",5,"Guanagazapa",8,895,400,7,15,7,22,66,80,25,1,1,7,0,3,234,23,6,263,0,263,3,400,134,234,263,263,,1,e4b63bf0584f42f41b1b8e482e1991cfecf79da9066fc3220c0bfeac108cdc05,26/06/2023 01:48:04,ESCANER
7888,"Escuintla",5,"Guanagazapa",8,896,400,11,10,5,11,65,83,17,4,0,2,0,0,208,17,2,227,0,227,1,400,173,208,227,227,,1,dfbe2f6144fe3ed61d8b119ed00f91d5b87b730d8c7c06424d8220611876d385,26/06/2023 01:03:40,ESCANER
7889,"Escuintla",5,"Guanagazapa",8,897,400,5,13,3,20,59,64,19,3,0,9,0,2,197,15,5,217,0,217,--,400,183,197,217,217,Algún campo sin dato,1,b02340839aa7a0f267cc27233b4556a2bb2c9226cee79b2638947ddbb6ea530e,26/06/2023 00:42:17,ESCANER
7890,"Escuintla",5,"Guanagazapa",8,897,400,17,11,8,16,58,73,19,3,0,5,1,0,211,9,1,221,0,221,1,400,178,211,221,221,,1,43f38cc5f8f7840529baf5d07c77858b37718c571e2118e6e33af0cde7ddbb84,26/06/2023 00:27:32,ESCANER
7891,"Escuintla",5,"Guanagazapa",8,897,400,17,9,5,19,52,66,26,5,0,8,1,2,210,5,2,217,0,217,--,400,183,210,217,217,Algún campo sin dato,1,22ab79f41ba4b994d2758ea9a2eee1c7323182f64c32e0931f6ee65c4251888e,26/06/2023 00:57:30,ESCANER
7892,"Escuintla",5,"Guanagazapa",8,898,400,7,8,3,24,83,85,21,3,0,4,1,1,240,4,2,246,0,246,5,400,149,240,246,246,,1,28fe69df2638fdd37b58137487fc52bc4cb2c296e72b1b137f356ae9892c04b7,26/06/2023 01:40:33,ESCANER
7893,"Escuintla",5,"Guanagazapa",8,898,400,19,10,15,20,42,106,46,0,0,11,0,0,269,5,1,275,0,275,1,400,124,269,275,275,,1,fa4d08e315381218f6fd1f36b54a556e163fd448be277a2add9045fa5f175e01,26/06/2023 01:02:56,ESCANER
7894,"Escuintla",5,"Guanagazapa",8,898,400,19,12,8,25,60,93,33,2,0,6,0,0,258,4,2,264,0,264,0,400,136,258,264,264,,1,d30d6f1cc9b4dfb933846b3a3457447cadc3ec0fad24c71c1b0e5fd7eeab12a5,26/06/2023 02:16:02,ESCANER
7895,"Escuintla",5,"Guanagazapa",8,898,381,9,6,2,33,58,82,37,2,1,3,3,2,238,3,1,242,0,242,--,--,--,238,242,242,Algún campo sin dato,1,3c6799f54a1a4a579eec0b764a37114766dcb80629fd0b98124fbea6d2efc60c,26/06/2023 00:22:37,ESCANER
7896,"Escuintla",5,"Guanagazapa",8,898,381,6,7,6,21,65,69,30,1,1,3,1,0,210,3,2,215,0,215,0,381,166,210,215,215,,1,6704422d25d594c9caf05d6857662750b1f26605670210c64d2305ffe15305ef,25/06/2023 23:35:24,ESCANER
7897,"Escuintla",5,"Guanagazapa",8,899,380,3,29,4,30,51,75,13,0,0,8,1,5,219,28,5,252,0,252,--,330,128,219,252,252,Algún campo sin dato,1,899d6f464a97701c15ba3e87bf2c367b19f91bd6c79719b877ef1ef676786fb9,26/06/2023 03:22:14,ESCANER
7898,"Escuintla",5,"Guanagazapa",8,899,380,4,24,12,24,45,76,15,3,2,7,0,1,213,23,2,238,0,238,0,380,142,213,238,238,,1,618d89e914fd50e202f9c2d30431f73f166c6de85c706dad2a86a996000bb1a7,26/06/2023 00:13:37,ESCANER
