TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,16633,10682,64.2217

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,UNE,AZUL,PHG,VIVA,FCN-NACION,VAMOS,PODEMOS,VICTORIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8961,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1087,400,71,1,31,7,0,1,7,58,0,3,51,230,19,1,250,0,250,0,400,150,230,250,250,,1,955de40c42042eacaac0ff9abeda78ce6608e163a25b08d1d92dc78d5b082a53,26/06/2023 02:28:13,ESCANER
8962,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1087,297,61,1,31,12,1,0,8,27,0,0,54,195,5,0,200,0,200,--,301,101,195,200,200,Algún campo sin dato,1,e0aa8796b8823a5d0c384601038eb2eb50dcd10fdabfaf937b075e775e0af5fd,26/06/2023 02:10:20,ESCANER
8963,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1087,296,69,2,16,14,1,0,8,32,0,2,28,172,7,2,181,0,181,--,300,119,172,181,181,Algún campo sin dato,1,f9da36d37d7b6c3009b4172e17058fb25d6754cacfb35ace27e675b61fb8e1f2,26/06/2023 00:12:17,ESCANER
8964,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1088,380,56,8,28,17,1,4,6,40,0,0,14,174,33,8,215,0,215,--,380,165,174,215,215,Algún campo sin dato,1,6fcbd55c003214d2a02239f57f264707e8ce50124f3b42aed62613c00a1aeafc,25/06/2023 22:07:19,ESCANER
8965,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1088,380,66,11,43,13,1,1,9,55,0,0,17,216,20,7,243,0,243,0,384,141,216,243,243,,1,ce6628e68b6fd41555a59754474ee8fa8341f352b8c256918d29cfe35f99facb,25/06/2023 22:01:10,ESCANER
8966,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1088,353,47,4,20,12,0,0,2,35,0,0,17,137,28,3,168,0,168,--,356,188,137,168,168,Algún campo sin dato,1,e0211e0abc70d2b13b3c6d288c0cfe238fa2490446bdbb13c175b9af11549251,26/06/2023 00:05:16,ESCANER
8967,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1088,352,49,15,22,13,1,0,2,32,0,0,1,135,16,2,161,1,180,--,355,175,135,153,154,Sumas Asentadas sin cuadrar,1,d831fadae7319001cb1531f3a7786a88bf6564ea93bd8cfb3c1d23a1e62fc34f,26/06/2023 03:31:45,ESCANER
8968,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1089,380,71,1,20,19,0,4,1,69,0,0,49,234,18,12,264,0,264,--,--,--,234,264,264,Algún campo sin dato,1,ea1b3c51a62a33a07160ab517617d9c57a9466450505cb576b0ed7bbdf3400e7,26/06/2023 02:32:44,ESCANER
8969,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1089,380,80,--,31,13,--,4,1,63,1,--,78,271,21,9,301,--,301,--,380,79,271,301,301,Algún campo sin dato,1,e65f9c62341c516eb69d901bc4549a63b8061d6f89c4989f0b0b880597e9f863,25/06/2023 23:13:38,ESCANER
8970,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1089,380,79,1,29,20,0,3,0,56,0,0,49,237,32,6,275,0,275,--,387,109,237,275,275,Algún campo sin dato,1,4497f67a250978251c4cb4db4c6a22c7e35c15cce958d1789c2582075cf0ab0f,26/06/2023 02:36:13,ESCANER
