TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20102,14730,73.2762

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,CABAL,AZUL,VAMOS,UNE,CAMBIO,VALOR,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24147,"Jutiapa",22,"Comapa",11,3786,234,0,49,2,66,7,1,13,0,138,4,3,145,1,146,1,234,88,138,145,146,,1,677b9fc1f3c6842d3b724871aba2af2ea216124ab468e49b094170be3015c87e,25/06/2023 22:56:54,ESCANER
24148,"Jutiapa",22,"Comapa",11,3786,234,0,59,0,76,9,1,15,0,160,6,0,166,0,166,--,234,68,160,166,166,Algún campo sin dato,1,4dbe578c7d8736d433ee8ee94f9a9fc73c6fb280ec30f81f8f529a653bbd3bb8,25/06/2023 23:28:12,ESCANER
24149,"Jutiapa",22,"Comapa",11,3787,380,2,18,2,197,7,1,0,0,227,47,7,281,0,281,--,377,96,227,281,281,Algún campo sin dato,1,d32753337cf8eeda8448a4346646d32c85408e5b5fbe78294cef53b90dc08354,26/06/2023 00:59:14,ESCANER
24150,"Jutiapa",22,"Comapa",11,3787,368,0,22,3,202,4,0,4,0,235,15,9,259,0,259,--,368,109,235,259,259,Algún campo sin dato,1,921c371db3453486d84c257a81856473ef7456124558181f04a506fe9ae24a08,25/06/2023 22:55:32,ESCANER
24151,"Jutiapa",22,"Comapa",11,3787,368,0,26,1,176,4,1,7,1,216,8,1,225,0,225,--,368,143,216,225,225,Algún campo sin dato,1,fae00e23f2a0cacc33e663be7def8524f6438e99072f1cca7ec1708ee1f49b44,25/06/2023 22:39:44,ESCANER
24152,"Jutiapa",22,"Comapa",11,3788,380,1,79,4,153,12,2,17,0,268,22,10,300,0,300,--,375,75,268,300,300,Algún campo sin dato,1,3267c3011ba2caf60b74fbcb210b306b8b660c7fdad08491152004fc36d10233,26/06/2023 06:50:54,ESCANER
24153,"Jutiapa",22,"Comapa",11,3788,380,1,86,3,153,17,3,24,2,289,23,8,320,0,320,--,373,50,289,320,320,Algún campo sin dato,1,6bb7b4914cc562ff5e2d9e47e0b392ff3b67d8a8af7c6af9e1a1c8d4ab51f244,26/06/2023 06:53:01,ESCANER
24154,"Jutiapa",22,"Comapa",11,3788,380,0,69,4,183,6,1,18,2,283,15,7,305,0,305,--,380,75,283,305,305,Algún campo sin dato,1,12d99d4091457fc031fced8050bc0cf04a064ecec89325dc2a15fef819288b75,26/06/2023 02:47:49,ESCANER
24155,"Jutiapa",22,"Comapa",11,3788,380,0,62,4,172,5,2,21,2,268,12,3,283,0,283,--,380,97,268,283,283,Algún campo sin dato,1,48eca9accd458d20f28e0c2bf25a0a3f6ef9dce90e2d8b082fc0f348b4c19c68,26/06/2023 00:31:24,ESCANER
24156,"Jutiapa",22,"Comapa",11,3788,194,0,38,0,87,6,2,9,0,142,2,0,144,0,144,--,195,51,142,144,144,Algún campo sin dato,1,e4292c06420f344a1e004301daea11ec2dfcae62a87854a5dc3cd32add0adf18,25/06/2023 21:55:24,ESCANER
24157,"Jutiapa",22,"Comapa",11,3788,193,0,42,2,88,6,0,11,0,149,3,2,154,0,154,--,193,39,149,154,154,Algún campo sin dato,1,ffb696027aaa2675f8e1b083a43952bfaa2ab2832de5dbf30e526c71b2ba3762,25/06/2023 23:13:18,ESCANER
24158,"Jutiapa",22,"Comapa",11,3789,431,1,16,1,27,7,1,8,0,61,1,1,63,0,63,--,431,368,61,63,63,Algún campo sin dato,1,b2b35c780f847f234fe81875440ce36d39d96faaa30e944d21831761cdbfaa64,25/06/2023 21:38:27,ESCANER
