TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,16938,11514,67.9773

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,WINAQ,CABAL,MLP,UNE,CCMT,CREO,VICTORIA,TODOS,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11073,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1481,365,135,64,3,2,2,1,14,0,0,0,3,11,235,2,0,237,0,237,--,365,128,235,237,237,Algún campo sin dato,1,f08488906421f340a89c59341298726586aa9d5394ca47eed0f2627bef96104f,25/06/2023 23:48:44,ESCANER
11074,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1481,365,72,74,1,2,11,1,36,0,0,0,3,20,220,3,2,225,0,225,--,365,140,220,225,225,Algún campo sin dato,1,1a767bc54b4863e627ed22aff1b368287a3fe4114e27de1e0080a748c26156b8,25/06/2023 22:46:56,ESCANER
11075,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,89,101,31,2,11,10,28,1,0,0,1,15,289,8,12,309,0,309,--,380,71,289,309,309,Algún campo sin dato,1,c5caa28d897b6d1295ac46208ddfcdaca4fbe07f436fe06d36bac21b43cbb603,26/06/2023 00:43:49,ESCANER
11076,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,110,119,12,0,15,6,17,0,1,0,2,13,295,6,14,315,0,315,--,380,65,295,315,315,Algún campo sin dato,1,c8c2fb328df53965035d79f9b52d937afb898580a676c1448fbc8fa484c815f8,25/06/2023 23:16:46,ESCANER
11077,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,80,112,0,1,12,7,58,2,0,1,1,16,290,8,11,309,0,309,--,380,71,290,309,309,Algún campo sin dato,1,74e8068f070e6402e26faad74ad359896d8a26c5841891a48bb6b1a2467824fc,25/06/2023 23:49:48,ESCANER
11078,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,132,106,2,1,7,3,24,1,1,0,2,15,294,12,7,313,0,313,--,380,67,294,313,313,Algún campo sin dato,1,9b7e8a3919efe25ecba092cb1030529fbfff7b67423186d828cfe40b53c811f0,26/06/2023 01:31:44,ESCANER
11079,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,87,137,0,1,9,1,29,3,0,1,1,11,280,9,11,300,0,300,--,379,79,280,300,300,Algún campo sin dato,1,ef7cb38412af2e82b1f0c30cf41be2f6a9e58828ea853e40ae60e81cd550307e,26/06/2023 01:30:23,ESCANER
11080,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,90,88,11,0,8,7,29,0,0,1,1,22,257,1,7,265,0,265,--,380,115,257,265,265,Algún campo sin dato,1,f530426e1a88504b72b84f9c5ded5febfe383ffd8740d0d0b457b9433f339191,25/06/2023 22:58:57,ESCANER
11081,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,88,106,7,0,11,6,26,0,0,0,3,13,260,3,3,266,0,266,--,380,114,260,266,266,Algún campo sin dato,1,40835a7917cc57c352c10f11bf245bb3b5f902632fbd6523ed8ecead34d12747,26/06/2023 01:25:46,ESCANER
11082,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,77,110,8,0,5,2,27,0,0,2,1,26,258,2,1,261,0,261,--,379,118,258,261,261,Algún campo sin dato,1,e384097ff529bafcbf7f40e0e98a1d3378f631efb9b3e6452b1dde4fcd7c2651,25/06/2023 23:37:42,ESCANER
