TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,36670,25945,70.7526

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CABAL,AZUL,WINAQ,VICTORIA,SEMILLA,MLP,VIVA,PR,CAMBIO,PODEMOS,VAMOS,TODOS,VOS,BIEN,U R N G - MAIZ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8089,"Escuintla",5,"Palín",11,933,400,69,83,4,2,3,14,47,0,2,8,0,0,54,0,2,0,4,292,10,0,302,0,302,0,400,98,292,302,302,,1,c6a965c4ea0f52db93aaca636b23e781a33e1a3a948b4144907a6f96f20ed94f,26/06/2023 12:18:55,ESCANER
8090,"Escuintla",5,"Palín",11,933,400,70,91,8,5,3,22,55,3,2,4,0,0,46,0,1,0,0,313,8,2,323,1,324,0,400,77,310,320,321,Sumas Asentadas sin cuadrar,1,4aed4746f9b02feeb901a10cb0a6c7aa6a49514b06624bbeedf3f044c36d2278,26/06/2023 12:14:48,ESCANER
8091,"Escuintla",5,"Palín",11,933,400,48,96,10,3,2,14,67,0,4,2,0,0,38,2,1,0,2,289,13,4,306,0,306,0,400,--,289,306,306,Algún campo sin dato,1,21073e4b21f027c26a507d3c8f2f2c5bfdf2fd571cbcf609b728699e72c1c515,26/06/2023 12:11:41,ESCANER
8092,"Escuintla",5,"Palín",11,933,400,75,85,5,6,3,11,48,1,2,5,0,2,42,1,0,0,1,287,10,4,301,0,301,0,400,99,287,301,301,,1,0f30182d07d33806dfc999a5e20b1108198e7e0b2f8d1b8b2ad8231d15e4413d,26/06/2023 12:18:38,ESCANER
8093,"Escuintla",5,"Palín",11,933,400,89,88,6,2,2,18,51,0,3,9,0,0,49,0,0,0,3,320,8,4,332,0,332,0,396,64,320,332,332,,1,61effe2a07ab5cbc00219f4fdf86f0c809a1982a3988fab89d41bae562bf1cb8,26/06/2023 12:21:36,ESCANER
8094,"Escuintla",5,"Palín",11,934,400,67,66,3,1,9,3,59,0,2,6,0,0,61,0,2,0,3,282,9,9,300,0,300,0,400,100,282,300,300,,1,68c6e36efe85e898815ee60ba6af3bb0829996ffc11a7088fd47c385592934d3,26/06/2023 01:49:07,ESCANER
8095,"Escuintla",5,"Palín",11,934,400,70,83,6,5,6,14,52,0,0,8,1,1,49,1,0,0,2,298,8,0,306,0,306,0,400,94,298,306,306,,1,da054ac6d1cf1550aa08c12d1ad6ea96c6e90e989097fc4d5be166c417f3a3d0,25/06/2023 23:18:40,ESCANER
8096,"Escuintla",5,"Palín",11,934,400,64,78,4,2,3,17,65,0,3,7,1,0,46,0,1,1,5,297,10,1,308,1,309,--,400,91,297,308,309,Algún campo sin dato,1,ed20bfb9e89804c48df67c3bb2bb9b13911b1a281ea0359eb527296b7911d54d,26/06/2023 00:43:07,ESCANER
8097,"Escuintla",5,"Palín",11,934,400,63,86,2,2,3,14,44,2,3,7,1,1,42,0,0,0,4,274,9,8,291,0,291,1,400,108,274,291,291,,1,184e938b444bd3f417ac4878166d20adc3ca5e7f31cbb4d88ca82507fd954266,26/06/2023 01:04:01,ESCANER
8098,"Escuintla",5,"Palín",11,934,400,74,66,4,1,0,16,64,2,6,3,1,1,54,1,2,1,2,298,6,5,309,0,309,0,397,88,298,309,309,,1,dbc0ce64689658168f6f82e67639fadf0fefed8109773a820723cae0ea8f80b3,26/06/2023 00:54:55,ESCANER
