TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,17896,12146,67.8699

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,CABAL,CCC,EL CANTARO,VALOR,VAMOS,BIEN,CCM,VOS,UNE,VIVA,AZUL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23363,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,4,15,120,106,2,24,1,26,0,1,0,0,299,7,1,307,--,307,--,399,90,299,307,307,Algún campo sin dato,1,16889223c6a7f45ac94c46ca47f5d575ea3b91ec6925828450829f5ec57f0d29,26/06/2023 01:37:56,ESCANER
23364,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,5,27,112,85,6,23,3,37,2,2,0,0,302,8,3,313,0,313,--,400,87,302,313,313,Algún campo sin dato,1,9bb24c8d940a07e03a889d57d1bca48bc3fc18d25762b6a7463068853a43e215,26/06/2023 01:57:21,ESCANER
23365,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,4,18,90,89,1,23,4,35,2,2,0,0,268,8,2,278,0,278,--,400,122,268,278,278,Algún campo sin dato,1,86a9065a9da7e034add48d578c5ff881c9b91d886af65efbf9d81e0841a71f05,25/06/2023 23:14:18,ESCANER
23366,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,0,26,104,91,1,21,1,34,4,5,0,0,287,3,0,290,0,290,--,400,110,287,290,290,Algún campo sin dato,1,8c565ceb14e7102b60f5ea0c68dfdf6838d79f35aa384aaa2e3b3fb15c035984,26/06/2023 00:04:49,ESCANER
23367,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,11,20,71,83,9,14,7,36,3,6,3,0,263,3,2,268,0,268,--,400,132,263,268,268,Algún campo sin dato,1,17fa99099856a0ac4ff6531d1675a3979c374089422d68de729860719889b1a3,25/06/2023 23:51:17,ESCANER
23368,"Jalapa",21,"San Luis Jilotepeque",3,3666,400,2,19,97,80,2,25,2,31,2,2,0,0,262,3,0,265,0,265,--,400,135,262,265,265,Algún campo sin dato,1,61653b6f3acc355b2d7807cd1379381fd0086a84f633d3f8ac0c3cfc96d43607,26/06/2023 05:51:31,ESCANER
23369,"Jalapa",21,"San Luis Jilotepeque",3,3667,400,4,22,120,93,3,16,1,39,2,4,0,0,304,1,0,305,0,305,--,400,95,304,305,305,Algún campo sin dato,1,8d3854a8e3be26bc80937bda6cffbcfa90134afa12fe8b6183b7db49b357a810,26/06/2023 01:41:17,ESCANER
23370,"Jalapa",21,"San Luis Jilotepeque",3,3667,358,3,17,112,96,1,7,5,24,0,4,0,0,269,1,1,271,0,271,--,358,87,269,271,271,Algún campo sin dato,1,908a04eba85c775a6aacd700de69ccfc9131ee3a014741add4b2363041033326,26/06/2023 03:02:57,ESCANER
23371,"Jalapa",21,"San Luis Jilotepeque",3,3667,358,1,19,80,66,4,8,2,22,1,1,0,0,204,6,2,212,0,212,--,358,146,204,212,212,Algún campo sin dato,1,309e1cb67680254021d8137bc39ab019ff7a9dc1fdb27bf94ff02137271abfc2,25/06/2023 23:45:19,ESCANER
23372,"Jalapa",21,"San Luis Jilotepeque",3,3668,400,2,23,54,69,5,28,3,96,0,20,0,0,300,12,5,317,0,317,--,396,79,300,317,317,Algún campo sin dato,1,8c7fbcd7fd933b2ead4f557bcb300d7dc13baf00a74e4aa99cc94b554e4ec3a3,26/06/2023 01:25:32,ESCANER
23373,"Jalapa",21,"San Luis Jilotepeque",3,3668,236,0,10,42,33,2,17,4,42,0,7,1,0,158,7,0,165,0,165,--,236,71,158,165,165,Algún campo sin dato,1,aefc12f6087eb2da517feff308b3e953985d0d8c2ba21fde780ecb87c69a7b42,25/06/2023 23:44:19,ESCANER
23374,"Jalapa",21,"San Luis Jilotepeque",3,3669,236,1,17,36,24,2,17,3,49,0,6,0,0,155,4,1,160,0,160,--,236,76,155,160,160,Algún campo sin dato,1,0483fedb6e0fb625a7df7a121ca6c2fc202d7b611ecac6f26bda9361f88577b0,26/06/2023 01:08:10,ESCANER
23375,"Jalapa",21,"San Luis Jilotepeque",3,3670,400,18,37,57,78,17,16,3,42,0,11,0,0,279,16,6,301,0,301,--,400,99,279,301,301,Algún campo sin dato,1,13ea2dcf4707ca3f153d5214e83326d6deb4e821ed46e4b1fb9657a5d8ac8a8a,26/06/2023 01:59:32,ESCANER
23376,"Jalapa",21,"San Luis Jilotepeque",3,3670,400,10,35,54,37,9,16,9,50,3,15,0,0,238,12,2,252,0,252,--,400,148,238,252,252,Algún campo sin dato,1,828867121b309dbf0d73a9c36449b0fec66b2bc226497363cd57168543174996,26/06/2023 02:08:27,ESCANER
23377,"Jalapa",21,"San Luis Jilotepeque",3,3670,297,11,19,50,39,10,19,1,29,0,3,2,0,183,8,1,192,0,192,--,297,105,183,192,192,Algún campo sin dato,1,f3e5cfc7f309458b6e216aadf2ec9e8716270fad84f281d7a5ffcbc3d4804309,25/06/2023 23:59:48,ESCANER
23378,"Jalapa",21,"San Luis Jilotepeque",3,3670,297,11,25,48,20,19,16,2,34,0,2,0,1,178,4,1,183,0,183,--,297,114,178,183,183,Algún campo sin dato,1,7c84981387c2987e5f06a7956f0871c11d404e282df85819a9108ff599c34caf,26/06/2023 02:13:53,ESCANER
23379,"Jalapa",21,"San Luis Jilotepeque",3,3671,283,2,24,48,28,5,17,4,39,3,8,2,--,180,12,6,198,0,198,--,283,85,180,198,198,Algún campo sin dato,1,9819663f4733d28a1116f31b9fbe0bc40bffda75cfd11c6bfb08fa8fc38f2152,25/06/2023 22:57:01,ESCANER
23380,"Jalapa",21,"San Luis Jilotepeque",3,3671,283,1,27,47,25,2,12,5,41,4,10,0,0,174,6,1,181,--,--,--,280,99,174,181,181,Algún campo sin dato,1,dc066b7e01a461843fb70088fb879b1edb5ebf6b986c888915832becebdbfe77,26/06/2023 01:28:44,ESCANER
23381,"Jalapa",21,"San Luis Jilotepeque",3,3672,380,57,9,30,32,9,8,2,56,3,4,1,1,212,31,3,246,0,246,--,400,154,212,246,246,Algún campo sin dato,1,a60cad4d8d100aa419740225369e4d06a7a571adb99bc3f301a3dc246d32f098,26/06/2023 01:14:55,ESCANER
23382,"Jalapa",21,"San Luis Jilotepeque",3,3672,380,50,15,22,44,15,22,2,53,0,9,0,0,232,17,8,257,0,257,--,380,123,232,257,257,Algún campo sin dato,1,37b4d7c6b737a92cc55d6d4d2d28d5b2a39640d1068c89f54632b1398b1066fb,26/06/2023 01:29:25,ESCANER
