TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
194,194,100.0000,193,99.4845,1,70903,34895,49.2151

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,MLP,UR,TODOS,CONSOL,PHG,VICTORIA,CAMBIO,AZUL,VAMOS,UNE,CCTPFDJ,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23591,"Jutiapa",22,"Jutiapa",1,3704,400,35,20,3,2,18,5,10,2,9,20,72,9,0,3,2,210,18,6,234,0,234,--,400,166,210,234,234,Algún campo sin dato,1,728e527153bb53a2412baa3aa2a86931342b786ff4641dd68d9fcd4e4f54e2f9,26/06/2023 01:06:09,ESCANER
23592,"Jutiapa",22,"Jutiapa",1,3704,400,36,14,0,6,12,4,13,1,4,16,100,8,0,2,4,220,11,1,232,0,232,--,400,168,220,232,232,Algún campo sin dato,1,edc70e4c61011f4cddcb2072616159295f53f9fc4a401b262a9b27d8a8147e3e,25/06/2023 23:50:22,ESCANER
23593,"Jutiapa",22,"Jutiapa",1,3705,400,34,25,2,4,11,0,9,3,7,13,68,17,0,2,5,200,7,0,207,0,207,--,400,190,200,207,207,Algún campo sin dato,1,3353a46f782a001b81d232549cd6a2a4da3974960f56d47e8e1a2ddc8152c4db,25/06/2023 23:40:47,ESCANER
23594,"Jutiapa",22,"Jutiapa",1,3705,400,62,22,4,1,10,2,14,0,6,21,89,16,1,1,6,255,10,1,266,131,397,--,397,131,255,266,397,Algún campo sin dato,1,a989a465bc415906d37f024d4f608a9d2e0011b0573660748ca709ae63491ffd,26/06/2023 01:18:30,ESCANER
23595,"Jutiapa",22,"Jutiapa",1,3705,327,39,15,1,2,11,6,8,0,6,14,89,10,0,3,3,207,5,0,212,0,212,--,324,112,207,212,212,Algún campo sin dato,1,54003a9798e35a718a3f200abe71f141ec65f1aea6a171532664f66f7ecaa750,26/06/2023 01:01:52,ESCANER
23596,"Jutiapa",22,"Jutiapa",1,3705,326,32,19,0,2,6,3,6,4,3,5,41,8,0,0,4,133,8,1,142,0,142,--,326,184,133,142,142,Algún campo sin dato,1,b28c2fd9b3a2071b9840817bad807402b4d20dc2fb8334017e900293dc2db610,26/06/2023 01:49:47,ESCANER
23597,"Jutiapa",22,"Jutiapa",1,3706,377,54,22,0,2,11,4,7,1,11,14,101,12,1,2,4,246,13,1,260,0,260,--,374,114,246,260,260,Algún campo sin dato,1,c4685ca1856dc88c129a0bb306c6c5d1c2b00671d46f8cc3232882af39052f5c,26/06/2023 03:05:37,ESCANER
23598,"Jutiapa",22,"Jutiapa",1,3706,377,23,8,5,1,27,0,2,5,13,41,44,14,0,2,17,202,40,6,248,0,248,--,248,111,202,248,248,Algún campo sin dato,1,a611d48ddebaebf870fa2ede4da31dc29518f97da303a79880a4abba5791a9a9,26/06/2023 02:12:31,ESCANER
23599,"Jutiapa",22,"Jutiapa",1,3707,400,54,25,1,0,13,1,22,5,9,10,70,6,3,4,1,224,20,4,248,0,248,--,--,--,224,248,248,Algún campo sin dato,1,fddd3720b6d989dfbca3302b02718f73c750cd93e85429e1213fe100f885c9a2,26/06/2023 00:27:55,ESCANER
23600,"Jutiapa",22,"Jutiapa",1,3707,400,57,20,0,1,13,1,20,9,7,21,71,12,1,2,2,237,17,1,255,0,255,--,400,145,237,255,255,Algún campo sin dato,1,34e9714fe50d8bf3b66e0cbaa0a1f26161c14ff9e85b95e5226ebf49bbc6a8bb,26/06/2023 01:12:40,ESCANER
