TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
109,109,100.0000,109,100.0000,0,41283,23685,57.3722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,PODEMOS,CABAL,MAS UNIDOS,BIEN,AZUL,MLP,VICTORIA,ELEFANTE,VIVA,VOS,UNE,CAMBIO,VALOR,PPN,URNG-MAIZ WINAQ,MI FAMILIA,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6106,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,26,8,47,21,24,15,3,--,32,3,5,2,1,16,6,2,10,3,1,225,11,2,238,0,238,--,400,162,225,238,238,Algún campo sin dato,1,47e40ddf97b35a4e89d8f501aaed30fda66415e180c49519835a66fe0f062948,26/06/2023 02:52:18,ESCANER
6107,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,35,5,53,10,18,18,0,0,19,1,5,1,1,11,8,1,12,1,0,199,9,0,208,0,208,--,400,192,199,208,208,Algún campo sin dato,1,7e73c8eb58dfcc26bcb3a3981587310d6b5d40b2f5b935846789a4de54c0cb14,26/06/2023 00:38:55,ESCANER
6108,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,39,11,43,12,19,16,0,0,18,0,1,3,1,13,9,1,9,3,3,201,9,0,210,0,210,--,400,190,201,210,210,Algún campo sin dato,1,9691633d240f840f3040fa7fefe60f72b3af6ea0ab46ad29573b00c9770deeeb,26/06/2023 01:47:52,ESCANER
6109,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,34,10,54,9,26,11,0,2,28,1,3,4,2,17,8,2,10,0,0,221,2,0,223,0,223,--,402,179,221,223,223,Algún campo sin dato,1,8d4e6baee434cca65f917332284514d664e485aeede3c01964733412ea3ab182,26/06/2023 01:33:16,ESCANER
6110,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,49,4,52,11,28,16,2,1,23,8,1,4,0,17,10,4,19,5,1,255,2,0,257,0,257,0,400,143,255,257,257,,1,2004f57d9a0c6b284163db6faff465965d24fc7839a66788659e28a768ecebd0,26/06/2023 01:12:27,ESCANER
6111,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,39,4,47,16,24,15,0,1,24,7,1,3,0,24,6,1,17,3,1,233,3,0,236,0,236,--,400,164,233,236,236,Algún campo sin dato,1,061274854535fd8e196c7b42b111e72ef2a188517318d53a22cfd8d6706b7018,26/06/2023 03:15:14,ESCANER
6112,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,51,11,49,9,24,12,0,0,26,5,0,2,2,11,8,4,21,0,2,237,4,0,241,0,241,0,400,159,237,241,241,,1,03058b91260293bd436adcdfe2a86822a283125b1e76ce4be45480bef8e6d199,26/06/2023 03:12:28,ESCANER
6113,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,24,4,50,16,28,17,0,2,15,3,2,3,0,21,2,5,16,1,0,209,1,0,210,0,210,0,400,190,209,210,210,,1,58d3173a3132fef1a541838e329851e9d1844d66fc2cbced91e1136899625116,26/06/2023 01:19:49,ESCANER
6114,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,40,7,51,9,21,13,0,2,13,2,1,3,0,18,8,4,8,2,1,203,3,0,206,0,206,--,400,194,203,206,206,Algún campo sin dato,1,de008614056892755574d458ca0c11fe45c0bbd1024433a2a3119977d49b49e9,26/06/2023 02:45:36,ESCANER
6115,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,37,5,47,8,28,21,1,1,16,4,5,5,0,15,7,1,18,2,1,222,7,1,230,0,230,--,400,170,222,230,230,Algún campo sin dato,1,866794bb75d6f359588bee50f72da446378c6ba9ff407066de017ca150179f84,26/06/2023 00:53:56,ESCANER
6116,"Chimaltenango",3,"San Martín Jilotepeque",3,649,208,19,1,25,10,10,3,0,0,13,1,3,2,0,8,2,1,3,3,0,104,0,0,104,2,106,--,208,102,104,104,106,Algún campo sin dato,1,a64236350e12a77b045984f1d78068470089de29f0b526a5161b23fc49670465,25/06/2023 23:11:27,ESCANER
6117,"Chimaltenango",3,"San Martín Jilotepeque",3,649,208,14,2,26,6,10,4,0,0,8,3,0,2,0,3,2,2,2,3,0,87,7,0,94,0,94,--,208,114,87,94,94,Algún campo sin dato,1,48e05f3c8308163f01956e7bbb488bd14dba921533b012b9f76a5dea9632adc4,26/06/2023 00:18:12,ESCANER
6118,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,54,4,34,32,16,17,0,3,25,1,2,0,2,7,14,4,3,3,1,222,11,8,241,0,241,0,380,139,222,241,241,,1,a6b710cb4efd5998de89b5077cfcb0453710662ccd940086e95f567a57c6bc6b,26/06/2023 00:56:16,ESCANER
6119,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,62,1,33,19,16,18,1,1,20,3,4,0,10,6,30,1,4,5,0,173,9,6,249,--,249,--,380,131,234,249,249,Sumas Asentadas sin cuadrar,1,b0c14e2e523aced6ffce39b84ea4ddf2897ca29cb2515aab58aa4a8371488685,26/06/2023 03:11:07,ESCANER
6120,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,44,3,37,21,13,12,1,1,17,0,2,0,2,4,10,3,4,5,0,179,22,11,212,--,212,--,380,168,179,212,212,Algún campo sin dato,1,9bc3a485f40c2b2d69913c36e64db130df23cee5df712e8ab5eec12fb814a14d,26/06/2023 00:13:35,ESCANER
6121,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,55,1,28,22,7,8,0,1,19,2,3,0,7,9,10,2,4,1,0,179,18,8,205,0,205,1,380,175,179,205,205,,1,e6ff768e6215543015cbe7e739527d357c18330e2172f6dc88189cd9b474949d,25/06/2023 23:59:39,ESCANER
6122,"Chimaltenango",3,"San Martín Jilotepeque",3,650,266,44,2,24,15,9,7,0,3,9,1,0,0,0,6,13,2,4,4,2,145,5,1,151,0,151,0,266,115,145,151,151,,1,543316210776c0a37ec1d559f2506c4a0faa001f0cac131b02ba39ea0f77edfa,25/06/2023 23:17:06,ESCANER
6123,"Chimaltenango",3,"San Martín Jilotepeque",3,650,266,31,0,25,10,7,12,0,0,8,1,1,0,0,6,7,0,2,0,0,110,3,0,113,0,113,--,266,153,110,113,113,Algún campo sin dato,1,f05d03a1b302a62d6e634b968df5acacca1dcb80baaef0b3a39b0d200b4ce0ae,26/06/2023 00:34:05,ESCANER
6124,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,31,13,50,12,28,6,3,1,5,1,1,1,10,1,3,1,2,3,0,172,31,9,212,0,172,--,380,168,172,212,212,Sumas Asentadas sin cuadrar,1,97f8344289dd1b59f639c9de3dd20ff40823dba000ee710d3fda786b7e78f0de,26/06/2023 01:19:52,ESCANER
6125,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,3,51,8,49,15,2,0,3,0,1,2,4,2,5,2,2,2,0,180,26,9,215,0,215,--,380,165,180,215,215,Algún campo sin dato,1,001e6545303388be275e836c47b5826d77a50301f8d587374698c4e71df06c04,25/06/2023 23:47:35,ESCANER
6126,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,34,10,35,17,42,9,2,2,3,1,0,0,6,1,7,4,0,6,0,179,24,2,205,0,205,--,380,175,179,205,205,Algún campo sin dato,1,6c0d4738d9ba09054fc58ee2201f40550f706728a69115d24856cc71b8bdacdb,26/06/2023 03:35:45,ESCANER
6127,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,35,7,43,18,27,10,3,0,7,1,2,1,1,1,5,5,0,1,0,167,21,8,196,0,196,--,380,184,167,196,196,Algún campo sin dato,1,e3a6e270cdd503d130c90ffe5d206e6d18c255338948048cdab0711ff263705b,26/06/2023 03:01:59,ESCANER
