TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17765,12280,69.1246

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,COCIEP,COCIEGUA,COCIEES,COCIEA,CABAL,VAMOS,MI FAMILIA,COCIEO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18271,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,0,67,1,11,135,1,0,0,15,0,230,2,1,233,0,233,--,380,147,230,233,233,Algún campo sin dato,1,b7771375e8056242b6d4d9a1391f80a7f22d01d14d433f81ad0670197b5d3733,26/06/2023 02:45:24,ESCANER
18272,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,4,66,0,15,135,0,0,0,11,1,232,7,0,239,0,239,--,380,141,232,239,239,Algún campo sin dato,1,a11b9ea7e7bc70e8e67b86097fa42463185e14f81b64d2385f629170ed2c3ef9,26/06/2023 02:51:01,ESCANER
18273,"Baja Verapaz",15,"San Miguel Chicaj",2,2795,380,2,60,0,17,142,1,1,0,14,0,237,4,1,242,0,242,--,380,138,237,242,242,Algún campo sin dato,1,973c920727c8f086845eb7f4759d8b7795c78864921dbffe112cb1444a74909b,26/06/2023 02:24:14,ESCANER
18274,"Baja Verapaz",15,"San Miguel Chicaj",2,2795,380,5,64,2,14,122,1,0,0,11,0,219,0,0,219,0,219,--,380,161,219,219,219,Algún campo sin dato,1,6681c0d698778cb84e297e7711b2f9bfab60f4da05d40f9ad3aad9cf113bb357,26/06/2023 02:36:02,ESCANER
18275,"Baja Verapaz",15,"San Miguel Chicaj",2,2795,243,1,51,0,8,97,0,0,0,5,1,163,0,0,163,0,163,--,243,80,163,163,163,Algún campo sin dato,1,51f243274e61bebfcee082eda83738f391c296c8bfd65e8a054df6fc3fc0b0e8,26/06/2023 02:30:23,ESCANER
18276,"Baja Verapaz",15,"San Miguel Chicaj",2,2795,243,2,55,0,5,77,0,0,0,8,0,147,0,1,148,0,148,--,243,95,147,148,148,Algún campo sin dato,1,8d41a1797ad25c4e63603353a469c6d686732c78dced3a325d18b24297c7f96d,26/06/2023 02:15:08,ESCANER
18277,"Baja Verapaz",15,"San Miguel Chicaj",2,2796,327,1,39,1,112,62,0,2,0,6,0,223,18,6,247,0,247,--,327,80,223,247,247,Algún campo sin dato,1,6b5ce1d356dd9c5fe6e7922eb3ff21a8845c9c66a86a82e0daddc52fe8b651ed,26/06/2023 03:06:19,ESCANER
18278,"Baja Verapaz",15,"San Miguel Chicaj",2,2796,326,0,28,2,89,68,1,2,1,4,1,196,12,1,209,0,209,--,326,117,196,209,209,Algún campo sin dato,1,97d9f951af55c0340704591d5287e07b44303e48bb45e89612c355620b86d737,26/06/2023 03:28:27,ESCANER
18279,"Baja Verapaz",15,"San Miguel Chicaj",2,2797,380,2,4,2,225,7,0,2,0,0,0,242,21,4,267,0,267,--,380,113,242,267,267,Algún campo sin dato,1,6cf33c185ac3dd0366d4e94ccbb2f71ee8323bf290b12a7b283030a4c1f26c29,26/06/2023 01:19:23,ESCANER
18280,"Baja Verapaz",15,"San Miguel Chicaj",2,2797,375,0,1,2,250,4,1,4,0,0,0,262,20,2,284,0,284,--,375,91,262,284,284,Algún campo sin dato,1,250b7445c39cfdfb5bc0ae0c8ef8cb2c3d31867c48e16a1e1ec063354e7cbe9f,26/06/2023 01:28:12,ESCANER
