TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
111,111,100.0000,111,100.0000,0,41651,18627,44.7216

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,MLP,VAMOS,CAMBIO,CABAL,AZUL,PODEMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20566,"Petén",17,"La Libertad",5,3202,400,26,8,29,113,10,3,0,1,190,8,2,200,0,200,--,400,200,190,200,200,Algún campo sin dato,1,ddf76e3411d5402fe231a58a1a58ce63d4d37239b44a3760c9cb13a214a61b43,25/06/2023 23:04:36,ESCANER
20567,"Petén",17,"La Libertad",5,3202,400,29,8,34,113,16,1,0,2,203,13,5,221,0,221,--,400,179,203,221,221,Algún campo sin dato,1,2e8e97d14a5f4ba10463c2c78434a3010f48a24730c814bea51dc11013f5ca5a,26/06/2023 01:49:00,ESCANER
20568,"Petén",17,"La Libertad",5,3202,400,38,6,35,82,29,3,1,4,198,10,3,211,0,211,--,400,189,198,211,211,Algún campo sin dato,1,7ca37136c6abfb4d06bf6621bae65b3bb47d7969e867bb1eca44d194743225e1,26/06/2023 03:23:23,ESCANER
20569,"Petén",17,"La Libertad",5,3202,400,48,5,24,95,11,2,0,7,192,14,3,209,0,209,--,400,191,192,209,209,Algún campo sin dato,1,9e0ad35bd1f6e9ca1769267c600a87c84e948f3eff4ad5557c10d0e8a9d72871,26/06/2023 03:03:07,ESCANER
20570,"Petén",17,"La Libertad",5,3202,400,29,3,32,119,16,1,0,2,202,16,5,223,0,223,--,400,177,202,223,223,Algún campo sin dato,1,69bb340488351e281bdb0d2ada5e41b365029d36cdb4388ce22ef3bdbdc9495f,26/06/2023 03:09:01,ESCANER
20571,"Petén",17,"La Libertad",5,3202,400,34,5,30,99,11,6,0,2,187,20,4,211,0,211,--,400,189,187,211,211,Algún campo sin dato,1,12392e00ba7500f48433b7f1829c90c8cfff00905fec3d008098ec791bab7bd8,26/06/2023 02:27:48,ESCANER
20572,"Petén",17,"La Libertad",5,3202,400,40,3,35,106,13,4,0,5,206,9,5,220,0,220,--,400,180,206,220,220,Algún campo sin dato,1,dcd1037b9a360f754c491a96dfab5f1e95eb1422ade46959d797cfd6415ff988,26/06/2023 03:15:38,ESCANER
20573,"Petén",17,"La Libertad",5,3203,400,39,6,27,112,6,4,0,1,195,12,2,209,0,209,--,400,191,195,209,209,Algún campo sin dato,1,a4ca2059e4f50da0931fe11da1c9a967170346bb59b5d8597a15fa1635aa831a,26/06/2023 02:57:41,ESCANER
20574,"Petén",17,"La Libertad",5,3203,400,28,8,35,112,8,0,0,1,192,19,4,215,0,215,--,400,185,192,215,215,Algún campo sin dato,1,4f86dfeabdd705de3d039a0d141b667e6fbd8b2e3c2c15dbed32facc55ace874,26/06/2023 03:10:15,ESCANER
20575,"Petén",17,"La Libertad",5,3203,400,31,2,33,86,14,1,1,5,173,14,7,194,0,194,--,400,206,173,194,194,Algún campo sin dato,1,1e4cd45fafdab5f009167fdb79201b87b0b7b034ba4c7e28728292285a29806e,26/06/2023 01:39:24,ESCANER
20576,"Petén",17,"La Libertad",5,3203,400,23,6,30,85,13,5,0,2,164,17,2,183,1,184,1,400,216,164,183,184,,1,d1e20e4652a4136afa875556f4bc47b506fcdccba57c148e34e81ff78a3fbfa6,26/06/2023 03:05:44,ESCANER
20577,"Petén",17,"La Libertad",5,3203,400,44,2,32,95,11,0,0,4,188,3,2,193,0,193,--,400,207,188,193,193,Algún campo sin dato,1,41266e49e5429e7baefb4930b458b7571fce1133eefcfe700c7f59d14304fdff,26/06/2023 00:14:58,ESCANER
20578,"Petén",17,"La Libertad",5,3203,400,35,7,17,121,16,0,1,3,200,7,1,208,0,208,--,400,192,200,208,208,Algún campo sin dato,1,2d489b205637f8a3372bb099b766de862d50faed7b3249dcfcd8c38bfe0893a3,26/06/2023 00:55:19,ESCANER
20579,"Petén",17,"La Libertad",5,3203,400,40,3,23,105,15,2,0,1,189,2,0,191,0,191,--,400,209,189,191,191,Algún campo sin dato,1,2a5a43e4caab590bcc34be3ab4db325547dc092f68019517a9bbe9b9eefcc50b,25/06/2023 23:15:57,ESCANER
