TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,18111,11117,61.3825

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,UNIONISTA,VALOR,PODEMOS,COMITE CIVICO EL CORAZÓN,UNE,VOS,PPN,DIFERENTE POR ITZAPA,AZUL,VAMOS,ELEFANTE,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6694,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,10,22,56,4,10,20,5,1,6,11,1,53,6,1,1,207,4,0,211,0,211,--,400,189,207,211,211,Algún campo sin dato,1,de0f51f221cd892eb14d8792ec42147f90cbe0899ba63cd2eadc0b1e2986e202,26/06/2023 01:25:26,ESCANER
6695,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,9,19,63,4,5,16,5,3,4,14,0,64,6,1,0,213,2,1,216,0,216,--,400,184,213,216,216,Algún campo sin dato,1,e76b8dffcf69b08097d65b7181fa8708f53d7514a81f361e8c33eae9ebcbab96,25/06/2023 23:29:45,ESCANER
6696,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,9,8,81,2,5,8,7,3,4,4,0,53,15,2,1,202,2,0,204,0,204,--,400,196,202,204,204,Algún campo sin dato,1,edf88e3f9092d0520eb09d1c03b2810f6158bc5090ce06ce76d775ca13789756,26/06/2023 00:42:51,ESCANER
6697,"Chimaltenango",3,"San Andrés Itzapa",13,717,324,13,13,48,3,4,8,6,0,4,6,0,41,8,3,1,158,7,0,165,0,165,--,326,161,158,165,165,Algún campo sin dato,1,61adcd46ae2f8ce82a03796269a97b8d53f113bf2294436c9f656de45a4f3510,25/06/2023 23:39:08,ESCANER
6698,"Chimaltenango",3,"San Andrés Itzapa",13,717,324,10,14,43,4,7,5,6,3,1,9,2,25,8,2,1,140,6,2,148,0,148,--,324,176,140,148,148,Algún campo sin dato,1,e7fec7b267e2bab4d9be6c378d390fe4da95f900989ed7781bc0d6a5ad650254,26/06/2023 00:24:17,ESCANER
6699,"Chimaltenango",3,"San Andrés Itzapa",13,718,343,19,6,41,1,3,3,4,2,2,3,0,117,2,2,0,205,15,2,222,0,222,--,343,121,205,222,222,Algún campo sin dato,1,a9e7a1fc85a2107c181fe02ff8c0002bc992533042c1b9847b73570b9618cdc6,25/06/2023 23:19:27,ESCANER
6700,"Chimaltenango",3,"San Andrés Itzapa",13,718,342,12,2,62,2,3,7,2,0,3,4,1,97,3,1,0,199,9,1,209,0,209,--,342,133,199,209,209,Algún campo sin dato,1,b9c1ab8b05a1f388ff81c18dabb960f5ff56f9674defef235ae7dd059420c3de,25/06/2023 22:39:21,ESCANER
6701,"Chimaltenango",3,"San Andrés Itzapa",13,719,378,29,3,51,0,1,16,12,0,2,17,0,35,9,1,2,178,29,4,211,0,211,--,378,167,178,211,211,Algún campo sin dato,1,cecd8a5c8a885442b36545d7eba7ab64a02e5d3005d489b9c1e19f6db1aa29e7,25/06/2023 22:51:37,ESCANER
6702,"Chimaltenango",3,"San Andrés Itzapa",13,719,378,35,3,46,0,2,20,9,0,1,15,0,43,11,2,1,188,14,7,209,0,209,--,378,169,188,209,209,Algún campo sin dato,1,99ae89e782f160dbada3eed45d91ba11e9c288d29bec124cdc4ff8760e65cbb0,25/06/2023 23:00:47,ESCANER
6703,"Chimaltenango",3,"San Andrés Itzapa",13,720,411,5,18,27,2,8,6,6,0,3,9,3,37,3,1,0,128,3,4,135,0,135,--,408,273,128,135,135,Algún campo sin dato,1,e2ef80123d83cf919befea83802c14aac34963af73dac29e7a0ede020ad7aa96,25/06/2023 22:59:08,ESCANER
6704,"Chimaltenango",3,"San Andrés Itzapa",13,720,411,8,19,18,0,10,2,2,2,3,3,1,25,2,0,--,96,5,1,102,0,102,--,--,--,95,101,101,Sumas Asentadas sin cuadrar,1,90b30bfaacdf3299133aeedd84c86fcf735aa1d2425544ec39bf7c1afe116d01,25/06/2023 22:01:25,ESCANER
