TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
37,37,100.0000,37,100.0000,0,12392,6914,55.7940

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PHG,PODEMOS,ELEFANTE,VAMOS,UNE,VIVA,CABAL,BIEN,PPN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14058,"San Marcos",12,"El Rodeo",14,1977,380,21,64,7,79,2,3,4,1,3,4,188,12,2,202,0,202,--,380,178,188,202,202,Algún campo sin dato,1,b8e4f69f2cfdcefa456c7eb36daa8ad2fc6be7a8582421ed1ef921676bdc5f9d,26/06/2023 01:19:50,ESCANER
14059,"San Marcos",12,"El Rodeo",14,1977,230,13,41,6,61,0,1,1,1,1,2,127,3,0,130,0,130,--,231,101,127,130,130,Algún campo sin dato,1,204fc3d3f23e8aab016e47f5919c502247f4acd1dfe043eaaee174f8ebebda6d,26/06/2023 00:08:24,ESCANER
14060,"San Marcos",12,"El Rodeo",14,1977,230,11,56,7,50,2,1,4,2,2,3,136,1,0,137,0,137,--,230,93,138,139,139,Sumas Asentadas sin cuadrar,1,bd04cc998096da23e597d3385b654f6253485a63e500686673e55451d5d12dc2,26/06/2023 00:50:35,ESCANER
14061,"San Marcos",12,"El Rodeo",14,1978,380,3,115,7,51,5,2,2,7,0,5,197,17,6,220,0,220,--,380,160,197,220,220,Algún campo sin dato,1,946359348c20357a339b137f7c3de7adb458cb3ddb4a4fd8b91010e57c5fccc8,25/06/2023 23:13:04,ESCANER
14062,"San Marcos",12,"El Rodeo",14,1978,380,8,111,8,69,8,1,1,9,1,2,218,23,11,252,0,252,--,377,128,218,252,252,Algún campo sin dato,1,95a9776b3a9ba02211df24ddd308b2c5454dbeda7836c428aed367ed0075c062,26/06/2023 01:39:48,ESCANER
14063,"San Marcos",12,"El Rodeo",14,1978,380,2,101,8,36,5,0,0,4,0,7,163,12,6,181,0,181,--,400,219,163,181,181,Algún campo sin dato,1,d91ad8bc36597a2121c463621728961fc7aa22ddad3b67d843d4a39c8f3ce3d1,25/06/2023 23:05:24,ESCANER
14064,"San Marcos",12,"El Rodeo",14,1978,206,3,52,6,22,2,0,2,2,1,3,93,3,2,98,0,98,--,207,109,93,98,98,Algún campo sin dato,1,157db5aaec62f43b12e0e97f45346fb1cac231b74cbfb1fb2244671142f1a173,25/06/2023 22:11:10,ESCANER
14065,"San Marcos",12,"El Rodeo",14,1978,205,2,56,5,21,2,0,0,1,1,0,88,0,1,89,4,93,--,205,112,88,89,93,Algún campo sin dato,1,043d7b28ea4c4b3017447d473a241ba5a5c8dcc1707c7acb75204cfa4a0abb6f,25/06/2023 21:45:27,ESCANER
14066,"San Marcos",12,"El Rodeo",14,1979,380,19,74,11,72,12,7,8,4,3,8,218,23,5,246,0,246,--,380,131,218,246,246,Algún campo sin dato,1,c0bd0fe55ca399e4cd5b6a30efb35341e57e882591817c6102366e62428a81df,26/06/2023 02:25:21,ESCANER
14067,"San Marcos",12,"El Rodeo",14,1979,219,10,44,5,35,4,1,2,3,3,4,111,3,2,116,0,116,--,219,103,111,116,116,Algún campo sin dato,1,a695b5340f930ae100f776f5a1717093e3e4bd9d55b01bca6a67b5645abff43b,26/06/2023 00:49:23,ESCANER
14068,"San Marcos",12,"El Rodeo",14,1979,218,17,42,3,23,1,4,1,2,4,3,100,2,0,102,0,102,--,218,116,100,102,102,Algún campo sin dato,1,b7ec4d26d3f88fd1408327a90b2f4def5e5a663ade81720ee089b23273c7b01d,25/06/2023 23:55:09,ESCANER
14069,"San Marcos",12,"El Rodeo",14,1980,464,2,8,0,6,2,1,0,4,0,1,24,2,1,24,3,27,--,461,434,24,27,30,Sumas Asentadas sin cuadrar,1,a02a74cb757306efe054022e5e12a4cdce3fbaf3bad6e3eb293fd20886b0a472,25/06/2023 22:52:08,ESCANER
