TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,47515,32039,67.4292

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,PHG,VALOR,AZUL,PPN,ELEFANTE,WINAQ,VIVA,FCN-NACION,VAMOS,CREO,VOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19328,"Alta Verapaz",16,"Senahú",8,2968,400,80,40,0,25,9,0,80,0,2,1,1,40,0,1,0,279,6,0,285,0,285,--,400,115,279,285,285,Algún campo sin dato,1,d6e2265860ee0c0115ab720b52a7536217b7cc30cc4d79517cf7d2a519562be1,26/06/2023 04:17:38,ESCANER
19329,"Alta Verapaz",16,"Senahú",8,2968,400,69,34,0,38,8,1,72,0,5,0,0,27,0,0,0,254,17,0,271,0,271,--,400,129,254,271,271,Algún campo sin dato,1,a917f8c31bb69b51c5d049c2c07f4831bbdb863c88bc2b75fdaa41844ff59dc5,26/06/2023 04:20:23,ESCANER
19330,"Alta Verapaz",16,"Senahú",8,2968,400,60,32,0,23,10,0,65,0,0,1,0,33,1,0,0,225,14,2,241,0,241,--,400,159,225,241,241,Algún campo sin dato,1,c2a117cda480347e51d0f431633fcad9d17d9e96ef948f8c382a58b72c496503,26/06/2023 04:20:51,ESCANER
19331,"Alta Verapaz",16,"Senahú",8,2968,400,61,31,0,23,13,2,92,0,0,1,0,33,0,0,1,257,3,1,261,0,261,--,400,139,257,261,261,Algún campo sin dato,1,c79d8c4dbd386203849ec0adc23f0808cd887cb552a643bfce3a70fc47ec2c90,26/06/2023 04:31:28,ESCANER
19332,"Alta Verapaz",16,"Senahú",8,2968,400,64,39,0,20,10,0,99,0,0,1,0,46,0,0,0,279,0,1,280,0,280,--,400,120,279,280,280,Algún campo sin dato,1,1242a4ddc3bb2f1dff8061d359579078c36a8a224d9d22c9ca9ca0ed48ebd2c1,26/06/2023 04:32:22,ESCANER
19333,"Alta Verapaz",16,"Senahú",8,2969,400,50,22,0,28,12,0,100,0,0,0,1,33,0,0,0,246,6,2,254,--,--,--,400,143,246,254,254,Algún campo sin dato,1,040d2f8be54932bf9bab8ac66bdbedea91c833f9c62887545f179af6194b1408,26/06/2023 02:00:17,ESCANER
19334,"Alta Verapaz",16,"Senahú",8,2969,400,54,43,0,20,10,0,104,0,0,0,0,26,0,0,0,257,6,0,263,0,263,--,400,137,257,263,263,Algún campo sin dato,1,507f4c8b8cc9f0fc5b1e787c8aa4e542cc385045606191396416d27b6590bfc7,26/06/2023 04:03:55,ESCANER
19335,"Alta Verapaz",16,"Senahú",8,2969,400,48,22,0,18,8,0,113,0,0,0,0,22,0,0,0,231,4,0,235,0,235,--,400,165,231,235,235,Algún campo sin dato,1,025c58bebe014e9e3aa7ffba90d4f8ec52e98080409806f3b9699d20bd32f146,26/06/2023 00:27:49,ESCANER
19336,"Alta Verapaz",16,"Senahú",8,2969,227,32,25,0,13,5,0,31,0,0,0,0,8,0,0,0,114,4,0,118,0,118,--,227,109,114,118,118,Algún campo sin dato,1,a70493b72ff5f646faaa16f82715a5ee3ba05451586ace19d2d1d768a505d6c6,26/06/2023 01:06:50,ESCANER
19337,"Alta Verapaz",16,"Senahú",8,2969,227,36,13,0,16,10,0,42,0,0,0,0,11,1,0,1,130,3,3,136,0,136,--,227,91,130,136,136,Algún campo sin dato,1,7e7634b609194d0519fc753b49fec1d8880ae90adda4b770b1700a2b64422e33,26/06/2023 03:39:41,ESCANER
19338,"Alta Verapaz",16,"Senahú",8,2970,380,87,56,0,3,2,1,53,0,0,0,0,11,0,0,0,213,20,4,237,0,237,1,380,142,213,237,237,,1,3965a33ceaecf1e1711d8f8257561c154dd6cfc7b2513fcdfe8ec317ce75d195,26/06/2023 05:49:26,ESCANER
19339,"Alta Verapaz",16,"Senahú",8,2970,380,86,53,0,3,2,0,59,1,1,1,0,18,1,0,2,227,10,3,240,0,240,--,380,140,227,240,240,Algún campo sin dato,1,cfd73ce3232d40e6bdc195a5c3b6a42994098719b4dd6371568e329f719792ac,26/06/2023 06:09:41,ESCANER
19340,"Alta Verapaz",16,"Senahú",8,2970,380,92,55,1,10,4,1,70,0,0,2,1,21,1,0,0,258,11,2,271,0,271,--,375,104,258,271,271,Algún campo sin dato,1,47567b0fab6341c0f0d495f2bcb39b209d67e0092a9f6052350c7743352e51e1,26/06/2023 06:04:24,ESCANER
19341,"Alta Verapaz",16,"Senahú",8,2970,380,106,46,0,8,4,1,64,0,0,1,0,16,1,0,0,247,13,3,263,0,263,--,380,117,247,263,263,Algún campo sin dato,1,628895ab5d72d866e364c598806cee83e5c2dce2868ebceb2884f437ade00637,26/06/2023 05:35:09,ESCANER
19342,"Alta Verapaz",16,"Senahú",8,2970,380,122,63,1,12,3,2,58,0,1,0,0,15,0,0,1,278,0,4,282,15,297,--,379,82,278,282,297,Algún campo sin dato,1,7f17d03c7dd2246ef747f996998cb9c829539cd10c4dde326a21560318a1200f,26/06/2023 05:38:53,ESCANER
19343,"Alta Verapaz",16,"Senahú",8,2970,380,95,48,0,15,3,0,66,0,0,0,1,20,0,1,0,249,28,9,286,0,286,--,380,94,249,286,286,Algún campo sin dato,1,dce3dce4ea8212f54cd6a31da63416e279a77b24213c55a2b685616198e689a7,26/06/2023 06:19:10,ESCANER
19344,"Alta Verapaz",16,"Senahú",8,2970,380,95,84,0,7,2,0,57,0,0,0,0,14,1,0,0,260,2,5,267,10,277,--,380,103,260,267,277,Algún campo sin dato,1,701d76245184816803d3b80e7fa8b562dc5503e01bda58f740e358f05c8a9873,26/06/2023 06:10:47,ESCANER
19345,"Alta Verapaz",16,"Senahú",8,2970,380,109,48,1,8,4,0,59,0,1,0,0,15,1,0,0,246,21,0,267,0,267,--,377,110,246,267,267,Algún campo sin dato,1,fbd84aafc45ddf4926be97429f3fe3fe0aff44de7d3dd87a0ba955ffde7e30ea,26/06/2023 05:47:28,ESCANER
19346,"Alta Verapaz",16,"Senahú",8,2970,380,112,56,0,5,4,2,68,0,0,1,0,12,0,0,0,260,11,3,274,0,274,--,377,103,260,274,274,Algún campo sin dato,1,9481f8f82a127b530fdc12ddd73fec9c753576619429792d47c0b5bb966fe4b8,26/06/2023 05:57:22,ESCANER
19347,"Alta Verapaz",16,"Senahú",8,2970,380,102,47,0,5,4,3,61,1,0,4,1,16,2,0,--,246,16,3,265,0,0,--,377,112,246,265,265,Algún campo sin dato,1,cf9dfff8f0ed8e607d764e544b3cfbfee2dd7d80c7cd831917bb9d259f3b5f46,26/06/2023 06:17:39,ESCANER
19348,"Alta Verapaz",16,"Senahú",8,2970,380,117,57,0,5,4,3,59,0,0,0,0,11,1,0,0,257,7,2,266,0,257,--,380,114,257,266,266,Sumas Asentadas sin cuadrar,1,a9ae6dc4b97bccbdf4d17e77b73e3202cbe4e949b46e3c132c82027a94b69e42,26/06/2023 05:58:53,ESCANER
19349,"Alta Verapaz",16,"Senahú",8,2970,380,85,74,0,13,0,0,69,0,0,1,0,5,0,0,0,247,16,0,263,0,263,--,380,117,247,263,263,Algún campo sin dato,1,3472a30126a5d593134af9c712df462cc22efa13279029250d0daed87f7e00e5,26/06/2023 05:57:20,ESCANER
