TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,30187,18913,62.6527

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,CUM,TODOS,ELEFANTE,PODEMOS,VICTORIA,CREO,VIVA,SEMILLA,PHG,UR,CABAL,PR,AZUL,VOS,PPN,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13157,"San Marcos",12,"San Marcos",1,1794,400,5,76,101,7,1,11,2,4,18,12,1,8,2,2,10,3,11,274,15,1,290,0,290,1,400,0,274,290,290,,1,7fd446430b8f953b6479ddcd3d40d3fd206c8d38e3d29e05f54eb80fd89173ad,26/06/2023 00:20:49,ESCANER
13158,"San Marcos",12,"San Marcos",1,1794,400,9,65,92,9,0,9,5,1,18,18,0,7,1,1,4,8,3,251,7,1,259,0,259,1,400,140,250,258,258,Sumas Asentadas sin cuadrar,1,1e222460549714e761d62257fd529080a147180394219e36fd12d6896f2411f5,26/06/2023 00:49:12,ESCANER
13159,"San Marcos",12,"San Marcos",1,1794,201,5,47,47,2,0,0,3,1,17,7,1,3,0,2,3,2,5,145,1,1,147,0,147,0,217,70,145,147,147,,1,209005d85cc388c1cd61a731f56c43d25d8caaf36f8f8169e4552ac503194c9e,25/06/2023 23:07:06,ESCANER
13160,"San Marcos",12,"San Marcos",1,1794,201,6,26,62,1,0,6,0,2,9,5,0,6,0,1,3,2,3,132,0,1,133,0,133,--,201,68,132,133,133,Algún campo sin dato,1,a5842ecbc8f26db74dc153e6ab6175aed5e822c5600748f4243d0cca8d4f9d0b,25/06/2023 22:00:00,ESCANER
13161,"San Marcos",12,"San Marcos",1,1795,400,10,66,83,13,1,13,4,3,17,14,4,15,2,7,5,6,12,275,14,2,291,0,291,0,400,109,275,291,291,,1,3618312758420614e03cb276e40b56df9c0b69d6f3d03b9c9c010cbb04dd0755,25/06/2023 23:58:16,ESCANER
13162,"San Marcos",12,"San Marcos",1,1795,400,7,77,89,12,3,8,8,1,19,7,4,21,1,5,9,5,7,283,10,0,293,0,293,0,400,107,283,293,293,,1,c8e90e0c27091204801c0cfac408e0f8d47dbd16b528afc770307ec3647069ab,26/06/2023 01:24:21,ESCANER
13163,"San Marcos",12,"San Marcos",1,1795,400,8,73,101,11,0,10,10,4,17,11,2,9,0,5,7,3,10,282,7,0,289,0,289,--,--,--,281,288,288,Sumas Asentadas sin cuadrar,1,0b805cf46745b0a83fc9a5e7346f35f3e81de065a8919b81db4f9dca7e2c05b7,26/06/2023 01:02:07,ESCANER
13164,"San Marcos",12,"San Marcos",1,1795,400,13,70,87,10,5,12,7,1,14,8,2,19,1,6,10,9,6,280,5,1,286,0,286,1,--,--,280,286,286,Algún campo sin dato,1,9992948e741b28ae23130c91b5c057d3e32c5a4b60bcac72ceb9906537cbb361,26/06/2023 01:22:23,ESCANER
13165,"San Marcos",12,"San Marcos",1,1795,400,8,60,95,14,3,16,6,3,22,9,1,9,0,2,12,10,13,283,8,1,292,0,292,0,400,108,283,292,292,,1,a636b1015564854a28a4481cca49ef84cddb07ca1625b7977fa96b19c93a554b,26/06/2023 01:17:36,ESCANER
13166,"San Marcos",12,"San Marcos",1,1795,388,6,56,91,11,1,11,1,2,25,8,5,11,2,1,6,7,5,249,10,1,260,0,260,0,388,128,249,260,260,,1,ce397746c6f01333280fa14e334807da82804a33add33fefb7e93b4ae8b9dc61,26/06/2023 00:20:27,ESCANER
