TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
303,303,100.0000,299,98.6798,4,118863,69977,58.8719

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VALOR UNIONISTA,VICTORIA,VAMOS,UR,PHG,MLP,PODEMOS,MI FAMILIA,PPN,CREO,URNG-MAIZ WINAQ,CABAL,UNE,BIEN,ELEFANTE,SBX,AZUL,PX,FCN-NACION,PR,VIVA,SEMILLA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10432,"Quetzaltenango",9,"Quetzaltenango",1,1376,400,15,24,9,6,2,78,8,1,4,0,15,3,3,12,5,6,37,3,12,3,4,4,5,1,3,263,8,0,271,0,271,--,400,129,263,271,271,Algún campo sin dato,1,2ad0e3fd9bbf412be3362f59abd87a390a6d5006965d4af99243f546479b0023,26/06/2023 05:19:04,ESCANER
10433,"Quetzaltenango",9,"Quetzaltenango",1,1376,400,9,21,10,17,2,46,5,0,11,2,14,4,3,11,7,1,36,2,11,2,2,1,10,2,6,235,13,3,251,0,251,--,400,150,235,251,251,Algún campo sin dato,1,0d3dfc38cdb3c3586a2a0c26da6d44d093cc6aca8fd376c070657d6b78ff7213,26/06/2023 03:52:38,ESCANER
10434,"Quetzaltenango",9,"Quetzaltenango",1,1376,400,9,26,3,13,3,81,3,0,4,2,7,5,0,7,1,1,42,4,13,1,0,2,10,7,4,248,10,1,259,0,259,--,400,141,248,259,259,Algún campo sin dato,1,d257700b15a7f7e62dc5be060284cb7205073eb9f2456fb0c5dd866f74750c4e,26/06/2023 03:43:11,ESCANER
10435,"Quetzaltenango",9,"Quetzaltenango",1,1376,400,10,24,9,10,3,75,6,2,8,3,7,2,2,7,9,3,47,4,18,2,3,2,2,0,6,264,7,3,274,0,274,--,400,126,264,274,274,Algún campo sin dato,1,3bae350fb83fd29e810cbdd4d90211a35415a05ed3a9026b7c59bee9294539b6,26/06/2023 04:06:54,ESCANER
10436,"Quetzaltenango",9,"Quetzaltenango",1,1376,400,2,23,6,9,2,78,6,1,12,1,6,3,4,7,6,1,45,5,11,4,1,3,7,2,4,249,13,2,264,0,264,--,396,132,249,264,264,Algún campo sin dato,1,ba4f284e8edcc5a0c9db7c4fb9d1862b36b9c4d772c8130f3c4d80bdc67416dc,26/06/2023 04:12:33,ESCANER
10437,"Quetzaltenango",9,"Quetzaltenango",1,1377,400,4,23,7,9,1,60,13,3,11,3,8,7,9,10,7,0,40,1,22,2,5,2,6,1,3,257,6,2,265,0,265,11,401,136,257,265,265,,1,b924c5803e2f0f4c7983c15708b8d8bf3b5fb7ecc7744c2c92b13f5cc3b57843,26/06/2023 03:27:28,ESCANER
10438,"Quetzaltenango",9,"Quetzaltenango",1,1377,400,7,37,4,20,1,72,13,0,10,3,5,2,2,11,10,3,35,0,13,1,3,4,5,1,3,265,5,1,271,0,271,--,400,129,265,271,271,Algún campo sin dato,1,0e7471e7a4ddda689a8a7c1b79a145d6566fce920152d15b6e39f203572a6e36,26/06/2023 04:08:26,ESCANER
10439,"Quetzaltenango",9,"Quetzaltenango",1,1377,400,13,25,5,7,5,64,6,0,16,4,10,4,2,9,9,1,45,4,10,3,4,2,9,4,4,265,14,1,280,0,280,--,400,120,265,280,280,Algún campo sin dato,1,36c9561deef98c74acb3f16e2052fb860315ae097eda8d64f9d6c069b9ca33ec,26/06/2023 04:11:57,ESCANER
10440,"Quetzaltenango",9,"Quetzaltenango",1,1377,400,6,16,4,11,2,67,7,1,8,3,16,5,4,9,5,1,48,6,11,1,3,0,7,2,6,249,11,0,260,0,260,--,--,--,249,260,260,Algún campo sin dato,1,e2ae3115ccdd6d6ba1bfe7fd62283db0398e45a6d518fa229a1380b54ed672e6,26/06/2023 04:18:57,ESCANER
10441,"Quetzaltenango",9,"Quetzaltenango",1,1377,400,3,22,7,8,4,77,5,0,5,3,15,5,6,6,3,2,40,1,11,5,4,2,14,3,6,257,13,2,272,0,272,--,400,128,257,272,272,Algún campo sin dato,1,698a92fbdf7aaa76a17cc171716c503814e6d7d723bcee5b9aa095f5dfd49fcc,26/06/2023 04:23:54,ESCANER
