TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,33993,20959,61.6568

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VALOR,UNE,CABAL,VAMOS,VOS,VICTORIA,CAMBIO,MLP,PPN,PODEMOS,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10040,"Totonicapán",8,"San Francisco El Alto",3,1298,380,36,42,47,42,40,0,2,1,3,7,4,2,0,226,19,15,260,0,260,0,380,120,226,260,260,,1,15a15a466d584a862dda87837b23585ef5d92a5644343c5c0716ae97496e7439,26/06/2023 00:55:13,ESCANER
10041,"Totonicapán",8,"San Francisco El Alto",3,1298,380,38,33,52,37,35,2,1,0,5,10,3,4,1,221,21,10,252,0,252,0,380,128,221,252,252,,1,e353d9211e34d45782a57e9e270a6b727e4311d8543b8cb6191bf5bd14acae6c,26/06/2023 00:34:19,ESCANER
10042,"Totonicapán",8,"San Francisco El Alto",3,1298,380,23,26,46,31,40,3,3,0,0,11,5,0,0,188,11,8,207,0,207,0,380,173,188,207,207,,1,f74226216e2f86b3c01be74c296a40caaa38ac4110975c3c6bbb2a5426b080f1,26/06/2023 00:45:55,ESCANER
10043,"Totonicapán",8,"San Francisco El Alto",3,1299,380,31,25,48,28,38,1,0,0,4,3,7,0,1,186,8,6,200,0,200,0,377,177,186,200,200,,1,5ef0b22655aefb6f02f8eb12bf00c81805ccac4a5ac1cadea73f18f872e69cb3,25/06/2023 23:39:25,ESCANER
10044,"Totonicapán",8,"San Francisco El Alto",3,1299,380,34,29,45,28,43,1,4,0,3,9,2,1,1,200,10,3,213,0,213,0,377,164,200,213,213,,1,a9d03ded36e32fbe0bf02a09d308322ccb263940df3914c60d50c4e3efdbbb4b,26/06/2023 00:48:34,ESCANER
10045,"Totonicapán",8,"San Francisco El Alto",3,1299,380,28,31,40,31,23,1,1,0,1,8,1,0,2,167,5,5,177,0,177,0,380,203,167,177,177,,1,ab40873eff9b9fc092f57be32e2cb986375f48156d9683f4bec1c64cbf72162b,25/06/2023 23:44:35,ESCANER
10046,"Totonicapán",8,"San Francisco El Alto",3,1299,380,22,28,33,24,27,1,1,0,4,6,2,0,0,148,1,2,151,0,151,0,380,229,148,151,151,,1,8bfca2018700f28db00d9d4efc11738f890ee881e7544c05907d6de0e61609bc,25/06/2023 23:20:02,ESCANER
10047,"Totonicapán",8,"San Francisco El Alto",3,1299,201,15,14,24,13,16,3,3,0,2,1,1,0,0,92,5,0,97,0,97,0,201,104,92,97,97,,1,35506f4982236f526870b597b954618cdb7a80fcf76c7ae44b90523194b1ac11,25/06/2023 23:26:51,ESCANER
10048,"Totonicapán",8,"San Francisco El Alto",3,1299,201,9,17,11,14,12,0,0,0,1,4,1,0,0,69,2,3,74,0,74,0,201,127,69,74,74,,1,d1777a9ea696f516eb86dd6d8fcb6c446cae83d5d85d799d5ef86288a05e8d3b,25/06/2023 23:34:09,ESCANER
10049,"Totonicapán",8,"San Francisco El Alto",3,1300,380,3,24,159,6,7,5,2,0,1,2,6,3,0,218,15,5,238,0,238,0,380,142,218,238,238,,1,ef37768ef206dae9dc531c9d8a8f0a82a7e4837fba8a130cdd1a22b870eae8eb,25/06/2023 23:09:53,ESCANER
